window,complexity_fraction,complexity_efficiency_mean,complexity_efficiency_std,complexity_efficiency_n,complexity_efficiency_sem,complexity_efficiency_ci95,source_fraction_column,semantic_fraction_name
frequency_transition,0.05,0.8822587294674643,0.542526178855186,24,0.11074269252476084,0.21705567734853123,hh_fraction,high-complexity fraction
frequency_transition,0.08,0.7562334717322323,0.4168273115955132,24,0.0850845186887581,0.16676565662996587,hh_fraction,high-complexity fraction
frequency_transition,0.1,0.6140235151175538,0.27202654344382193,24,0.05552718566086704,0.1088332838952994,hh_fraction,high-complexity fraction
frequency_transition,0.12,0.6520170166018788,0.3338189455450424,24,0.06814050692160648,0.13355539356634868,hh_fraction,high-complexity fraction
frequency_transition,0.15,0.6932043679264489,0.5318082456408489,24,0.10855490356873136,0.21276761099471347,hh_fraction,high-complexity fraction
frequency_transition,0.18,0.907693011681365,0.5956494569142362,24,0.1215864362504827,0.23830941505094608,hh_fraction,high-complexity fraction
frequency_transition,0.2,1.0455376668430523,0.5842562164731101,24,0.11926080078401595,0.23375116953667124,hh_fraction,high-complexity fraction
frequency_transition,0.22,1.204261522104088,0.5900807798131033,24,0.1204497347971413,0.23608148020239694,hh_fraction,high-complexity fraction
frequency_transition,0.25,1.4759781379136034,0.5886486619435235,24,0.12015740496114195,0.23550851372383821,hh_fraction,high-complexity fraction
frequency_transition,0.3,1.5797072770306118,0.4686533932346549,24,0.09566347330406821,0.1875004076759737,hh_fraction,high-complexity fraction
frequency_transition,1.0,0.6582349181525434,0.20300275049886687,24,0.04143776292531226,0.08121801533361203,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.2,0.8238233956737803,0.5386847705450495,40,0.08517354078837697,0.16694013994521886,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.25,1.1667909728861228,0.5578369309466934,40,0.08820176323748097,0.1728754559454627,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.3,1.321679347651874,0.5179895979070811,40,0.0819013466830582,0.16052663949879406,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.35,1.2348833202044214,0.4435294690056162,40,0.07012816657314018,0.13745120648335474,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.4,1.2057380729265805,0.34332396880787996,40,0.054284285838075215,0.10639720024262742,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.5,0.9609888607364635,0.2213061252016794,40,0.034991570789184856,0.06858347874680232,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.6,0.7870793090061776,0.16297235437069288,40,0.02576819177257433,0.050505655874245686,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.7,0.7117486080331977,0.19150272382382497,40,0.030279239270473827,0.0593473089701287,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.8,0.7303932169886527,0.18244278032747774,40,0.028846736424429496,0.05653960339188181,hh_fraction,high-complexity fraction
heterogeneity_optimum,1.0,0.6251769431217828,0.17526183673192805,40,0.027711329548872697,0.05431420591579048,hh_fraction,high-complexity fraction
sparse_complexity,0.0025,6.943430119826292,6.48409503272976,32,1.1462368918753054,2.2466243080755985,hh_fraction,high-complexity fraction
sparse_complexity,0.005,3.5163378932745473,3.094369146739836,32,0.5470123517885422,1.0721442095055427,hh_fraction,high-complexity fraction
sparse_complexity,0.0075,4.327033196913563,2.852598986533727,32,0.5042730218459678,0.9883751228180968,hh_fraction,high-complexity fraction
sparse_complexity,0.01,4.82474283052348,3.1002249140176406,32,0.5480475149763386,1.0741731293536236,hh_fraction,high-complexity fraction
sparse_complexity,0.015,4.128484803014617,2.356739333124784,32,0.4166165909853991,0.8165685183313822,hh_fraction,high-complexity fraction
sparse_complexity,0.02,3.685425558498957,2.0861483624649817,32,0.36878241341505,0.722813530293498,hh_fraction,high-complexity fraction
sparse_complexity,0.025,3.222882694114999,1.7781736286784904,32,0.3143396577414126,0.6161057291731686,hh_fraction,high-complexity fraction
sparse_complexity,0.03,3.090022274231477,1.6528218674416577,32,0.29218038764035226,0.5726735597750904,hh_fraction,high-complexity fraction
sparse_complexity,0.04,2.3369548962061915,1.0573093665548445,32,0.18690765572574589,0.36633900522246193,hh_fraction,high-complexity fraction
sparse_complexity,0.05,1.7752717485997689,0.6491336071529894,32,0.11475169387849078,0.22491332000184192,hh_fraction,high-complexity fraction
sparse_complexity,1.0,0.4955263431419686,0.13530944789632957,32,0.023919557041525614,0.046882331801390204,hh_fraction,high-complexity fraction
