window,complexity_fraction,emergence_gain_mean,emergence_gain_std,emergence_gain_n,emergence_gain_sem,emergence_gain_ci95,source_fraction_column,semantic_fraction_name
frequency_transition,0.0,-1.2112266477524244e-05,0.0008355798374509001,24,0.00017056202009270126,0.00033430155938169446,hh_fraction,high-complexity fraction
frequency_transition,0.05,0.01129249158815477,0.030067849003023044,24,0.006137573976704863,0.012029644994341532,hh_fraction,high-complexity fraction
frequency_transition,0.08,0.007985965922229077,0.0378246326921832,24,0.007720920817003668,0.015133004801327189,hh_fraction,high-complexity fraction
frequency_transition,0.1,-0.004238538258681475,0.03681971558315771,24,0.0075157929710948975,0.014730954223345999,hh_fraction,high-complexity fraction
frequency_transition,0.12,-0.0005270257322987911,0.04405608894310472,24,0.0089929114977732,0.017626106535635472,hh_fraction,high-complexity fraction
frequency_transition,0.15,0.005519320533312058,0.07043163257101843,24,0.014376796795848606,0.028178521719863268,hh_fraction,high-complexity fraction
frequency_transition,0.18,0.04523114051585933,0.09411085864271777,24,0.019210298577487902,0.037652185211876285,hh_fraction,high-complexity fraction
frequency_transition,0.2,0.0778257538277367,0.10491363460978284,24,0.02141540598789711,0.041974195736278336,hh_fraction,high-complexity fraction
frequency_transition,0.22,0.12052757736793822,0.1114945039266199,24,0.02275872031207952,0.04460709181167586,hh_fraction,high-complexity fraction
frequency_transition,0.25,0.20489231005230865,0.12323187581654801,24,0.025154601316380396,0.04930301858010558,hh_fraction,high-complexity fraction
frequency_transition,0.3,0.27698951379787284,0.14048632927544952,24,0.028676651880122812,0.05620623768504071,hh_fraction,high-complexity fraction
frequency_transition,1.0,0.0018260204481747291,0.014975624631249532,24,0.0030568865771680703,0.005991497691249417,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.0,1.3232995753795533e-05,0.0006649278620706846,40,0.00010513432619248237,0.00020606327933726543,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.2,0.03892608481086399,0.09623540534512191,40,0.015216153622006382,0.02982366109913251,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.25,0.13439950031666556,0.11990425907784669,40,0.01895852799204581,0.03715871486440979,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.3,0.20774591280972404,0.15108794064156847,40,0.023889100970583905,0.04682263790234445,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.35,0.21199162200473629,0.166076445687324,40,0.02625899170385959,0.051467623739564795,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.4,0.23061804052284804,0.1581297647912323,40,0.025002511130349712,0.049004921815485436,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.5,0.1658979445585016,0.16617507108965643,40,0.02627458574918564,0.05149818806840385,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.6,0.09473180243203039,0.15927088988255209,40,0.02518293884953662,0.049358560145091775,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.7,0.05778894548961616,0.2008039657474183,40,0.03174989474781387,0.06222979370571518,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.8,0.08096019629535388,0.1998724445830759,40,0.031602608319415165,0.061941112306053724,hh_fraction,high-complexity fraction
heterogeneity_optimum,1.0,-0.0040160284976773954,0.016738111756726713,40,0.002646527844084929,0.005187194574406461,hh_fraction,high-complexity fraction
sparse_complexity,0.0,-7.457044834096864e-06,0.0005134310161436384,32,9.07626382966666e-05,0.00017789477106146655,hh_fraction,high-complexity fraction
sparse_complexity,0.0025,0.01612888574242568,0.016334543714509483,32,0.0028875666570294376,0.0056596306477776975,hh_fraction,high-complexity fraction
sparse_complexity,0.005,0.015122310352092681,0.015708517301362482,32,0.002776899776544904,0.005442723562028012,hh_fraction,high-complexity fraction
sparse_complexity,0.0075,0.028763680305431666,0.021835746452285604,32,0.003860051097170312,0.007565700150453812,hh_fraction,high-complexity fraction
sparse_complexity,0.01,0.04332867007667472,0.03163708542301317,32,0.005592699409897671,0.010961690843399435,hh_fraction,high-complexity fraction
sparse_complexity,0.015,0.05454913470237917,0.03629596090809128,32,0.006416280021948295,0.012575908843018657,hh_fraction,high-complexity fraction
sparse_complexity,0.02,0.06387099471285905,0.04304619585950684,32,0.007609564249135393,0.01491474592830537,hh_fraction,high-complexity fraction
sparse_complexity,0.025,0.06827517178147487,0.04620639157243074,32,0.008168213203756679,0.01600969787936309,hh_fraction,high-complexity fraction
sparse_complexity,0.03,0.07794439354126419,0.0517530798317251,32,0.009148738424075391,0.017931527311187766,hh_fraction,high-complexity fraction
sparse_complexity,0.04,0.07380316293400749,0.044463172475986294,32,0.00786005269270924,0.01540570327771011,hh_fraction,high-complexity fraction
sparse_complexity,0.05,0.06416979628718826,0.03363901575069016,32,0.005946594037438522,0.011655324313379503,hh_fraction,high-complexity fraction
sparse_complexity,1.0,0.003650520285965675,0.014909931689267172,32,0.002635728451127253,0.005166027764209416,hh_fraction,high-complexity fraction
