definition,score_col,family,endpoint,n,n_experiments,beta_after_identity,se_after_identity,p_after_identity,effect_scale,odds_ratio,delta_before,delta_after,fold_local_increment_after,fold_local_metric,q_within_definition_descriptive,lo,hi
primary_shared,C_primary_shared,measured_stp,paired_pulse_ratio_50hz,602,310,0.0093885761382714,0.0530433626118944,0.8596258151334559,standardized_beta,,0.0219767311058637,3.5051985696199495e-05,-0.0066123926622179,delta_cv_r2,0.9918759405386032,-0.09457641458104162,0.11335356685758442
primary_shared,C_primary_shared,measured_stp,stp_initial_50hz,602,310,0.0371391616676829,0.0546315985495669,0.4971331023305794,standardized_beta,,0.0474026828186674,0.0005485009109452,-0.0025813517341357,delta_cv_r2,0.9918759405386032,-0.06993877148946823,0.14421709482483402
primary_shared,C_primary_shared,measured_stp,stp_induction_50hz,593,308,0.0088362860808265,0.0460743817378318,0.8480389235790257,standardized_beta,,0.0888158632820581,3.123909988533846e-05,-0.0011117143562866,delta_cv_r2,0.9918759405386032,-0.08146950212532383,0.09914207428697683
primary_shared,C_primary_shared,measured_stp,stp_recovery_250ms,558,293,-0.0865181924448156,0.0649506844749797,0.1838792825819888,standardized_beta,,0.0342936887827663,0.002942453019995,-0.0040621640517515,delta_cv_r2,0.7367431428829595,-0.2138215340157758,0.040785149126144615
primary_shared,C_primary_shared,measured_stp,stp_recovery_single_250ms,560,295,0.0003337492261758,0.0672229822026337,0.9960420394036552,standardized_beta,,0.0413573566028628,4.3836613894399086e-08,-0.007279642118716,delta_cv_r2,0.9960420394036552,-0.13142329589098625,0.13209079434333784
primary_shared,C_primary_shared,measured_stp,variability_resting_state,450,256,0.0134456343071083,0.0591378379801831,0.8203252706701545,standardized_beta,,0.1251675234000596,6.891243545326109e-05,-0.002688178691757,delta_cv_r2,0.9918759405386032,-0.10246452813405058,0.12935579674826717
primary_shared,C_primary_shared,measured_stp,variability_second_pulse_50hz,419,256,0.1237482083548839,0.0612303245369195,0.0443218107694718,standardized_beta,,0.108620802715349,0.0055668762841145,0.0012401654658161,delta_cv_r2,0.3324135807710386,0.0037367722625216843,0.24375964444724613
primary_shared,C_primary_shared,measured_stp,variability_stp_induced_state_50hz,445,257,-0.0456281424733168,0.0690448262781779,0.5093039845823952,standardized_beta,,0.0674063950432862,0.0007653608430473,0.0028422383479604,delta_cv_r2,0.9918759405386032,-0.1809560019785455,0.08969971703191189
protocol_conservative,C_protocol_conservative,measured_stp,paired_pulse_ratio_50hz,642,335,0.0812522801835052,0.0452604102737858,0.0735229863018648,standardized_beta,,0.006690339913919,0.0039321577514357,0.0017300330837806,delta_cv_r2,0.5514223972639862,-0.007458123953114973,0.16996268432012535
protocol_conservative,C_protocol_conservative,measured_stp,stp_initial_50hz,642,335,0.0082065908933967,0.044010587026721,0.8521905350698482,standardized_beta,,0.0214857374920655,4.011302236928138e-05,-0.0002374771416405,delta_cv_r2,0.9832967712344404,-0.07805415967897646,0.09446734146576986
protocol_conservative,C_protocol_conservative,measured_stp,stp_induction_50hz,632,333,-0.009314774083089,0.0399920920260072,0.8159706270537166,standardized_beta,,0.0423180583739191,5.175264009227298e-05,-0.0024579859055895,delta_cv_r2,0.9832967712344404,-0.08769927445406313,0.06906972628788512
protocol_conservative,C_protocol_conservative,measured_stp,stp_recovery_250ms,594,316,-0.0628251489165988,0.0449082015979906,0.1628063537949609,standardized_beta,,0.0172857764614862,0.0023114613311659,0.0037456880142554,delta_cv_r2,0.7382763517779678,-0.15084522404866038,0.025194926215462793
protocol_conservative,C_protocol_conservative,measured_stp,stp_recovery_single_250ms,597,318,-0.0372341565996263,0.0484720714483553,0.4429658110667807,standardized_beta,,0.0166862255814383,0.0008125404908464,-0.002643869934223,delta_cv_r2,0.7382763517779678,-0.1322394166384027,0.057771103439150095
protocol_conservative,C_protocol_conservative,measured_stp,variability_resting_state,484,277,-0.0506857437208853,0.0427757792560844,0.2370695863820879,standardized_beta,,0.0594288170718466,0.001466060045332,0.0005403391632943,delta_cv_r2,0.7382763517779678,-0.13452627106281073,0.033154783621040115
protocol_conservative,C_protocol_conservative,measured_stp,variability_second_pulse_50hz,459,276,0.0257645051977849,0.0471585858258802,0.5852769141663277,standardized_beta,,0.0576550057109898,0.0003774786359793,-0.0055648804778414,delta_cv_r2,0.7981048829540832,-0.0666663230209403,0.11819533341651009
protocol_conservative,C_protocol_conservative,measured_stp,variability_stp_induced_state_50hz,482,280,-0.0424596799060532,0.0480673691474676,0.3778147839911107,standardized_beta,,0.0418354768793561,0.0009987449375736,0.0011324485869391,delta_cv_r2,0.7382763517779678,-0.13667172343508968,0.05175236362298329
