scheme,n,spearman_rho,spearman_p,mae,r2,rounded_accuracy,within_one_class_accuracy,quadratic_weighted_kappa,median_alpha
Standard repeated nested CV,400,0.2527190709987035,3.024087833856851e-07,0.8378933723085638,0.06583886460529964,0.345,0.855,0.10918600849950977,1000.0
Leave-one-layer-out,400,0.22706171107418252,4.495026288584597e-06,0.8438815810313431,0.05422092258410627,0.35,0.845,0.08666448230668411,
Leave-one-dendrite-type-out,400,-0.09454832223117476,0.058853936471738054,0.9142854705348239,-0.058584684228000006,0.3,0.805,-0.049665087404019204,
VISp-only repeated nested CV,352,0.2601777874546549,7.44032110735891e-07,0.8272146942451176,0.06700582252863163,0.35795454545454547,0.8465909090909091,0.056169836355594915,1000.0
