container_id,cell_specimen_id,n_states,mean_leverage,role_flexibility,leverage_range,mean_activity,activity_flexibility
782536745,1086489525,2,0.6037398634229619,0.1278260864503814,0.7150554844216815,0.01333062036428595,0.16217980264425835
782536745,1086489529,3,0.7817994392412814,0.0691956644135826,0.5709482465100442,0.0159168404837449,0.017997863240419028
782536745,1086489533,3,0.551354860521659,0.034567912375556946,0.4370998719590269,0.0035402947105466673,0.0053442122679973865
782536745,1086489541,3,0.19404461612485027,0.01921886527653705,0.339334354783793,0.0024586634438795003,0.05593810926008197
782536745,1086489544,2,0.75034677763551,0.019739770276068654,0.2809965855740504,0.005918747279793,0.0036440519979055183
782536745,1086489548,3,0.7879529189665287,0.00860542654804951,0.22689927443448576,0.012351037934422432,0.0026818620511668595
782536745,1086489555,3,0.36279254804733524,0.04006182935127351,0.4615049849659757,0.0029165961313991997,0.0007555605400416592
782536745,1086489559,3,0.4374519446722327,0.07843937488003407,0.6590483486550903,0.0030347919867684003,0.03829864424405211
782536745,1086489565,3,0.4524939616132843,0.016838690006761733,0.2962889697736984,0.0023881827558701,0.004527606914505145
782536745,1086489569,3,0.6031523096129838,0.08362474302564991,0.7083333333333334,0.007559261944455334,0.09553739954808789
782536745,1086489573,2,0.6306818181818181,0.017077737603305783,0.26136363636363635,0.0023536392836831,0.02724831959820977
782536745,1086489577,2,0.22676589842082795,0.007502051389123422,0.1732287665386257,0.00179599964758375,0.0070470758068958495
782536745,1086489580,3,0.8400756656612014,0.013116243081660322,0.2714930200885257,0.0365318081652124,0.0015125671590037516
782536745,1086489583,3,0.49169871687279504,0.0607555723429579,0.5589096376008863,0.006943869637325333,0.010564723525809902
782536745,1086489590,3,0.2305203083213844,0.022309982904714393,0.3611288945795988,0.0031916927158210998,0.03156959938368209
782536745,1086489594,3,0.7297877892710937,0.028100004706138198,0.4058137555328567,0.0229036634167035,0.0007935752615807192
782536745,1086489598,3,0.3003597855433589,0.0054597557430010575,0.1787862003481564,0.0018602431130905334,0.04494096690032553
782536745,1086489601,2,0.693760879886058,0.00019559697903025197,0.027971197974362982,0.009338275762274851,0.0007857113300778309
782536745,1086489605,2,0.3864733343883525,0.0010589004182870003,0.0650815002373793,0.00210992945358155,0.01788731632090159
782536745,1086489609,3,0.33254027056448326,0.06535200783996382,0.5629001280409732,0.0034482371023234998,0.09615121710980291
782536745,1086489612,2,0.5356266814369361,0.006491605738010799,0.1611410033233106,0.0050508494023233,0.005233271133904353
782536745,1086489616,3,0.7324037574670585,0.0006677104588288388,0.055456247871978226,0.0065940128018458005,0.0055999219126130545
782536745,1086489623,3,0.578057237991563,0.014256639813296007,0.2781324480762683,0.0129127508650223,0.0034588352286491265
782536745,1086489626,2,0.3525493701055499,0.05502394906662082,0.46914368403132456,0.0018934146501122999,0.0008462314675893238
782536745,1086489633,2,0.5691819884235615,0.007765378029558189,0.17624276472591083,0.006492404500022451,0.007976825288411076
782536745,1086489644,3,0.19945958237222672,0.013560310980319132,0.28419760990183535,0.0014603547363851999,0.0345364269858418
782536745,1086489656,2,0.7008376013657704,0.03882859316802405,0.3940994451557832,0.0060149541823193,0.017022007719664764
782536745,1086489705,3,0.8048420188592683,0.021388503129974024,0.35151922772590605,0.019937343119333165,0.0063861665875552245
782536745,1086489711,2,0.9783154579502894,2.333478780760823e-05,0.00966121893088201,0.02480722963809965,0.0022620760237197705
782536745,1086489721,2,0.33484332964076596,0.031114358300942505,0.3527852508308277,0.0015893380623310002,0.009276899769698097
782536745,1086489737,3,0.5512473604537221,0.0880473179222069,0.6526355100298762,0.012287774433692266,0.1115670726489979
782536745,1086489750,3,0.3591367464804717,0.03186787909835632,0.43518045624787205,0.0017620736034586668,0.0104940198679496
782536745,1086489753,3,0.8448967839496403,0.00958932780778307,0.22476525821596238,0.013609934132546131,0.009062319138838157
782536745,1086489763,2,0.7438083557524925,0.009553291356414577,0.19548188004431077,0.00616430700756605,0.013616958303982834
782536745,1086489778,3,0.2459791377935071,0.015141189474337161,0.2625373452838242,0.003938230685889666,0.026542823187665338
782536745,1086489784,3,0.4968866941291375,0.10665675524783115,0.7772620571916347,0.006480842751140334,0.03757322216573808
782536745,1086489795,3,0.9908183352755279,6.45666818294426e-06,0.005745658835546341,0.07696097592512764,4.6619986793604446e-05
782536745,1086489807,3,0.7018325764369443,0.022876149248272307,0.32103336738168187,0.0099646146409213,0.004654611151116941
782536745,1086489814,3,0.36278615399124964,0.07001409831465906,0.5842300996993196,0.005235655233263934,0.037623096841082164
782536745,1086489833,3,0.4586929989881406,0.03753371761537621,0.4717122962494066,0.0027327374943221,0.046613758062563904
782536745,1086489846,3,0.40468680314779376,0.06481275115343739,0.6098670675739833,0.002652258030138867,0.05579527640683262
782536745,1086489856,2,0.46167432754511406,0.013683702249132816,0.23395471569628867,0.002529629971832,0.04326987830657055
782536745,1086489872,3,0.5955162081329196,0.008746623296079524,0.22721937686726412,0.0027848193033908,0.03883499818586993
782536745,1086489888,3,0.7033251889043944,0.011736116425624171,0.25055388510840315,0.006594083271920632,0.012320325570653804
782536745,1086489907,3,0.814196922540806,0.0074822964031347585,0.21063159686755184,0.005456909032848934,0.060033579173693015
782536745,1086489927,3,0.6070115220890661,0.06142681991317262,0.603634661218931,0.004210743082997633,0.05985895382963626
782536745,1086489947,2,0.11423880360816585,0.000686997365824454,0.0524212691881627,0.00113834784133355,1.917429458193087e-08
782536745,1086489960,3,0.22688608669380947,0.0007289216542383017,0.06334071846811201,0.002622716090021,0.008234124658984472
782536745,1086489964,3,0.5596699308322982,0.028733010767053643,0.3666581545795029,0.004726465869074033,0.020640434809363544
782536745,1086489973,3,0.6991834390750359,0.0698304324131791,0.6303608165849027,0.014948683946082902,0.04310119428693917
782536745,1086489985,2,0.8031367041198502,0.00013156175917743303,0.02294007490636707,0.004669357207603701,0.005287399178718363
782536745,1086489996,3,0.9229490265848866,0.0007981008900214698,0.0656353853457825,0.03758822785069543,0.009593582330258319
782536745,1086490017,3,0.2856370717780751,0.0992691823235886,0.6782437046521553,0.0050790173312027665,0.08569230415442358
782536745,1086490036,2,0.8573586993530813,0.0065356792270236524,0.1616870956758597,0.00499434105586255,0.06559101188008558
782536745,1086490052,2,0.39413091590057875,0.00520724151759066,0.14432243786176369,0.0015698064817115,0.007757878872072225
782536745,1086490060,2,0.469714353536952,0.04704793726726789,0.43381072954581423,0.0015805389266461,0.0027791868232068815
782536745,1086490074,3,0.49939596151417637,0.026829489709702923,0.3889778062313274,0.0032151882381488664,0.0087232841333795
782536745,1086490108,2,0.0236423220973782,0.00032487699715243624,0.036048689138576805,0.00037558218173215,1.0872872659291969e-06
782536745,1086490137,3,0.6093293674200463,0.028865910262106526,0.3800047475866435,0.005841400939971133,0.05272281201779374
782536745,1086490187,3,0.6668363089671842,0.04941322307835164,0.5443054136874362,0.003364264150150067,0.09048484084071634
782536745,1086490234,2,0.8595718420156623,0.0005040307826575777,0.04490125978890025,0.0024639557814225,0.0006729139829102103
782536745,1086490253,2,0.0182725138711054,4.4472902548047414e-07,0.0013337601365769995,0.0005169699943508,0.0011896316424328769
782536745,1086490263,3,0.3591878989291555,0.0360261699948289,0.4648876404494382,0.0022744052888204335,0.050655967460471164
782536745,1086490294,2,0.7329545454545454,0.0002905475206611565,0.03409090909090906,0.0034548377152532,0.0006247332764353418
782536745,1086490319,3,0.43144033306638147,0.0024290368630370744,0.11945155783183953,0.0066672426182775996,0.02066029874468944
782536745,1086490337,3,0.4422514830213833,0.08749055143958458,0.6867797695262485,0.005364125206445633,0.009055313472546919
782536745,1086490371,3,0.6478343731667042,0.03102569511252126,0.4306456717835101,0.009965268895029966,0.0057197589842914445
782536745,1086490386,3,0.2829663544768783,0.027221576419907172,0.3967795537268556,0.0022972440153049664,0.08966403922022992
782536745,1086490415,3,0.8703595137959753,0.0021122946715142724,0.11257235274089217,0.03025923483073707,0.0024197280200023374
782536745,1086490469,3,0.41625844614846036,0.021748216455790188,0.3606996935648622,0.0019088711511963997,0.0012959574924803299
782536745,1086490543,2,0.7111875800256082,0.03479705695323144,0.3730793854033291,0.004370100912638,0.02459361543993978
782536745,1086490575,2,0.039932778489116444,3.4127438065712665e-05,0.011683738796414898,0.00073686445830385,0.00014601983774372465
782536745,1086490606,2,0.7422752808988764,0.013753491509910364,0.2345505617977528,0.00342318718321615,0.0016990704355939591
782536745,1086490709,2,0.265391591976099,0.005145138406162215,0.1434592402902262,0.00140018638921895,0.0007475894918327192
782536745,1086490732,3,0.5851422517627612,0.0398946976777887,0.4834230099699319,0.007271535228937799,0.014973161519513153
782536745,1086490765,2,0.7478926589842083,0.011608154074377066,0.21548228766538624,0.00469800725113595,0.04163176077491476
782536745,1086490789,3,0.877700289810592,0.009655970496426669,0.23618224498506202,0.018535534230371267,0.026648471645635507
782536745,1086490815,3,0.5514951301270339,0.03580883908745972,0.44638284250960314,0.005027949810028,0.0619616434255274
782536745,1086490875,2,0.0441564521620701,0.00031121548851497066,0.0352826012938372,0.0024202505592256004,0.0011148027434656914
782536745,1086490895,3,0.3828554975294966,0.09935731984741973,0.7557762304162052,0.0012946174247189665,0.013622765594729474
782536745,1086490927,2,0.051987572352740846,0.0012343726433807045,0.0702672795369425,0.00013334631512405,8.253148863623323e-06
