descriptor,baseline,n_tasks,spearman_rho_descriptor_shift_vs_score_gain,spearman_p,spearman_fdr_bh
sel_spectral,spectral,36,-0.296010296010296,0.079618319790827,0.1992716231887167
redundancy,spectral,36,-0.2903474903474904,0.0858276558620182,0.1992716231887167
sel_feedback,spectral,36,-0.2615186615186615,0.1233927615630265,0.1992716231887167
sel_cycle3,spectral,36,-0.2607464607464608,0.1245447644929479,0.1992716231887167
coverage2,spectral,36,-0.243198190625609,0.1529315323365686,0.2039087097820914
sel_total_degree,spectral,36,-0.2279425965206598,0.1812001376337114,0.2070858715813844
coverage1,spectral,36,-0.0418933941161013,0.8083185295935371,0.8083185295935371
dispersion,spectral,36,0.3227135285748798,0.0549007804323275,0.1992716231887167
