topology,mean,median,n,positive_fraction
er,0.07466838842582146,0.03330441560115135,2184,0.7660256410256411
modular,0.06321299478957475,0.03651850771813485,2184,0.7408424908424909
scale_free,0.08751131124885901,0.047831468962026,2184,0.6762820512820513
small_world,0.036815915354207564,0.0319918606328958,2184,0.6135531135531136
