observed,predicted
0.0,0.3683610267827614
0.0,1.3491318965673194
3.0,1.4791237078110524
0.0,0.8734904577209438
2.0,1.1831664256785588
0.0,1.0826582986324822
1.0,1.2163340174558883
1.0,1.535855463069113
2.0,1.4313610179670913
1.0,0.5805751671516022
2.0,1.2598279109190371
1.0,1.452341873816274
2.0,1.5041880900506306
1.0,1.3146603443384566
1.0,1.385576929396756
1.0,1.350939041220388
2.0,1.616768958568915
2.0,1.4103044095627977
0.0,1.0946326918849203
1.0,1.230876236348154
2.0,1.269386795515905
2.0,1.428474128174401
1.0,1.2319840604761492
1.0,1.3360028652310196
1.0,1.2830755085619352
1.0,1.3299183063254638
2.0,1.3618823793258457
3.0,1.1812698504714745
0.0,1.3378987585120334
0.0,1.2233678743423035
1.0,1.3354133278920448
1.0,1.5411445046553698
1.0,1.5798190420500289
1.0,1.6050870703250315
2.0,1.2977010994923557
0.0,1.115451160801112
0.0,1.4511452281959014
1.0,0.9793581526711224
0.0,1.464255653219659
3.0,1.519654386484739
0.0,1.287964104805471
0.0,1.3247378825241314
2.0,1.3501421618078011
1.0,1.1137188565772038
1.0,1.4280454173870187
1.0,1.4929187668265087
0.0,1.5692367089813648
1.0,1.740642885019265
2.0,1.3022181532596693
1.0,1.5256876861005837
1.0,1.204104154627022
1.0,1.5956635425868642
0.0,1.2656761296612271
0.0,0.4155275145451208
1.0,1.617792809230665
0.0,1.36530883063751
0.0,1.424238547806306
3.0,1.6784480997662523
3.0,1.471902880795681
1.0,1.4375379926891605
1.0,1.204775343396686
1.0,1.4568679864646832
2.0,1.5673449221224176
1.0,1.4394546353312037
1.0,1.4117183550122667
2.0,1.241311793590982
1.0,1.3605080545435666
3.0,1.558639953939291
0.0,1.2476437113705925
2.0,1.4073769993838456
0.0,1.1075461434862814
0.0,1.3309875676372829
0.0,0.9015421614607608
1.0,1.272205248687066
1.0,1.5201008482826812
3.0,1.4373624783350265
3.0,0.9990213689421096
1.0,1.3940391736281923
3.0,1.465823669300328
0.0,1.276539670931904
3.0,1.4070836654372267
0.0,0.863034052614774
0.0,0.756991722224923
0.0,1.3228336276380657
1.0,1.1259097683261832
