graph_seed,regime,k,rep_a,rep_b,jaccard_distance,fresh_score_gap,score_a,score_b,evaluation_set
42001,sparse_drive,8,new_rep1,new_rep2,1.0,0.0344120456526676,0.2346261944621801,0.2690382401148478,stage4f_fresh_6501_6524
42001,sparse_drive,8,new_rep1,new_rep3,1.0,0.0773266442120075,0.2346261944621801,0.1572995502501726,stage4f_fresh_6501_6524
42001,sparse_drive,8,new_rep1,previous_rep0,0.9333333333333332,0.011679728825887,0.2346261944621801,0.2463059232880672,stage4f_fresh_6501_6524
42001,sparse_drive,8,new_rep2,new_rep3,1.0,0.1117386898646752,0.2690382401148478,0.1572995502501726,stage4f_fresh_6501_6524
42001,sparse_drive,8,new_rep2,previous_rep0,0.7692307692307692,0.0227323168267805,0.2690382401148478,0.2463059232880672,stage4f_fresh_6501_6524
42001,sparse_drive,8,new_rep3,previous_rep0,1.0,0.0890063730378946,0.1572995502501726,0.2463059232880672,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep1,new_rep2,0.4,0.0096930023282765,0.395465765769283,0.4051587680975596,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep1,new_rep3,0.4761904761904761,0.0769956726580858,0.395465765769283,0.3184700931111971,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep1,previous_rep0,0.5454545454545454,0.1672867462038995,0.395465765769283,0.2281790195653835,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep2,new_rep3,0.3157894736842105,0.0866886749863624,0.4051587680975596,0.3184700931111971,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep2,previous_rep0,0.4,0.176979748532176,0.4051587680975596,0.2281790195653835,stage4f_fresh_6501_6524
42001,sparse_drive,32,new_rep3,previous_rep0,0.4390243902439024,0.0902910735458136,0.3184700931111971,0.2281790195653835,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep1,new_rep2,0.3589743589743589,0.0579879730939865,0.5630947885413965,0.621082761635383,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep1,new_rep3,0.2933333333333333,0.0680827709535757,0.5630947885413965,0.6311775594949722,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep1,previous_rep0,0.379746835443038,0.0752877742052078,0.5630947885413965,0.6383825627466043,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep2,new_rep3,0.3157894736842105,0.0100947978595892,0.621082761635383,0.6311775594949722,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep2,previous_rep0,0.379746835443038,0.0172998011112213,0.621082761635383,0.6383825627466043,stage4f_fresh_6501_6524
42001,sparse_drive,64,new_rep3,previous_rep0,0.2702702702702703,0.007205003251632,0.6311775594949722,0.6383825627466043,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep1,new_rep2,0.9333333333333332,0.0082365775791307,0.1291106892749667,0.1373472668540974,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep1,new_rep3,0.8571428571428572,0.001425239102294,0.1291106892749667,0.1305359283772607,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep1,previous_rep0,1.0,0.0133814994866649,0.1291106892749667,0.1157291897883017,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep2,new_rep3,1.0,0.0068113384768367,0.1373472668540974,0.1305359283772607,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep2,previous_rep0,1.0,0.0216180770657957,0.1373472668540974,0.1157291897883017,stage4f_fresh_6501_6524
42001,transition_dense,8,new_rep3,previous_rep0,1.0,0.0148067385889589,0.1305359283772607,0.1157291897883017,stage4f_fresh_6501_6524
42001,transition_dense,32,new_rep1,new_rep2,0.5777777777777777,0.0053063693145911,0.4461758658289909,0.4408694965143998,stage4f_fresh_6501_6524
