specimen_id,C_temporal_AB,C_temporal_BA,long_short_gain_AB,long_short_gain_BA,long_short_gain_mean
313860745,25,25,0.028390347957610973,0.005118846893310436,0.016754597425460704
313861608,10,10,-0.01746404170989979,-0.030361831188201793,-0.023912936449050792
313861677,10,10,0.0012058019638062,-0.003607988357544001,-0.0012010931968689004
313861794,10,10,0.005227863788604625,-0.0025878548622131348,0.0013200044631957453
313861828,10,50,0.0003900527954099342,0.03273195028305065,0.01656100153923029
313862134,50,10,-0.0046773552894592285,-0.09380805492401112,-0.049242705106735174
313862167,10,10,0.00048184394836436883,0.00010102987289439813,0.0002914369106293835
313862274,25,100,0.007494390010833518,0.0034079551696777344,0.005451172590255626
314529406,10,10,-0.022214472293853982,-0.0004169940948485218,-0.011315733194351252
314617802,50,10,-0.03767341375350952,0.01219952106475819,-0.012736946344375666
314642645,25,10,0.013378202915191761,-0.018036961555480846,-0.0023293793201445423
314800921,10,10,0.0104701519012451,0.0056089162826539005,0.008039534091949501
314822529,10,10,-0.0055145025253296,-0.020394027233123602,-0.012954264879226601
314900022,10,10,0.0030173659324643776,-0.011781275272369385,-0.004381954669952504
318556138,50,25,-0.017459750175476074,-0.03826582431793213,-0.0278627872467041
318733871,25,10,0.007004439830780029,0.004359841346740834,0.0056821405887604315
318808427,10,10,0.002420186996459961,0.01335090398788441,0.007885545492172186
320207387,10,10,2.288818359375e-05,-0.0011493563652038002,-0.0005632340908050251
320455763,10,10,-0.052395880222320446,-0.03456425666809082,-0.04348006844520563
320639930,10,25,-0.013678848743438832,0.015101790428161621,0.0007114708423613947
320668841,10,10,-0.0005432367324827991,0.0053737759590147816,0.002415269613265991
320836481,50,25,0.019420623779296986,0.019712507724761963,0.019566565752029474
321707905,10,10,-0.0022932887077330433,-0.022473692893981823,-0.012383490800857433
321893798,10,10,0.009035646915435569,-0.0003249049186706543,0.004355370998382457
321923492,25,25,-0.023867547512054332,0.017312169075012207,-0.0032776892185210627
322197160,10,10,-0.0062351226806641,0.000649333000183,-0.00279289484024055
322197295,25,25,0.04375201463699363,0.008353054523468018,0.026052534580230824
322229594,10,10,0.014019966125488392,0.000978410243987926,0.007499188184738159
322246422,10,10,-0.01745063066482533,-0.021048367023468018,-0.019249498844146673
322297406,10,10,-0.003989517688751221,-0.006904423236846813,-0.005446970462799017
322723785,10,10,-0.009157657623291016,0.0104086995124818,0.0006255209445953924
322761772,10,10,-0.0007578134536744274,0.012979924678802601,0.006111055612564087
322762730,100,100,0.017280757427215687,0.029286742210388073,0.02328374981880188
322781822,100,10,0.029276490211486816,0.01777535676956188,0.023525923490524348
323452245,10,10,0.0006343126296997001,-0.0013431310653685,-0.0003544092178343999
323777372,200,10,0.04154372215270996,-0.04410529136657715,-0.0012807846069335938
323834998,50,50,0.036472976207733154,-0.022266149520874023,0.007103413343429565
323838579,50,10,0.008936285972595215,-0.08958357572555531,-0.04032364487648005
324025297,10,10,-0.006972789764404408,0.0025614500045776367,-0.0022056698799133856
324025371,10,10,-0.022279024124145397,0.007263958454132191,-0.007507532835006603
324032509,10,10,-0.007678270339965598,0.013368487358093373,0.0028451085090638872
324053519,10,10,-0.0020453929901123047,0.004380226135253795,0.0011674165725707453
324065524,10,100,-0.07780665159225464,0.007507741451263428,-0.035149455070495605
324266189,50,10,0.01968955993652355,-0.018225789070129395,0.000731885433197077
324466858,10,10,-0.0356845259666444,-0.0483909249305724,-0.0420377254486084
324493977,10,10,-0.004252433776855469,-0.011287868022918812,-0.0077701508998871405
325464516,10,10,-0.013058781623840221,-0.039074063301086426,-0.026066422462463323
325480372,10,10,-0.03397756814956643,-0.019191622734069935,-0.026584595441818182
325853048,50,50,-0.0003566741943359375,-0.015332460403442383,-0.00784456729888916
325919795,25,10,0.013741552829742543,-0.012955188751220592,0.0003931820392609753
326734770,50,10,-0.018220663070678822,-0.006559789180755615,-0.012390226125717219
326774520,10,50,-0.006623029708862194,0.020870566368103027,0.007123768329620417
327566447,10,10,-0.017485260963439896,-0.016234278678894,-0.01685976982116695
327644217,10,10,-0.02060401439666748,-0.009029150009155384,-0.014816582202911432
327648537,10,25,0.002130448818206787,0.037647545337677,0.019888997077941895
327679841,25,10,0.01974678039550777,-0.0038994550704955,0.007923662662506135
327706437,10,10,-0.020449280738830677,-0.008833527565002441,-0.01464140415191656
327962063,100,10,0.03215843439102162,-0.0019087791442869984,0.01512482762336731
328015342,10,10,-0.00040602684020996094,-0.025998711585998535,-0.013202369213104248
328031983,25,10,0.004660844802856445,-0.0089377760887146,-0.002138465642929077
328093618,10,10,-0.0394928455352783,0.0020934343338012,-0.01869970560073855
328535908,10,10,-0.012389004230499157,-0.013084232807159535,-0.012736618518829346
328549885,50,10,0.021316945552825928,-0.03455287218093883,-0.006617963314056452
328876201,10,200,-0.03574395179748524,0.04333853721618652,0.0037972927093506414
329224678,10,10,-0.04479795694351196,-0.012849152088165394,-0.02882355451583868
329241587,10,10,-0.003131985664367787,-0.008284270763397217,-0.005708128213882502
329254830,10,10,0.003915131092071644,-0.0022571682929991566,0.0008289813995362438
329550277,10,10,-0.0019340515136717937,0.0005505084991455,-0.0006917715072631468
329557305,10,10,-0.0013519525527956322,-0.005215525627136008,-0.0032837390899658203
330080937,10,10,0.0142407417297363,0.014380991458892801,0.014310866594314551
333785935,10,10,0.00615394115448,-0.0027934312820434995,0.0016802549362182504
336676216,10,10,-0.010630011558532604,-0.015087783336639404,-0.012858897447586004
