graph_seed,k,source_state,target_state,rhythm_score_mean,home_mean,delta_vs_target_home,pair
42001,8,sparse_drive,transition_dense,0.1059870291501283,0.1289434109348803,-0.022956381784752,Sparse → Transition-dense
42001,8,sparse_drive,transition_mid,0.1233158371566484,0.1910952757655953,-0.0677794386089468,Sparse → Transition-mid
42001,8,transition_dense,sparse_drive,0.0904172645484019,0.2220979081854844,-0.1316806436370825,Transition-dense → Sparse
42001,8,transition_dense,transition_mid,0.0743935285718179,0.1910952757655953,-0.1167017471937773,Transition-dense → Transition-mid
42001,8,transition_mid,sparse_drive,0.1494576165374989,0.2220979081854844,-0.0726402916479855,Transition-mid → Sparse
42001,8,transition_mid,transition_dense,0.0999652775935828,0.1289434109348803,-0.0289781333412975,Transition-mid → Transition-dense
42001,32,sparse_drive,transition_dense,0.3818457614009579,0.453473693691194,-0.0716279322902361,Sparse → Transition-dense
42001,32,sparse_drive,transition_mid,0.3100146249247094,0.3978253488118449,-0.0878107238871355,Sparse → Transition-mid
42001,32,transition_dense,sparse_drive,0.2680951872219642,0.3331113280728459,-0.0650161408508817,Transition-dense → Sparse
42001,32,transition_dense,transition_mid,0.314522897824645,0.3978253488118449,-0.0833024509871999,Transition-dense → Transition-mid
42001,32,transition_mid,sparse_drive,0.2502185540894667,0.3331113280728459,-0.0828927739833792,Transition-mid → Sparse
42001,32,transition_mid,transition_dense,0.3794120121747255,0.453473693691194,-0.0740616815164685,Transition-mid → Transition-dense
42001,64,sparse_drive,transition_dense,0.6209121542051435,0.7005640581871072,-0.0796519039819637,Sparse → Transition-dense
42001,64,sparse_drive,transition_mid,0.5643634671966234,0.5932178997900337,-0.0288544325934102,Sparse → Transition-mid
42001,64,transition_dense,sparse_drive,0.4498019032956411,0.6133072815525035,-0.1635053782568623,Transition-dense → Sparse
42001,64,transition_dense,transition_mid,0.3937295630263785,0.5932178997900337,-0.1994883367636551,Transition-dense → Transition-mid
42001,64,transition_mid,sparse_drive,0.4789006303374966,0.6133072815525035,-0.1344066512150068,Transition-mid → Sparse
42001,64,transition_mid,transition_dense,0.5712764073784152,0.7005640581871072,-0.1292876508086919,Transition-mid → Transition-dense
42002,8,sparse_drive,transition_dense,0.0867916873733823,0.1292316538553374,-0.0424399664819551,Sparse → Transition-dense
42002,8,sparse_drive,transition_mid,0.1194579766209547,0.1969563269910092,-0.0774983503700544,Sparse → Transition-mid
42002,8,transition_dense,sparse_drive,0.0503452403548483,0.2004455884064857,-0.1501003480516373,Transition-dense → Sparse
