state_a,state_b,n_groups,median_rho,ci95_low,ci95_high,mean_rho
familiar_active,novel_active,23,0.44055944055944063,0.36031729464565293,0.5127670562133005,0.4357403953511439
familiar_active,passive,24,0.49199706076575467,0.4344827586206896,0.5874886036888982,0.4817497876705688
novel_active,passive,23,0.4742248319914832,0.3332466313450306,0.6,0.4303771648219542
