specimen_id,specimen_name,ev_glif1,ev_glif2,ev_glif3,ev_glif4,ev_glif5,model_id_glif1,model_id_glif2,model_id_glif3,model_id_glif4,model_id_glif5,ev_cost0,ev_cost1,ev_cost2,ev_cost3,ev_best,creq_eps_0p000,creq_eps_0p005,creq_eps_0p010,creq_eps_0p015,creq_eps_0p020,creq_eps_0p025,creq_eps_0p030,creq_eps_0p040,creq_eps_0p050
480087928,Rorb-IRES2-Cre-D;Ai14-197330.06.01.01,0.657500761768645,0.676669083947772,0.490477163230684,0.469230044699638,0.461591565887322,482583549,482583551,482583553,482583555,482583557,0.657500761768645,0.676669083947772,0.469230044699638,0.461591565887322,0.676669083947772,1,1,1,1,0,0,0,0,0
480090260,Rorb-IRES2-Cre-D;Ai14-197331.02.01.01,0.678032754923417,0.619194244467761,0.624069213355951,0.570632348193764,0.609478984029676,482655179,482655181,482655183,482655185,482655187,0.678032754923417,0.624069213355951,0.570632348193764,0.609478984029676,0.678032754923417,0,0,0,0,0,0,0,0,0
480169178,Rorb-IRES2-Cre-D;Ai14-197353.06.02.01,0.656921725944854,0.77469970884218,0.771686125848004,0.767298220215538,0.806271764337862,482657513,482657515,482657517,482657519,482657521,0.656921725944854,0.77469970884218,0.767298220215538,0.806271764337862,0.806271764337862,3,3,3,3,3,3,3,1,1
480169202,Rorb-IRES2-Cre-D;Ai14-197353.03.02.01,0.846046639550874,0.700873065752767,0.768137151168563,0.846724539660069,0.83940003405236,490150672,490150674,490150676,490150678,490150680,0.846046639550874,0.768137151168563,0.846724539660069,0.83940003405236,0.846724539660069,2,0,0,0,0,0,0,0,0
480171386,Rorb-IRES2-Cre-D;Ai14-197356.04.01.01,0.694786785010905,0.722972995976181,0.575335340116756,0.515578408939399,0.597399566564229,483108786,483108788,483108790,483108792,483108794,0.694786785010905,0.722972995976181,0.515578408939399,0.597399566564229,0.722972995976181,1,1,1,1,1,1,0,0,0
480268803,Rorb-IRES2-Cre-D;Ai14-197850.05.01.01,0.634710570218431,0.689954183634096,0.620202577108619,0.692130727736535,0.709150026755318,483148188,483148190,483148192,483148194,483148196,0.634710570218431,0.689954183634096,0.692130727736535,0.709150026755318,0.709150026755318,3,3,3,3,1,1,1,1,1
480273887,Rorb-IRES2-Cre-D;Ai14-197850.03.01.01,0.574946680196764,0.572252703829009,0.353588861746983,0.510508473318596,0.504587538715054,483108917,483108919,483108921,483108923,483108925,0.574946680196764,0.572252703829009,0.510508473318596,0.504587538715054,0.574946680196764,0,0,0,0,0,0,0,0,0
480351780,Rorb-IRES2-Cre-D;Ai14-197851.04.01.01,0.470080165016039,0.585285211886889,0.521399490889012,0.513174569120562,0.525316189447367,482529681,482529683,482529685,482529687,482529689,0.470080165016039,0.585285211886889,0.513174569120562,0.525316189447367,0.585285211886889,1,1,1,1,1,1,1,1,1
480353286,Rorb-IRES2-Cre-D;Ai14-197851.05.02.01,0.575601360378573,0.580445088201551,0.480227563166043,0.575633564996172,0.523538410711047,483109042,483109044,483109046,483109048,483109050,0.575601360378573,0.580445088201551,0.575633564996172,0.523538410711047,0.580445088201551,1,0,0,0,0,0,0,0,0
480364000,Scnn1a-Tg2-Cre;Ai14-197819.04.01.01,0.414620863871058,0.545180434092583,0.356997433983559,0.396458777808173,0.428448762752308,485467471,485467473,485467475,485467477,485467479,0.414620863871058,0.545180434092583,0.396458777808173,0.428448762752308,0.545180434092583,1,1,1,1,1,1,1,1,1
480643417,Rorb-IRES2-Cre-D;Ai14-197711.03.02.01,0.766822924063224,0.771629746559175,0.759389772534823,0.747457753343838,0.767414786617725,483147619,483147621,483147623,483147625,483147627,0.766822924063224,0.771629746559175,0.747457753343838,0.767414786617725,0.771629746559175,1,0,0,0,0,0,0,0,0
480647923,Scnn1a-Tg2-Cre;Ai14-197822.03.01.01,0.357586629381557,0.480723605601854,0.242615255143344,0.348345719852228,0.347882770364128,483108631,483108633,483108635,483108637,483108639,0.357586629381557,0.480723605601854,0.348345719852228,0.347882770364128,0.480723605601854,1,1,1,1,1,1,1,1,1
480999763,Htr3a-Cre_NO152;Ai14-198254.04.01.01,0.834127336400519,0.810262800350859,0.832589386894864,0.87028537594385,0.871590588737178,485472340,485472342,485472344,485472346,485472348,0.834127336400519,0.832589386894864,0.87028537594385,0.871590588737178,0.871590588737178,3,2,2,2,2,2,2,0,0
481003593,Htr3a-Cre_NO152;Ai14-198254.04.02.01,0.788224061510106,0.733938210303385,0.894044354961138,0.914042304536874,0.909644317427966,483066449,483066451,483066453,483066455,483066457,0.788224061510106,0.894044354961138,0.914042304536874,0.909644317427966,0.914042304536874,2,2,2,2,1,1,1,1,1
481003643,Htr3a-Cre_NO152;Ai14-198254.05.01.01,0.710134495390648,0.676582227140485,0.881388728428991,0.88964915750103,0.862161397279809,485472481,485472483,485472485,485472487,485472489,0.710134495390648,0.881388728428991,0.88964915750103,0.862161397279809,0.88964915750103,2,2,1,1,1,1,1,1,1
481018305,Pvalb-IRES-Cre;Ai14-198334.05.01.01,0.935486914369491,0.88504515214785,0.964779495415037,0.969674940050553,0.968251565916592,491766408,491766410,491766412,491766414,491766416,0.935486914369491,0.964779495415037,0.969674940050553,0.968251565916592,0.969674940050553,2,1,1,1,1,1,1,0,0
481127173,Pvalb-IRES-Cre;Ai14-199002.04.02.01,0.944862297646819,0.894669004934353,0.970692905005722,0.970892800355567,0.968045736352499,485475983,485475985,485475987,485475989,485475991,0.944862297646819,0.970692905005722,0.970892800355567,0.968045736352499,0.970892800355567,2,1,1,1,1,1,0,0,0
481136214,Htr3a-Cre_NO152;Ai14-200434.04.02.01,0.714163054703297,0.612201694245993,0.915370670352573,0.926433457121326,0.930005054413451,483151556,483151558,483151560,483151562,483151564,0.714163054703297,0.915370670352573,0.926433457121326,0.930005054413451,0.930005054413451,3,2,2,1,1,1,1,1,1
482516216,Htr3a-Cre_NO152;Ai14-200441.05.01.01,0.72717266411838,0.741817979020632,0.841176903879932,0.832891187471661,0.850622356923764,483106840,483106842,483106844,483106846,483106848,0.72717266411838,0.841176903879932,0.832891187471661,0.850622356923764,0.850622356923764,3,3,1,1,1,1,1,1,1
482516631,Pvalb-IRES-Cre;Ai14-199001.06.02.01,0.43371023472997,0.460227933691334,0.5617157850572,0.588424307593773,0.60856920104259,485479590,485479592,485479594,485479596,485479598,0.43371023472997,0.5617157850572,0.588424307593773,0.60856920104259,0.60856920104259,3,3,3,3,3,2,2,2,1
482654108,Htr3a-Cre_NO152;Ai14-200442.06.01.01,0.699216882948535,0.574729354692928,0.928516814323702,0.926045646113292,0.927431270697955,484625813,484625815,484625817,484625819,484625821,0.699216882948535,0.928516814323702,0.926045646113292,0.927431270697955,0.928516814323702,1,1,1,1,1,1,1,1,1
482690728,Sst-IRES-Cre;Ai14-199390.05.01.01,0.935669929582252,0.919631698993532,0.933308948812067,0.945145842588319,0.947432480253041,484628261,484628263,484628265,484628267,484628269,0.935669929582252,0.933308948812067,0.945145842588319,0.947432480253041,0.947432480253041,3,2,2,0,0,0,0,0,0
482726727,Nr5a1-Cre;Ai14-199362.05.01.01,0.612236059555667,0.683150346474462,0.500690745199918,0.70029699375911,0.720792557547951,484629169,484629171,484629173,484629175,484629177,0.612236059555667,0.683150346474462,0.70029699375911,0.720792557547951,0.720792557547951,3,3,3,3,3,2,2,1,1
482764620,Htr3a-Cre_NO152;Ai14-200456.05.01.01,0.448968897919776,0.451027926426479,0.540500512374929,0.541789740810958,0.606085757520355,484631918,484631920,484631922,484631924,484631926,0.448968897919776,0.540500512374929,0.541789740810958,0.606085757520355,0.606085757520355,3,3,3,3,3,3,3,3,3
482772037,Htr3a-Cre_NO152;Ai14-200456.03.02.01,0.837221245668731,0.778840902084705,0.916869033808529,0.919799973210757,0.91950637202938,484633254,484633256,484633258,484633260,484633262,0.837221245668731,0.916869033808529,0.919799973210757,0.91950637202938,0.919799973210757,2,1,1,1,1,1,1,1,1
482773968,Htr3a-Cre_NO152;Ai14-200456.06.02.01,0.630596712994802,0.410541618642556,0.794050380016099,0.782441154653156,0.78236100846146,484633284,484633286,484633288,484633290,484633292,0.630596712994802,0.794050380016099,0.782441154653156,0.78236100846146,0.794050380016099,1,1,1,1,1,1,1,1,1
482809953,Nr5a1-Cre;Ai14-199363.02.02.01,0.659671114882999,0.620721061525918,0.60260527678329,0.63207750712104,0.67773240963346,485504488,485504490,485504492,485504494,485504496,0.659671114882999,0.620721061525918,0.63207750712104,0.67773240963346,0.67773240963346,3,3,3,3,0,0,0,0,0
483020137,Nr5a1-Cre;Ai14-199361.04.02.01,0.701689004179396,0.616969599258244,0.837910421596672,0.824590254751058,0.840988008781616,485507720,485507722,485507724,485507726,485507728,0.701689004179396,0.837910421596672,0.824590254751058,0.840988008781616,0.840988008781616,3,1,1,1,1,1,1,1,1
483083617,Sst-IRES-Cre;Ai14-197619.04.01.01,0.710315654799517,0.737461663380043,0.599765283951709,0.653998343805635,0.62575811290722,491766942,491766944,491766946,491766948,491766950,0.710315654799517,0.737461663380043,0.653998343805635,0.62575811290722,0.737461663380043,1,1,1,1,1,1,0,0,0
483101699,Cux2-CreERT2;Ai14-198018.04.01.01,0.59818562885119,0.556146426024861,0.661178060066722,0.705371279272422,0.704816686338888,485513169,485513171,485513173,485513175,485513177,0.59818562885119,0.661178060066722,0.705371279272422,0.704816686338888,0.705371279272422,2,2,2,2,2,2,2,2,1
484457747,Rorb-IRES2-Cre-D;Ai14-206023.02.02.01,0.793015133119042,0.803174008699555,0.812837018506616,0.804932892619925,0.808645298913688,485590914,485590916,485590918,485590920,485590922,0.793015133119042,0.812837018506616,0.804932892619925,0.808645298913688,0.812837018506616,1,1,1,1,0,0,0,0,0
484515166,Cux2-CreERT2;Ai14-198019.05.01.01,0.741322513221001,0.619543486866978,0.885247910003851,0.873361008742597,0.873106836913641,485591680,485591682,485591684,485591686,485591688,0.741322513221001,0.885247910003851,0.873361008742597,0.873106836913641,0.885247910003851,1,1,1,1,1,1,1,1,1
