baseline,baseline_label,n_paired_tasks,mean_gain,ci95_low,ci95_high,median_gain,win_fraction,loss_fraction,signed_win_balance,wilcoxon_p,wilcoxon_fdr_bh
spectral,Spectral,36,0.0346960244286391,-0.0066849307234709,0.0788737269402999,0.0317583475261926,0.5833333333333334,0.4166666666666667,0.1666666666666666,0.1227201887813862,0.1227201887813862
feedback_hub,Feedback hub,36,0.0479060997151666,0.0128081806831889,0.0866681060857243,0.0447359904646873,0.6944444444444444,0.3055555555555556,0.3888888888888889,0.0094809741422068,0.0113771689706481
high_degree,High degree,36,0.0635094359103176,0.03067962098608,0.0999890843251099,0.0583407469093799,0.7222222222222222,0.2777777777777778,0.4444444444444444,0.000334733776981,0.000669467553962
module_bridge,Module bridge,36,0.0635094359103176,0.0311442233647944,0.0995210478366869,0.0583407469093799,0.7222222222222222,0.2777777777777778,0.4444444444444444,0.000334733776981,0.000669467553962
cycle_proxy,Cycle proxy,36,0.0660738916032844,0.0285878071276884,0.106869633989926,0.0535492375493049,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0026280424499418,0.0039420636749127
random,Random,36,0.2453515933771591,0.1990605264580356,0.2912174698655386,0.2474192762456369,0.9444444444444444,0.0555555555555555,0.8888888888888888,1.4551915228366852e-10,8.73114913702011e-10
