subject,top_fraction,topset_auc_crossover
619293,0.05,0.0126641309938163
619293,0.1,-0.0758301709599468
619293,0.2,-0.0079998457479431
619293,0.4,0.0543594848311248
619293,0.05,0.0324673801846979
619293,0.1,-0.0353026637563059
619293,0.2,0.0121308027498918
619293,0.4,-0.0161977072396291
619293,0.05,0.0052293963562437
619293,0.1,0.0158236375009774
619293,0.2,0.0230346586910625
619293,0.4,-0.0663514934709516
619293,0.05,0.0266269929551352
619293,0.1,0.0181500432579408
619293,0.2,0.024397355085898
619293,0.4,-0.0071338524286244
619293,0.05,-0.0230779380717804
619293,0.1,0.0022959183673468
619293,0.2,-0.0434333216045039
619293,0.4,-0.0103712174524982
619293,0.05,-0.0025650909678927
619293,0.1,0.0359994703539958
619293,0.2,0.0185130561219318
619293,0.4,0.0291219683061707
619293,0.05,0.0233301327066774
619293,0.1,0.0197174621482578
619293,0.2,-0.0034258474631682
619293,0.4,0.0382792659547479
619293,0.05,-0.0625843634945017
619293,0.1,0.0413898459025188
619293,0.2,-0.0139358435130323
619293,0.4,-0.0395512642332918
619293,0.05,-0.0313937191980288
619293,0.1,-0.0400392165098566
619293,0.2,-0.0160757728494623
619293,0.4,-0.0671356406810035
619293,0.05,-0.0058888888888888
619293,0.1,-0.0186666666666666
619293,0.2,0.0045555555555556
619293,0.4,0.0526666666666667
619293,0.05,0.0075733418367347
619293,0.1,0.0331931600765306
619293,0.2,0.0044802295918368
619293,0.4,0.0326909279336735
619293,0.05,-0.0558977193895247
619293,0.1,-0.0370638224072148
619293,0.2,0.0409317551161985
619293,0.4,0.0021034946236559
619296,0.05,-0.0074824633342526
619296,0.1,0.001994460182907
619296,0.2,-0.0148524840286566
619296,0.4,0.0207774873620449
619296,0.05,-0.009609861507327
619296,0.1,0.020259673761978
619296,0.2,0.0281533721015287
619296,0.4,0.0256814119913197
619296,0.05,0.0031047077922077
619296,0.1,0.0258371609376075
619296,0.2,0.0443513982297465
619296,0.4,0.0336218598076856
619296,0.05,0.0165818013643195
619296,0.1,0.0264154237484102
619296,0.2,-0.025880795467684
619296,0.4,-0.0207569661232511
