graph_seed,regime,noise_seed,original_lif_rate_hz,hh_rate_hz,matched_lif_rate_hz,matched_residual_hz,matched_absolute_difference_hz
92001,transition_mid,8501,9.499998092651367,68.60155487060547,68.52928924560547,-0.072265625,0.072265625
92001,transition_mid,8502,9.499998092651367,68.60545349121094,68.53124237060547,-0.07421112060546875,0.07421112060546875
92001,sparse_drive,8501,9.998044967651367,68.44921112060547,69.95311737060547,1.50390625,1.50390625
92001,sparse_drive,8502,9.999999046325684,68.40819549560547,69.94139862060547,1.533203125,1.533203125
92002,transition_mid,8501,9.503904342651367,68.32616424560547,68.56053924560547,0.234375,0.234375
92002,transition_mid,8502,9.498045921325684,68.46678924560547,68.56053924560547,0.09375,0.09375
92002,sparse_drive,8501,9.999999046325684,68.45702362060547,69.93163299560547,1.474609375,1.474609375
92002,sparse_drive,8502,9.999999046325684,68.43943786621094,69.94530487060547,1.5058670043945312,1.5058670043945312
92003,transition_mid,8501,9.496091842651367,68.48436737060547,68.55077362060547,0.06640625,0.06640625
92003,transition_mid,8502,9.498045921325684,68.60741424560547,68.53905487060547,-0.068359375,0.068359375
92003,sparse_drive,8501,9.499998092651367,68.44725036621094,69.92967987060547,1.4824295043945312,1.4824295043945312
92003,sparse_drive,8502,9.999998092651367,68.44335174560547,69.93749237060547,1.494140625,1.494140625
