topology,complexity_fraction,mean,std,n,median,sem,ci95
er,0.00390625,0.014149973452369478,0.01836478593659228,168,0.0096163023792156,0.0014168739956764514,0.0027770730315258446
er,0.0078125,0.025194237611109626,0.027777958314111416,168,0.01346289847308995,0.002143116011487367,0.004200507382515239
er,0.015625,0.04492227056974179,0.049333813858591855,168,0.02117634919474225,0.0038061863723934993,0.007460125289891258
er,0.03125,0.04551737624156173,0.04334868950406627,168,0.0337215583333315,0.003344424003471999,0.006555071046805118
er,0.0625,0.0229655306775656,0.03971345183745335,168,0.018792385228172198,0.0030639593285386227,0.006005360283935701
er,0.09375,0.011308093146766344,0.04216899178884097,168,0.00864900515079035,0.003253408348771054,0.006376680363591266
er,0.125,0.025032135403226283,0.06477001117608211,168,0.012827974371654949,0.004997114850775801,0.00979434510752057
er,0.15625,0.04755806120287508,0.09268058596289333,168,0.0186169648735823,0.007150462445262036,0.014014906392713591
er,0.1875,0.08611240119119726,0.11426119647286126,168,0.0634181680480212,0.008815442693219626,0.017278267678710466
er,0.25,0.1703763648868839,0.15022947243109522,168,0.16744450688015283,0.011590455429577862,0.02271729264197261
er,0.375,0.22610919466122714,0.17778625948302726,168,0.23350717025822165,0.013716507707730419,0.02688435510715162
er,0.5,0.1427969369457235,0.15886940535169913,168,0.1622298311732729,0.012257040726126335,0.024023799823207615
er,0.75,0.10864647354543132,0.2029224421968339,168,0.11303586246456185,0.015655806306730212,0.030685380361191214
modular,0.00390625,0.04247348685902298,0.030241498808877998,168,0.03363654289395355,0.0023331822870422438,0.004573037282602797
modular,0.0078125,0.05634193805783903,0.0430115025387964,168,0.0534146894684356,0.003318409464319653,0.00650408255006652
modular,0.015625,0.06356126417072634,0.03853146413669064,168,0.060516065228767554,0.0029727669976177848,0.005826623315330858
modular,0.03125,0.04637530394801759,0.03779996888540836,168,0.0416723698651882,0.0029163309137406755,0.0057160085909317235
modular,0.0625,0.008677044056270969,0.03251115331520839,168,0.00514080578015635,0.002508289933833912,0.004916248270314468
modular,0.09375,-0.006001139180149505,0.037769028053112746,168,-0.01107318252797515,0.0029139437767037616,0.005711329802339373
modular,0.125,0.015879607612849872,0.0639974822292169,168,-0.00338604593995795,0.0049375129485538065,0.00967752537916546
modular,0.15625,0.04545344908990546,0.08931579777176923,168,0.01429376071410215,0.006890863400360369,0.013506092264706322
modular,0.1875,0.07940492559697498,0.11084316274856938,168,0.046575599261147155,0.008551735666248806,0.01676140190584766
modular,0.25,0.133757011318859,0.1344061337925836,168,0.10640514184032855,0.010369658349824387,0.020324530365655798
modular,0.375,0.16117729087613877,0.16813657823562717,168,0.13289112799724345,0.012972018636460312,0.02542515652746221
modular,0.5,0.09683473385025833,0.1600331450560132,168,0.08554349328668476,0.012346825193556113,0.02419977737936998
modular,0.75,0.0778340160077579,0.18055223325496475,168,0.0564716013196416,0.013929907217189038,0.027302618145690512
scale_free,0.00390625,0.009642233850049555,0.03298848726339141,168,0.00735359232685395,0.002545117047461548,0.004988429413024634
scale_free,0.0078125,0.005542504175198856,0.041958865665773386,168,-0.0082511149696738,0.0032371967664191164,0.006344905662181468
scale_free,0.015625,-0.014510259148665713,0.031931326362026335,168,-0.0192709227113649,0.0024635553131967603,0.00482856841386565
scale_free,0.03125,-0.014877652042276156,0.027963927881548226,168,-0.0130081903660928,0.0021574638751106177,0.004228629195216811
scale_free,0.0625,0.04006088445992629,0.06972654066783777,168,0.042033612326649455,0.005379519403157703,0.010543858030189097
scale_free,0.09375,0.09144430509355042,0.10759424770597702,168,0.09676595697075491,0.008301076428841689,0.01627010980052971
scale_free,0.125,0.133863242279209,0.14687258116035848,168,0.14349586113943505,0.01133146564531127,0.02220967266481009
scale_free,0.15625,0.1627037453398566,0.16223221914335223,168,0.1672361559455357,0.012516487442801733,0.024532315387891395
scale_free,0.1875,0.17993986266054995,0.17257318711943295,168,0.18765895970561897,0.013314310443081716,0.026096048468440165
scale_free,0.25,0.1833619547406313,0.1639913681095691,168,0.2156088820720713,0.01265220873208654,0.02479832911488962
scale_free,0.375,0.15290077047648673,0.150899812051629,168,0.1418428953402395,0.011642173254108202,0.022818659578052077
scale_free,0.5,0.13514996642804866,0.14019118194782437,168,0.1292752298927087,0.010815984504847222,0.021199329629500555
scale_free,0.75,0.07242548792260173,0.12287576117248374,168,0.08067079646994821,0.009480070789028091,0.01858093874649506
small_world,0.00390625,0.07667293668471482,0.03183096846687495,168,0.07199242457533366,0.0024558125334882587,0.004813392565636987
small_world,0.0078125,0.09138344303610964,0.03137856142295058,168,0.09020427005820719,0.0024209085722762696,0.004744980801661488
small_world,0.015625,0.09185558210276559,0.03601052772812038,168,0.08824876455582445,0.0027782725311758863,0.005445414161104737
small_world,0.03125,0.06423897484485049,0.04361899972181542,168,0.0662248005853106,0.003365278889535837,0.0065959466234902404
small_world,0.0625,0.005207978123588132,0.0381373009693579,168,0.0034416483852966,0.0029423566490422294,0.00576701903212277
small_world,0.09375,-0.013432686440211717,0.03502874437736478,168,-0.02325841561960575,0.0027025263011965883,0.005296951550345313
small_world,0.125,0.003035816034849332,0.07067367540051257,168,-0.02267168592048045,0.005452592434216289,0.010687081171063926
small_world,0.15625,0.02460580271763774,0.10203846378023146,168,-0.0166264536975563,0.007872438393137646,0.015429979250549787
small_world,0.1875,0.05293762024446749,0.12584553199669618,168,0.00076123429749085,0.009709193582425923,0.01903001942155481
small_world,0.25,0.07463308337377694,0.14378624304283835,168,0.01302639400313705,0.011093349489986744,0.02174296500037402
small_world,0.375,0.06765000598651578,0.14381766618326297,168,0.02727344734493705,0.011095773837903668,0.02174771672229119
small_world,0.5,0.02322440143571146,0.13953706083245798,168,0.00822262356401355,0.010765517965156235,0.02110041521170622
small_world,0.75,-0.08340605854007743,0.15801388772529598,168,-0.07044901994941574,0.012191036108273523,0.023894430772216105
