graph_seed,shared_mid,random_mid,shared_sparse,random_sparse,shared_J,random_J,gain_mid,gain_sparse,gain_maximin
93001,0.3974904579420884,0.2590748248621821,0.35111026900509995,0.22238187010710433,0.35111026900509995,0.22238187010710433,0.13841563307990634,0.12872839889799562,0.12872839889799562
93002,0.35022620235880214,0.2190440576523542,0.38591769834359485,0.19354763906449077,0.35022620235880214,0.19354763906449077,0.13118214470644793,0.19237005927910408,0.15667856329431137
93003,0.3380378584067027,0.30635761593778926,0.2942233129094044,0.1817143509785334,0.2942233129094044,0.1817143509785334,0.03168024246891343,0.11250896193087101,0.11250896193087101
93004,0.3736878000199795,0.21170495326320327,0.3191438938180605,0.19400115932027495,0.3191438938180605,0.19400115932027495,0.1619828467567762,0.12514273449778557,0.12514273449778557
93005,0.4261309492091338,0.2125568507860104,0.338440902531147,0.23805266711860892,0.338440902531147,0.2125568507860104,0.21357409842312342,0.10038823541253808,0.12588405174513662
93006,0.4640852063894272,0.29621196010460454,0.25599812716245646,0.20961042912676928,0.25599812716245646,0.20961042912676928,0.16787324628482264,0.04638769803568718,0.04638769803568718
93007,0.3983548718194167,0.24128131506343678,0.29312954253206647,0.22497380063092953,0.29312954253206647,0.22497380063092953,0.15707355675597992,0.06815574190113693,0.06815574190113693
93008,0.46976247678200406,0.1641533467918634,0.28564742983629304,0.22124515287578103,0.28564742983629304,0.1641533467918634,0.30560912999014067,0.06440227696051201,0.12149408304442963
93009,0.42327363913257915,0.19049705658107993,0.4108807860563199,0.09061608999036248,0.4108807860563199,0.09061608999036248,0.23277658255149922,0.3202646960659574,0.3202646960659574
93010,0.41602592046062153,0.25802136926601327,0.39403051262100536,0.14665268625443176,0.39403051262100536,0.14665268625443176,0.15800455119460827,0.2473778263665736,0.2473778263665736
93011,0.3698810463150342,0.19508807283515728,0.3464929834008217,0.20062458949784434,0.3464929834008217,0.19508807283515728,0.17479297347987693,0.14586839390297734,0.1514049105656644
93012,0.40230624998609227,0.20511662742743886,0.3205381262426575,0.14094266109168527,0.3205381262426575,0.14094266109168527,0.1971896225586534,0.17959546515097222,0.17959546515097222
