graph_seed,graph_id,coupling,noise_sigma,A_mid,A_pool,A_shared,A_sparse,shared_random,spectral,shared_minus_random,shared_minus_frozen_mid,shared_minus_frozen_sparse,tested_specialists_max
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,0.45498380189140636,0.3279580318679412,0.3888417004297177,0.2697409360359112,0.2881135580440362,0.3189735139409701,0.10072814238568151,-0.06614210146168864,0.11910076439380651,0.45498380189140636
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,0.4236473801235358,0.35273702380557853,0.413610327988863,0.2931693519155184,0.292747288942337,0.2849187205235163,0.12086303904652601,-0.01003705213467282,0.12044097607334459,0.4236473801235358
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,0.4106918517500162,0.39400633859137696,0.432173981020848,0.2964178950836261,0.2545981546863913,0.2895154630144437,0.17757582633445668,0.021482129270831762,0.13575608593722188,0.4106918517500162
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,0.39399477963646246,0.4130373168736696,0.400259830057621,0.2757768972466389,0.19052005683382348,0.3476074847082297,0.20973977322379753,0.006265050421158547,0.1244829328109821,0.39399477963646246
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,0.3626276223609845,0.40317641384899616,0.43870575663944084,0.34831735119223595,0.20293395873159167,0.3600149694830179,0.23577179790784916,0.07607813427845633,0.09038840544720489,0.3626276223609845
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.2,0.3346123055865367,0.40850506474574405,0.37262701988220215,0.3212990922232469,0.1726250372206171,0.4271910171955824,0.20000198266158506,0.03801471429566544,0.051327927658955275,0.3346123055865367
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,0.8,0.2621660586446523,0.4510555913050969,0.3648530176530282,0.3479000919808944,0.1344556929543614,0.34779525361955166,0.23039732469866678,0.10268695900837588,0.0169529256721338,0.3479000919808944
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.0,0.26358749593297637,0.4097863386074702,0.33534256493051845,0.3814284677306811,0.1383068924769759,0.3805885606755813,0.19703567245354256,0.07175506899754208,-0.04608590280016267,0.3814284677306811
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.0425,1.2,0.26424525491893286,0.3713274697462718,0.32442659450074035,0.366852546731631,0.13291899425288037,0.42292382133503753,0.19150760024785998,0.06018133958180749,-0.04242595223089063,0.366852546731631
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.04625,0.8,0.2748775407671928,0.30342960543930525,0.27167944951603806,0.35867874572674435,0.14952061759928859,0.3314448129385709,0.12215883191674948,-0.003198091251154722,-0.08699929621070629,0.35867874572674435
