subject,jaccard_within,jaccard_cross
619293,0.1337513630203839,0.1353170519567513
619296,0.1915271892904751,0.1745674531616003
620333,0.1391765225176936,0.1295748504101884
620334,0.1535965240752254,0.1551277699523714
625545,0.1451867682474839,0.1396542497318589
625554,0.1690184273697404,0.1637486280214632
625555,0.1351462197065311,0.1277818405817992
630506,0.1473329968178,0.1442242478868092
631510,0.1772285071112338,0.1494995553328624
631570,0.1593427754025693,0.1466472028386072
633229,0.1698026475242979,0.1604066149340618
637484,0.13819047127042,0.131572783819738
