observed,predicted
0.0,0.5911330557215677
3.0,1.7158251819778791
0.0,1.0179859292710218
2.0,1.0688590783533325
0.0,1.051525723263541
1.0,1.2318993854921831
1.0,0.7598667287776633
2.0,1.334144888618659
1.0,1.3802749540906447
2.0,1.597414356609154
1.0,1.2766415430620763
1.0,1.4015912268872763
1.0,1.387475886088409
2.0,1.2671477665682989
0.0,1.0517882007434245
1.0,1.3515281524427754
2.0,1.3103456858454892
2.0,1.658987062578854
1.0,1.032525540858193
1.0,1.2877025687547166
1.0,1.2632142830421182
1.0,1.312635690487522
2.0,1.4652809809342102
3.0,1.1514858053151689
0.0,1.2329456660095726
0.0,1.1556393514019647
1.0,1.2900307893995095
1.0,1.3912101622653574
1.0,1.2673359453148865
2.0,1.1081882803686645
0.0,1.024514739407394
1.0,1.0208899622399843
0.0,1.60455648664512
3.0,1.5568844673002824
0.0,1.3133860733661875
0.0,1.2714273796916709
2.0,1.28994640353196
1.0,0.9882117523693972
1.0,1.47313437435967
1.0,1.4997596659266492
0.0,1.6737796531802551
2.0,1.2964816929068388
1.0,1.3228163827262236
1.0,1.3711391695562103
0.0,1.1686474775303777
0.0,0.7566656077026682
0.0,1.23028036946576
0.0,1.2953041153234417
3.0,1.3610418682100474
1.0,1.3025663797030145
1.0,1.5080103698073004
2.0,1.6940931637328842
1.0,1.4945973769929466
1.0,1.2840649489275275
2.0,1.239486344092393
0.0,1.0334647246864543
2.0,1.4120327430023023
0.0,1.0224292196058749
0.0,0.9692694073757542
1.0,1.2336584035601486
3.0,1.0246842169401051
1.0,1.3111709841354076
3.0,1.337748067300208
0.0,1.3101677946139474
3.0,1.5017333722574393
0.0,0.8962072316771559
0.0,1.806975332872128
1.0,1.252246732723305
0.0,1.442966649071215
1.0,1.3071253570948245
1.0,1.4064084433157222
2.0,1.3621088446714509
0.0,1.2350321894396787
0.0,1.272770197227863
0.0,1.1014378234930544
0.0,1.0704642137918294
0.0,1.313318962736514
0.0,1.1251843594891993
1.0,1.311312233057654
0.0,1.2867684792702878
1.0,1.1731916236021205
1.0,0.8923338333439451
2.0,1.08313638451563
1.0,1.0302035460790266
1.0,1.0107518798462258
3.0,1.2777471062915255
3.0,1.36109821506699
1.0,1.230807349252565
0.0,0.9457991283734593
2.0,0.8828748148442485
1.0,1.111269145595163
0.0,0.7664189930876353
1.0,1.1150223489936646
2.0,1.210755170766687
1.0,1.2195578164309502
1.0,1.2914506744073246
2.0,1.1827176587361865
1.0,1.3270392112375684
1.0,1.3170356581747469
1.0,1.1524035468812424
1.0,1.5105378262034688
3.0,1.4152585113358946
1.0,1.2754633620755098
2.0,1.2605298070000817
3.0,1.8843372611658369
0.0,1.1785962537021784
0.0,1.2298582494299275
0.0,1.227984962455973
3.0,1.4401777740705917
0.0,1.189828844997325
1.0,1.3762823754193654
1.0,1.2449305124221195
0.0,1.3289699330158251
1.0,1.2089340995129476
0.0,1.2406580574642432
1.0,1.2822990802111165
0.0,1.5098395756639185
1.0,1.4158510379039388
2.0,1.0491216158950425
1.0,1.231523313629498
1.0,1.2997206733479614
1.0,0.9428664757824968
1.0,1.3059883456313028
3.0,0.5817329464050854
0.0,0.7639061174532374
3.0,1.240858814692571
3.0,1.1769874782606653
1.0,1.201045334117428
1.0,1.2519657647286635
0.0,1.2471902368548595
1.0,1.2669501453104195
1.0,1.0671156270948683
2.0,1.317528783713405
0.0,0.9343594818758356
1.0,1.2520010271375843
1.0,1.0457644481492423
2.0,1.207141777697748
1.0,1.439627634216006
1.0,0.7791404570498123
1.0,0.9573613078094968
2.0,1.2678140564371856
1.0,1.2397336648484405
0.0,1.1188256199605118
3.0,1.0931424863093295
2.0,1.2277493467708005
0.0,1.2558980529395398
2.0,1.1334044971489077
2.0,1.611321663408841
2.0,1.412612127858232
3.0,1.31097526998535
3.0,1.32556895407403
2.0,1.304668584322881
0.0,1.4118718512588866
2.0,1.22893159039991
0.0,1.3850593630993306
1.0,1.264500002660699
3.0,1.5803485901407333
3.0,1.2709659561674342
0.0,1.658368184922832
2.0,1.48224795196098
3.0,1.3000627969430345
0.0,1.2170924098768905
0.0,1.3834996602715115
1.0,1.3352784202749288
2.0,1.5594166141217518
1.0,1.4120285560554924
1.0,1.3850308730881395
1.0,0.925219663610598
0.0,1.3512162663890857
2.0,1.258592636795051
1.0,1.1748367581867778
1.0,1.3830425971158706
0.0,0.8535193300687853
2.0,1.5746352180619705
0.0,1.200944367709549
1.0,0.903625489596332
1.0,1.2498095055577347
1.0,1.4322099368883348
0.0,1.207674948149156
2.0,0.9302334255394652
1.0,1.175013729409106
2.0,0.7918209909796692
0.0,1.1556691445540743
2.0,1.2257446454662984
1.0,1.0262442310484172
1.0,1.0638019133653085
0.0,1.0882972133749564
0.0,1.0077485845537573
1.0,1.2380123861969718
3.0,1.2496156638219686
2.0,1.37123409364122
2.0,1.441703103580534
1.0,1.418850675419749
1.0,1.5341060656077825
3.0,1.5144260978297168
0.0,1.256900902662768
3.0,1.3967221565207912
2.0,1.2484451721507406
2.0,1.3177828015928963
1.0,1.3711659063028845
0.0,1.2346738684349785
2.0,1.4898299203994545
1.0,1.4622965166338266
1.0,1.4945733069657914
3.0,1.2320372559876416
1.0,1.2406745188968726
1.0,1.320083447683548
0.0,0.7519512921342122
1.0,1.2851608469144122
3.0,1.2689591100344706
2.0,1.322821156485817
2.0,1.2241044271360644
0.0,1.2181102929072485
0.0,1.2703396515428345
0.0,1.2778248005549904
0.0,1.3928312932464428
1.0,1.4296100861159615
2.0,1.1944607775168
2.0,1.463293199349004
0.0,1.104526838274668
1.0,1.3751543729127138
0.0,1.221912243649738
0.0,1.3026185104366346
1.0,1.4531260360788965
0.0,1.1278881407103971
0.0,1.3192934104936775
2.0,1.2511967517343665
2.0,1.3834124789942082
1.0,1.2762993495210382
0.0,1.4896523597180422
1.0,1.3730004642424736
3.0,1.257674233591123
2.0,1.1505085197752407
1.0,1.363346843721684
3.0,1.2178601662245965
1.0,1.418176518828465
2.0,1.498809267106052
1.0,1.3652333820537372
3.0,1.2478676260037995
2.0,1.241206484269258
3.0,1.1857851917361413
1.0,0.6841732397331078
1.0,1.2308742720006651
1.0,1.471096364546272
2.0,1.2474000886725063
2.0,1.1586587375753237
1.0,1.3352680243458157
0.0,1.5286990564688847
3.0,1.208300071376971
0.0,1.263593307813319
1.0,1.1153889560884804
2.0,1.2532534887301572
2.0,1.0207640711264498
2.0,1.4447335705990934
0.0,1.1136419360769567
1.0,1.2811609297348736
1.0,1.3933202723453086
1.0,1.1545491748364145
1.0,1.303838812757818
1.0,1.1372596197607363
3.0,1.233204238388584
0.0,1.264367762169559
1.0,1.0336204135779712
0.0,1.4348559113287034
1.0,1.23077167093365
1.0,1.3820857336168235
3.0,1.2926513867983318
3.0,1.41270157696925
2.0,1.2311143467439407
3.0,1.785693520780097
2.0,1.194231609485366
3.0,0.9879346775628024
1.0,1.3393286829298383
2.0,1.3422481664458146
3.0,1.248035396368118
3.0,1.3207273283239669
2.0,1.210714408208999
0.0,0.6661921789276307
3.0,1.1458054186982731
2.0,1.1139105379645322
2.0,1.2824789660049445
3.0,1.3401154488041194
1.0,0.9397453396222412
0.0,1.0518261467347505
3.0,1.160520490441654
3.0,1.1019361411881703
3.0,1.2593712362547922
1.0,1.6594903681912003
0.0,1.10794927594766
3.0,1.1574850271257886
