null,observed
-0.002943901911048,-0.00208993282934215
-0.006560488161872,-0.00208993282934215
0.0028447959823765,-0.00208993282934215
0.0034597685215798,-0.00208993282934215
-0.0101956946816515,-0.00208993282934215
0.0106254232959726,-0.00208993282934215
-0.0094077445545242,-0.00208993282934215
-0.0040126675957392,-0.00208993282934215
-0.0175195531327948,-0.00208993282934215
0.0174701540031117,-0.00208993282934215
-0.0033311465105745,-0.00208993282934215
-0.005354460355238,-0.00208993282934215
0.0088392975887835,-0.00208993282934215
0.0023439750270294,-0.00208993282934215
0.0005756721780264,-0.00208993282934215
-0.0032851797628709,-0.00208993282934215
0.0004882471249078,-0.00208993282934215
0.0058365096708975,-0.00208993282934215
0.0065798194678174,-0.00208993282934215
0.0047246447721217,-0.00208993282934215
0.00368813755885,-0.00208993282934215
0.0111986796823623,-0.00208993282934215
-0.001506239180053,-0.00208993282934215
-0.0027471490675615,-0.00208993282934215
-0.0044473036099634,-0.00208993282934215
-0.0052388470154804,-0.00208993282934215
0.0075627524353702,-0.00208993282934215
-0.0025779741439733,-0.00208993282934215
-0.0004890311706732,-0.00208993282934215
-0.009355541069694,-0.00208993282934215
0.0172572880853366,-0.00208993282934215
0.0033021929452242,-0.00208993282934215
-0.0044805412655984,-0.00208993282934215
0.0019781865848279,-0.00208993282934215
0.0080360479961162,-0.00208993282934215
-0.0023207329530341,-0.00208993282934215
-0.0069898945910629,-0.00208993282934215
0.0065113366589749,-0.00208993282934215
0.0030550118253367,-0.00208993282934215
-0.0073482669203073,-0.00208993282934215
0.007608081827196,-0.00208993282934215
0.0022899610808779,-0.00208993282934215
0.0157114361441436,-0.00208993282934215
0.0134011400264333,-0.00208993282934215
-2.3557574051303605e-05,-0.00208993282934215
-0.0096750622393712,-0.00208993282934215
-0.007387547441745,-0.00208993282934215
0.0033325663741222,-0.00208993282934215
-0.0095684265636634,-0.00208993282934215
-3.54201885421499e-05,-0.00208993282934215
-0.003677791102344,-0.00208993282934215
0.0037678316350711,-0.00208993282934215
-0.0067372660908615,-0.00208993282934215
-0.0015530434213257,-0.00208993282934215
-0.000835560944152,-0.00208993282934215
0.0032045629285096,-0.00208993282934215
-0.0056414691324619,-0.00208993282934215
0.0037145758466091,-0.00208993282934215
-0.0037782139489726,-0.00208993282934215
0.0009094514476197,-0.00208993282934215
-0.0097933959531941,-0.00208993282934215
0.0052162609442284,-0.00208993282934215
-0.0057414290129454,-0.00208993282934215
-0.0006885161415925,-0.00208993282934215
0.0075200593105529,-0.00208993282934215
-0.0078679599769834,-0.00208993282934215
-0.008247278438172,-0.00208993282934215
-0.0145528484789991,-0.00208993282934215
0.0046789053368733,-0.00208993282934215
-0.0032229963104023,-0.00208993282934215
-0.0005381716717304,-0.00208993282934215
-0.005936084326566,-0.00208993282934215
-0.0022530985005298,-0.00208993282934215
-0.004593779878946,-0.00208993282934215
-0.0024117493738553,-0.00208993282934215
-0.0153108099847241,-0.00208993282934215
-0.0073709618062393,-0.00208993282934215
-0.0083913254903861,-0.00208993282934215
-0.0061922198484586,-0.00208993282934215
0.0033778138053444,-0.00208993282934215
0.0089069389425485,-0.00208993282934215
0.0240068398494637,-0.00208993282934215
-0.0090346350765689,-0.00208993282934215
0.0067050694334877,-0.00208993282934215
0.0103331194163382,-0.00208993282934215
-0.016798738130694,-0.00208993282934215
0.007269050847438,-0.00208993282934215
0.0012914185627287,-0.00208993282934215
-0.0156995952314076,-0.00208993282934215
0.0042406492113102,-0.00208993282934215
0.0058233088914027,-0.00208993282934215
0.0026992380640156,-0.00208993282934215
-0.0009940976997788,-0.00208993282934215
-0.0063386896902101,-0.00208993282934215
0.0103180975295452,-0.00208993282934215
-0.0066274220773717,-0.00208993282934215
0.000631608421648,-0.00208993282934215
-0.0034432691077432,-0.00208993282934215
0.0161150063161868,-0.00208993282934215
-0.0092887908682778,-0.00208993282934215
0.0114008841263516,-0.00208993282934215
-0.0046885717891621,-0.00208993282934215
0.0051933596809403,-0.00208993282934215
0.0112117262855689,-0.00208993282934215
0.0003028833033403,-0.00208993282934215
0.0007915227446272,-0.00208993282934215
0.0038672413543705,-0.00208993282934215
-0.0107699849943255,-0.00208993282934215
-0.0073241411859622,-0.00208993282934215
-0.0028262479614771,-0.00208993282934215
0.0005208255427267,-0.00208993282934215
0.011477126538095,-0.00208993282934215
-0.0060836782560796,-0.00208993282934215
0.0008798551130679,-0.00208993282934215
0.0113287815682207,-0.00208993282934215
-0.0169821183475688,-0.00208993282934215
-0.0044929884136953,-0.00208993282934215
-0.0005559437412209,-0.00208993282934215
-0.009709381902226,-0.00208993282934215
0.0267334581886807,-0.00208993282934215
0.0096740004546879,-0.00208993282934215
0.01481745176971,-0.00208993282934215
-0.0135865535817663,-0.00208993282934215
0.0013319696364733,-0.00208993282934215
0.0052970089841395,-0.00208993282934215
-0.0033135270628601,-0.00208993282934215
-0.0032294686568843,-0.00208993282934215
0.007366121408936,-0.00208993282934215
