coupling,noise_sigma,n_graphs,mean,median,ci95_low,ci95_high,positive_graphs,negative_graphs,zero_graphs,interval_scope
0.035,0.8,12,0.15674735401343143,0.16099855396896606,0.11828291524305115,0.19496778536251647,12,0,0,pointwise graph bootstrap; not simultaneous
0.035,1.0,12,0.173756614055795,0.17634238551060363,0.13336479487350317,0.2089454135883393,12,0,0,pointwise graph bootstrap; not simultaneous
0.035,1.2,12,0.17773546688517353,0.17169431635799515,0.13980143205004028,0.213703727552719,12,0,0,pointwise graph bootstrap; not simultaneous
0.03875,0.8,12,0.16895396446084812,0.1732348951821526,0.13550436545855415,0.19840728157109375,12,0,0,pointwise graph bootstrap; not simultaneous
0.03875,1.0,12,0.16595108293566027,0.17512252864738304,0.1268959878426459,0.20222123523805444,12,0,0,pointwise graph bootstrap; not simultaneous
0.03875,1.2,12,0.16862669751410275,0.17903608921915298,0.13125227823426638,0.20567564755328935,12,0,0,pointwise graph bootstrap; not simultaneous
0.0425,0.8,12,0.1820223642603701,0.20913791765148443,0.14639928232742627,0.21584816391534536,12,0,0,pointwise graph bootstrap; not simultaneous
0.0425,1.0,12,0.181339006133688,0.19267827831208711,0.15222015382896645,0.2083477938327835,12,0,0,pointwise graph bootstrap; not simultaneous
0.0425,1.2,12,0.1858336375314846,0.1812664321623743,0.1542977395013117,0.21633880357209517,12,0,0,pointwise graph bootstrap; not simultaneous
0.04625,0.8,12,0.1502225292950041,0.15410011525576317,0.12538322637523786,0.1730756221749794,12,0,0,pointwise graph bootstrap; not simultaneous
0.04625,1.0,12,0.16018087939786108,0.15221482639511433,0.12369550322279492,0.1977858527401016,12,0,0,pointwise graph bootstrap; not simultaneous
0.04625,1.2,12,0.15778974141317628,0.14308041023711363,0.11559046529485688,0.2030949316711081,12,0,0,pointwise graph bootstrap; not simultaneous
0.05,0.8,12,0.155092166186983,0.1282676069919641,0.11734615439264522,0.19639104687715495,12,0,0,pointwise graph bootstrap; not simultaneous
0.05,1.0,12,0.14283341575517425,0.12221346058261891,0.10077999642752629,0.18650753506032441,12,0,0,pointwise graph bootstrap; not simultaneous
0.05,1.2,12,0.14136233573986426,0.13064218118476373,0.11082405792613931,0.1736627964739455,12,0,0,pointwise graph bootstrap; not simultaneous
