subject,decoder_auc_home,decoder_auc_cross
619293,0.5681390880157055,0.5873438306083671
619296,0.849880877284943,0.8309553354219646
620333,0.6818163202519142,0.680022833422263
620334,0.7131436878348697,0.6991405303394279
625545,0.738283503181277,0.6981679021593972
625554,0.8438198831939085,0.8051566551726353
625555,0.6346972917122463,0.6036501776149692
630506,0.7375331541817634,0.7123271222934903
631510,0.7382571241660206,0.679368772466487
631570,0.7193371288659373,0.6988674129380068
633229,0.8291544819192928,0.8256379258833424
637484,0.6662397632063498,0.64898076353572
