session_id,state,confound,rho,p,n
sub-Forssmann_ses-20171104T120000,outcome,mean_activity,0.8739839435175886,0.0,1434
sub-Forssmann_ses-20171104T120000,outcome,pca_loading_norm,0.6145027911179193,1.2074201698794323e-149,1434
sub-Forssmann_ses-20171104T120000,visual,mean_activity,0.8357057952121023,0.0,1434
sub-Forssmann_ses-20171104T120000,visual,pca_loading_norm,0.6117087421889378,6.178340265218316e-148,1434
sub-Forssmann_ses-20171105T120000,baseline,mean_activity,0.7073422748269755,1.3189301736805003e-156,1027
sub-Forssmann_ses-20171105T120000,baseline,pca_loading_norm,0.6677863875555687,1.3954303481379908e-133,1027
sub-Forssmann_ses-20171105T120000,decision,mean_activity,0.7955389783072677,2.872862620494079e-225,1027
sub-Forssmann_ses-20171105T120000,decision,pca_loading_norm,0.61668933161479,1.2493310392465474e-108,1027
sub-Forssmann_ses-20171105T120000,movement,mean_activity,0.7860619401275474,2.3460969558715218e-216,1027
sub-Forssmann_ses-20171105T120000,movement,pca_loading_norm,0.6300591251713331,1.0434823749450885e-114,1027
sub-Forssmann_ses-20171105T120000,outcome,mean_activity,0.7889364648369102,5.198019157604138e-219,1027
sub-Forssmann_ses-20171105T120000,outcome,pca_loading_norm,0.6434011123738077,4.4485517800067165e-121,1027
sub-Forssmann_ses-20171105T120000,visual,mean_activity,0.7122050168006824,1.0493896835180238e-159,1027
sub-Forssmann_ses-20171105T120000,visual,pca_loading_norm,0.6558124729732764,2.6906132476101513e-127,1027
sub-Hench_ses-20170615T120000,baseline,mean_activity,0.8392999610041246,0.0,1693
sub-Hench_ses-20170615T120000,baseline,pca_loading_norm,0.7910337375834742,0.0,1693
sub-Hench_ses-20170615T120000,decision,mean_activity,0.8525048238802807,0.0,1693
sub-Hench_ses-20170615T120000,decision,pca_loading_norm,0.8047120214618423,0.0,1693
sub-Hench_ses-20170615T120000,movement,mean_activity,0.8509764435112523,0.0,1693
sub-Hench_ses-20170615T120000,movement,pca_loading_norm,0.7832001271319616,0.0,1693
sub-Hench_ses-20170615T120000,outcome,mean_activity,0.8554828622210255,0.0,1693
sub-Hench_ses-20170615T120000,outcome,pca_loading_norm,0.7741385721268753,0.0,1693
sub-Hench_ses-20170615T120000,visual,mean_activity,0.8382644743459703,0.0,1693
sub-Hench_ses-20170615T120000,visual,pca_loading_norm,0.814456209439649,0.0,1693
sub-Hench_ses-20170616T120000,baseline,mean_activity,0.9059406056996204,0.0,1362
sub-Hench_ses-20170616T120000,baseline,pca_loading_norm,0.7486087745461169,5.366221564153973e-245,1362
sub-Hench_ses-20170616T120000,decision,mean_activity,0.9103873446253317,0.0,1362
sub-Hench_ses-20170616T120000,decision,pca_loading_norm,0.7568517030303304,1.854176319960874e-253,1362
sub-Hench_ses-20170616T120000,movement,mean_activity,0.9009791441476842,0.0,1362
sub-Hench_ses-20170616T120000,movement,pca_loading_norm,0.7247699075505715,2.7862426368701384e-222,1362
sub-Hench_ses-20170616T120000,outcome,mean_activity,0.9109451319058003,0.0,1362
sub-Hench_ses-20170616T120000,outcome,pca_loading_norm,0.7216798287357461,1.6385656004778835e-219,1362
sub-Hench_ses-20170616T120000,visual,mean_activity,0.9129828891523085,0.0,1362
sub-Hench_ses-20170616T120000,visual,pca_loading_norm,0.7368061104897002,1.9316350260933757e-233,1362
sub-Hench_ses-20170617T120000,baseline,mean_activity,0.8162042762300128,0.0,1589
sub-Hench_ses-20170617T120000,baseline,pca_loading_norm,0.7153112495849676,2.75921305763021e-249,1589
sub-Hench_ses-20170617T120000,decision,mean_activity,0.8703260802813396,0.0,1589
sub-Hench_ses-20170617T120000,decision,pca_loading_norm,0.7332468668486223,3.888265496308228e-268,1589
sub-Hench_ses-20170617T120000,movement,mean_activity,0.8738486286655358,0.0,1589
sub-Hench_ses-20170617T120000,movement,pca_loading_norm,0.7620330668503033,7.89763687421611e-302,1589
sub-Hench_ses-20170617T120000,outcome,mean_activity,0.8729264868819946,0.0,1589
sub-Hench_ses-20170617T120000,outcome,pca_loading_norm,0.7478729905761919,1.1068666025249488e-284,1589
sub-Hench_ses-20170617T120000,visual,mean_activity,0.8189067912044241,0.0,1589
sub-Hench_ses-20170617T120000,visual,pca_loading_norm,0.7150586216505765,4.964190009130721e-249,1589
sub-Hench_ses-20170618T120000,baseline,mean_activity,0.8499657821263231,0.0,1402
sub-Hench_ses-20170618T120000,baseline,pca_loading_norm,0.7367617265105965,3.3396614697702506e-240,1402
sub-Hench_ses-20170618T120000,decision,mean_activity,0.9071169473948197,0.0,1402
sub-Hench_ses-20170618T120000,decision,pca_loading_norm,0.7835850357393022,1.0997472878919327e-291,1402
sub-Hench_ses-20170618T120000,movement,mean_activity,0.9006976312324754,0.0,1402
sub-Hench_ses-20170618T120000,movement,pca_loading_norm,0.7830728953098146,4.708079508882183e-291,1402
sub-Hench_ses-20170618T120000,outcome,mean_activity,0.9017748671330947,0.0,1402
sub-Hench_ses-20170618T120000,outcome,pca_loading_norm,0.7774993467664324,2.731581323139667e-284,1402
sub-Hench_ses-20170618T120000,visual,mean_activity,0.8680363005433634,0.0,1402
sub-Hench_ses-20170618T120000,visual,pca_loading_norm,0.7581770362892918,2.759936192077387e-262,1402
sub-Lederberg_ses-20171205T120000,baseline,mean_activity,0.8963855297160723,0.0,1217
sub-Lederberg_ses-20171205T120000,baseline,pca_loading_norm,0.7955028436489462,1.3160931524911326e-266,1217
sub-Lederberg_ses-20171205T120000,decision,mean_activity,0.9096877756584781,0.0,1217
sub-Lederberg_ses-20171205T120000,decision,pca_loading_norm,0.7761414500713575,1.3677673237158533e-245,1217
sub-Lederberg_ses-20171205T120000,movement,mean_activity,0.9020972281366662,0.0,1217
sub-Lederberg_ses-20171205T120000,movement,pca_loading_norm,0.7735357327668759,6.359424394285331e-243,1217
sub-Lederberg_ses-20171205T120000,outcome,mean_activity,0.9045458115472081,0.0,1217
sub-Lederberg_ses-20171205T120000,outcome,pca_loading_norm,0.7826644213564256,1.9838988172871296e-252,1217
sub-Lederberg_ses-20171205T120000,visual,mean_activity,0.909343981162877,0.0,1217
sub-Lederberg_ses-20171205T120000,visual,pca_loading_norm,0.8032721549183643,1.0844862703417974e-275,1217
sub-Lederberg_ses-20171206T120000,baseline,mean_activity,0.8364483964303996,0.0,1262
sub-Lederberg_ses-20171206T120000,baseline,pca_loading_norm,0.8131125682075515,2.2100713873237117e-298,1262
sub-Lederberg_ses-20171206T120000,decision,mean_activity,0.8623919183454387,0.0,1262
sub-Lederberg_ses-20171206T120000,decision,pca_loading_norm,0.8212339187322327,2.55312065111498e-309,1262
sub-Lederberg_ses-20171206T120000,movement,mean_activity,0.8594155564253225,0.0,1262
sub-Lederberg_ses-20171206T120000,movement,pca_loading_norm,0.8251045143583733,9.926406357e-315,1262
sub-Lederberg_ses-20171206T120000,outcome,mean_activity,0.8579980328771589,0.0,1262
sub-Lederberg_ses-20171206T120000,outcome,pca_loading_norm,0.8305544659616363,1.4e-322,1262
sub-Lederberg_ses-20171206T120000,visual,mean_activity,0.8411128480961094,0.0,1262
sub-Lederberg_ses-20171206T120000,visual,pca_loading_norm,0.8175042185841425,3.146372133177561e-304,1262
sub-Lederberg_ses-20171207T120000,baseline,mean_activity,0.8474281237976415,0.0,1184
sub-Lederberg_ses-20171207T120000,baseline,pca_loading_norm,0.7288629631375494,1.0806261833267363e-196,1184
sub-Lederberg_ses-20171207T120000,decision,mean_activity,0.8726233490903262,0.0,1184
sub-Lederberg_ses-20171207T120000,decision,pca_loading_norm,0.7465592862623047,2.058145087700349e-211,1184
sub-Lederberg_ses-20171207T120000,movement,mean_activity,0.8679333763252682,0.0,1184
sub-Lederberg_ses-20171207T120000,movement,pca_loading_norm,0.7650724614210496,3.468884095951727e-228,1184
sub-Lederberg_ses-20171207T120000,outcome,mean_activity,0.8679245885686351,0.0,1184
sub-Lederberg_ses-20171207T120000,outcome,pca_loading_norm,0.7586953849855507,3.0842310740167536e-222,1184
sub-Lederberg_ses-20171207T120000,visual,mean_activity,0.8516355533625176,0.0,1184
sub-Lederberg_ses-20171207T120000,visual,pca_loading_norm,0.7341465608262103,5.7908172498508835e-201,1184
sub-Lederberg_ses-20171208T120000,baseline,mean_activity,0.8018316799806964,3.548650264456702e-255,1133
sub-Lederberg_ses-20171208T120000,baseline,pca_loading_norm,0.6576497186809719,2.648192040029162e-141,1133
sub-Lederberg_ses-20171208T120000,decision,mean_activity,0.8330312692929653,4.753581512646378e-293,1133
sub-Lederberg_ses-20171208T120000,decision,pca_loading_norm,0.7169131066005744,2.1383701094207587e-179,1133
sub-Lederberg_ses-20171208T120000,movement,mean_activity,0.8231390051671124,3.083020488752654e-280,1133
sub-Lederberg_ses-20171208T120000,movement,pca_loading_norm,0.7258339171955418,5.415379837389393e-186,1133
sub-Lederberg_ses-20171208T120000,outcome,mean_activity,0.8240080195494706,2.4879776693943393e-281,1133
sub-Lederberg_ses-20171208T120000,outcome,pca_loading_norm,0.7181981150041803,2.4871249399520997e-180,1133
sub-Lederberg_ses-20171208T120000,visual,mean_activity,0.7987460002364442,8.422835774478507e-252,1133
sub-Lederberg_ses-20171208T120000,visual,pca_loading_norm,0.6583982735137148,9.902710847681827e-142,1133
sub-Lederberg_ses-20171209T120000,baseline,mean_activity,0.8019052181912296,4.186045675002234e-220,976
sub-Lederberg_ses-20171209T120000,baseline,pca_loading_norm,0.5764531642661415,1.650364571251665e-87,976
sub-Lederberg_ses-20171209T120000,decision,mean_activity,0.8491201482894607,3.046805129290876e-272,976
sub-Lederberg_ses-20171209T120000,decision,pca_loading_norm,0.6431122501003537,5.1461880816355055e-115,976
sub-Lederberg_ses-20171209T120000,movement,mean_activity,0.861461879249937,6.844998048933694e-289,976
sub-Lederberg_ses-20171209T120000,movement,pca_loading_norm,0.6415900387345259,2.6101499404045432e-114,976
sub-Lederberg_ses-20171209T120000,outcome,mean_activity,0.8651198347160609,3.883521081421417e-294,976
sub-Lederberg_ses-20171209T120000,outcome,pca_loading_norm,0.6025961896720287,1.5925107240820595e-97,976
sub-Lederberg_ses-20171209T120000,visual,mean_activity,0.8009750746384534,3.190587148003344e-219,976
