graph_seed,k,replicate_label,mid_home_advantage,sparse_home_advantage,crossover_interaction,mid_in_mid,sparse_in_mid,mid_in_sparse,sparse_in_sparse
42001,8,new_rep1,0.1022911674032608,0.0554193857436378,0.0788552765734493,0.2272780441368619,0.1249868767336011,0.1637968545158704,0.2192162402595082
42001,8,new_rep2,0.0303718883854647,0.0834378699461619,0.0569048791658133,0.1806139450830718,0.150242056697607,0.1742227484161655,0.2576606183623274
42001,8,new_rep3,0.0849643598000208,0.0171829978935419,0.0510736788467814,0.2003232606997092,0.1153589008996884,0.1344894782329599,0.1516724761265019
42001,8,previous_rep0,0.053490338847041,0.1345209130086004,0.0940056259278207,0.1561658531427383,0.1026755142956972,0.1253213849849999,0.2598422979936003
42001,32,new_rep1,0.0812212396413087,0.1160916276276112,0.09865643363446,0.4087587911635637,0.3275375515222549,0.2600423780580361,0.3761340056856473
42001,32,new_rep2,0.1176255823423464,0.1458784791951378,0.1317520307687421,0.4049872284134229,0.2873616460710764,0.2384903303657969,0.3843688095609347
42001,32,new_rep3,0.1367020588368176,0.0399407610918083,0.088321409964313,0.4029657573749621,0.2662636985381444,0.2548401166374485,0.2947808777292569
42001,32,previous_rep0,0.0156940147280693,0.0296602280189593,0.0226771213735143,0.3745896182954311,0.3588956035673618,0.2475013912965854,0.2771616193155448
42001,64,new_rep1,0.25324370401601,0.1206195354461669,0.1869316197310885,0.6984180932243665,0.4451743892083565,0.5107728720953068,0.6313924075414737
42001,64,new_rep2,0.050293763478597,0.0161356764535108,0.0332147199660539,0.6448865061004957,0.5945927426218987,0.5980886705219746,0.6142243469754854
42001,64,new_rep3,-0.1519045584524672,0.2266717751820882,0.0373836083648105,0.4437764290099342,0.5956809874624014,0.4036293129126231,0.6303010880947113
42001,64,previous_rep0,-0.0362151786684989,0.1741996177782614,0.0689922195548812,0.5857905708253384,0.6220057494938374,0.403111665820082,0.5773112835983435
42002,8,new_rep1,0.1077311749880513,0.0159940449520945,0.0618626099700729,0.2129067629575729,0.1051755879695216,0.177357436157763,0.1933514811098575
42002,8,new_rep2,0.044794571120292,0.1025258512236177,0.0736602111719549,0.2051288390842577,0.1603342679639657,0.1332747160146633,0.2358005672382811
42002,8,new_rep3,0.0575366533982256,0.0891200406476854,0.0733283470229556,0.1669722811008493,0.1094356277026236,0.1144849654907981,0.2036050061384836
42002,8,previous_rep0,0.0999310019736488,0.0396216862524549,0.0697763441130518,0.2028174248213569,0.102886422847708,0.1294036128868659,0.1690252991393208
42002,32,new_rep1,0.0601852449278037,0.1412955069293578,0.1007403759285807,0.3933796416968107,0.333194396769007,0.3019380240390698,0.4432335309684276
42002,32,new_rep2,0.0654432978481054,-0.0473526977002621,0.0090453000739216,0.3823863994330168,0.3169431015849113,0.2583396794895331,0.210986981789271
42002,32,new_rep3,-0.109231574460864,0.1488808595264951,0.0198246425328155,0.3290633950382471,0.4382949694991112,0.2193020361786087,0.3681828957051039
42002,32,previous_rep0,0.0965090977648894,0.1532326893260082,0.1248708935454488,0.3747901941339175,0.2782810963690281,0.2844256948058803,0.4376583841318885
42002,64,new_rep1,-0.0155629565318425,0.0468471385538578,0.0156420910110076,0.5686675036946932,0.5842304602265358,0.3918933204064767,0.4387404589603345
42002,64,new_rep2,0.0285664194573959,-0.0560776330530644,-0.0137556067978342,0.6260113747169574,0.5974449552595615,0.4198398335526387,0.3637622004995743
42002,64,new_rep3,0.0792854043344656,0.2590576497217019,0.1691715270280837,0.6877611043552557,0.6084757000207901,0.3568294768532117,0.6158871265749136
42002,64,previous_rep0,0.0192645912369091,-0.1010900344699621,-0.0409127216165264,0.6593250098327795,0.6400604185958704,0.5474961182723442,0.4464060838023821
42003,8,new_rep1,-0.0126566275333364,0.0187029500957578,0.0030231612812107,0.1510784349714716,0.1637350625048081,0.1009104681046058,0.1196134182003637
42003,8,new_rep2,0.0146850757300854,-0.0258631183144946,-0.0055890212922046,0.1379460338503122,0.1232609581202268,0.1252317566735049,0.0993686383590102
42003,8,new_rep3,-0.0299104449804872,0.0554178381959598,0.0127536966077363,0.1285638693564882,0.1584743143369754,0.0509705054573714,0.1063883436533312
42003,8,previous_rep0,-0.0072349896654485,0.0514542415427665,0.0221096259386589,0.120565856496493,0.1278008461619416,0.0734458385656277,0.1249000801083942
42003,32,new_rep1,0.0116847759733598,0.0473183536281188,0.0295015648007393,0.3172097038477659,0.3055249278744061,0.2424721370140711,0.28979049064219
42003,32,new_rep2,0.0778320909788211,0.0936773357292016,0.0857547133540113,0.36113341152668,0.2833013205478589,0.3423710123946269,0.4360483481238286
42003,32,new_rep3,0.1279623632629712,0.0299817519262433,0.0789720575946072,0.4355002269148826,0.3075378636519114,0.270070891516904,0.3000526434431473
42003,32,previous_rep0,0.0086661248157421,-0.038384072172145,-0.0148589736782014,0.419236250842611,0.4105701260268688,0.2978808113063375,0.2594967391341924
42003,64,new_rep1,0.0951913756628831,0.3185807336121797,0.2068860546375314,0.6967226676642895,0.6015312920014063,0.3519262528667847,0.6705069864789645
42003,64,new_rep2,-0.0431030796219905,0.0482395651439825,0.002568242760996,0.6025596211353937,0.6456627007573843,0.4771803518136342,0.5254199169576168
42003,64,new_rep3,-0.2052161122361819,0.0474145555247862,-0.0789007783556978,0.443225252131621,0.648441364367803,0.4247782882302999,0.4721928437550862
42003,64,previous_rep0,0.2273084726184606,-0.0437696495403845,0.091769411539038,0.6500352236131827,0.422726750994722,0.5430010799318552,0.4992314303914706
