axon_length_zmean,bbox_volume_zmean,branch_points_zmean,dendrite_length_zmean,endpoints_zmean,max_euclidean_radius_zmean,max_path_length_zmean,n,node_type_entropy_zmean,path_tortuosity_proxy_zmean,projection_subtype,radius_gyration_zmean,spatial_entropy_4_zmean,spatial_entropy_6_zmean
0.2655754052065617,-1.1342782192092804,-0.6950488861748583,0.0,-0.6816037068360802,-0.9334356241027196,-1.167143216488728,50,2.174072612146959,0.0732262808991277,1,-1.0590138314148685,-0.6245735733504767,-0.5516520464520904
0.0,-1.282304707253131,-0.9092881850295732,0.0,-0.9099351485605032,-1.094529977399129,-1.0616842904159778,67,1.690379472277418,0.5884702758424438,2,-1.5308384815205596,-0.2805002800342311,-0.1879410992726411
0.0,-0.6442788611203925,-0.5332219976539174,0.0,-0.5389335211401945,-1.012310085103751,-0.9638626696049908,139,1.372531587707674,0.529433573925513,3,-0.8995918535101344,-0.4097242062600157,-0.4176862047130928
0.0,-1.8309920524990857,-1.2917373167912916,0.0,-1.2800983417031684,-1.8720690390901007,-1.1316810396575985,54,1.3234351300839284,2.662555812191832,4,-1.755627915345101,0.0528389177781955,0.0546901235525423
0.0,-1.770842792693533,-0.9728622522051142,0.0,-0.9737722777040624,-1.8907384343733475,-1.5618675708043033,61,1.549485362024817,1.6901885053523589,5,-1.920931743831312,-0.4558439593202782,-0.3957295962404826
0.0,-0.1293296122052842,-0.749657098328663,0.0,-0.7422936192699277,0.6226662179474086,-0.0025551419382925,59,0.5303019476253451,-1.160732107218445,6,0.2248628146241251,-0.9959630287018696,-0.932154038492091
0.0,0.8009561725741304,-0.1188130788477711,0.0,-0.1234811360281092,0.6099840023965594,0.2353574436519074,57,0.0674807770107773,-0.7076417933481106,7,0.7635178959968812,-0.6511216658730793,-0.7195742935047884
0.0,-1.4381566345297736,-1.1088946589570947,0.0,-1.1011280188089063,-1.3593785119231625,-1.732251771443753,109,1.592796015233045,-0.2209622875980063,8,-1.1280336944111051,-0.8039574074787473,-0.7439804574530569
0.0,-0.042766211903559,-0.4048756297552443,0.0,-0.4064749496528828,-0.4247871072151032,-0.5171809381069994,81,0.2607044041905255,0.0670715559680969,9,-0.2349968968013438,-0.414778771814381,-0.4289839017412378
0.0,0.0987945606676136,-0.116768281371226,0.0,-0.1221393357838635,-0.4228458871235451,-0.4780732595050854,61,0.3395255797287032,0.1995830219849157,10,-0.0752021953031412,-0.2408422510041288,-0.2081436301677426
0.0,0.1064822051506202,0.2388550295080947,0.0,0.2338873840505038,-0.3430318196787569,-0.6264421202883842,98,0.4371837673702279,-0.3550437471504541,11,-0.05050722133422,-0.2996371031977087,-0.3031948704719848
0.0,-0.7210645247789002,-0.9447821775350168,0.0,-0.9383213119958428,-0.5519739388473209,-1.0293985448350895,35,1.222928336539727,-0.6974229101204331,12,-0.5244368717834959,-0.6276837445165692,-0.7345617591385651
0.0,-0.7980127321438394,-1.0541699487000429,0.0,-1.0452722942395842,-0.5386017779683955,-0.8430603462382911,91,1.1054416175189978,-0.2676305538093027,13,-0.7412979276050318,-0.5009062691068545,-0.444601173189801
0.0,-1.4169338007952337,-0.8543108237790118,0.0,-0.8240994090410249,-1.1516074084724155,-1.63132008361327,53,1.7660983518365465,-0.5441639578893481,14,-1.2185892640641016,-0.8728484148711715,-0.7385195399650757
0.0,-0.8020550117542705,-0.7677835219714493,0.0,-0.7636214621388207,-0.555080351852888,-0.9497687865650072,86,0.7482888128687032,-0.4666385303142394,15,-0.7103678856427414,-0.4863989783823476,-0.4859965300485324
0.0,-1.6203370382398892,-1.354819136686635,0.0,-1.3414546168052428,-0.9039673250868544,-0.9677152072533968,84,1.8285618944523985,0.4451993802766298,16,-1.5081850347718937,-0.5372979393678957,-0.429727424859188
0.4376628902192462,-0.6333148156825221,-1.1140749288106715,0.0,-1.113457052636525,-0.2364609367094765,-0.6955146927437394,58,1.5789971930962368,-0.7164456622431494,17,-0.5145065990126695,-0.9688557276959306,-0.90848859429011
0.0,0.1189354572732601,-0.6449938840924283,0.0,-0.6402418068215758,0.4470182112411018,0.1637364325528493,34,0.8485166919244526,-0.4902072685598259,18,0.332105893261498,-1.1627184710730532,-1.1293056389245404
0.0,-0.1080722384287332,-1.159105841789036,0.0,-1.156489107812655,0.5241500903826288,0.0561254921386779,73,1.2404904681477975,-0.8781188582782412,19,0.3292056939238014,-2.464624544213174,-2.3566353141507648
