variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
alternative,93001,0,0.054831285029649734,0.08413626160472631,0.06948377331718802,0.07367054745554924,0.08985414355993265,0.08176234550774097
alternative,93002,0,0.02969374880194664,0.06031091138720518,0.04500233009457591,0.02654547244310379,0.08421510457992554,0.055380288511514664
alternative,93003,0,-0.01078411377966404,0.05729036591947079,0.023253126069903374,-0.0074160099029541016,0.058793313801288605,0.02568865194916725
alternative,93004,0,-0.12856387719511986,0.03822958935052162,-0.04516714392229912,-0.13866926170885563,0.020145587623119354,-0.05926183704286814
alternative,93005,0,-0.07413690350949764,-0.04396344535052776,-0.0590501744300127,-0.11530886963009834,-0.06278905645012856,-0.08904896304011345
alternative,93006,0,-0.059559147804975454,-0.04132292605936522,-0.050441036932170336,-0.08002965152263641,-0.08032137528061867,-0.08017551340162754
alternative,93007,0,0.05134183168411249,0.020554024726152365,0.03594792820513243,0.07409460097551346,0.014534784480929375,0.044314692728221416
alternative,93008,0,-0.01806082576513296,0.0666130315512419,0.02427610289305447,-0.007727395743131638,0.07227226719260221,0.03227243572473529
alternative,93009,0,0.0937179103493691,0.009306997060775812,0.05151245370507246,0.13991725258529186,0.003906335681676865,0.07191179413348436
alternative,93010,0,0.08719757571816444,0.05766944773495197,0.07243351172655821,0.1332446839660406,0.04588856175541878,0.0895666228607297
alternative,93011,0,-0.02637593820691103,0.1498475782573223,0.06173582002520564,-0.03163278475403791,0.17783680371940136,0.07310200948268175
alternative,93012,0,-0.02789369784295559,0.090955164283514,0.0315307332202792,-0.021543171256780624,0.10544111207127577,0.04194897040724757
matched,93001,0,0.03437810670584439,0.036266481503844275,0.03532229410484433,0.14387339912354952,0.1329516060650349,0.13841250259429222
matched,93002,0,0.011141234077513218,0.03696619812399152,0.024053716100752368,0.0416654497385025,0.13176483847200873,0.08671514410525562
matched,93003,0,0.011652886867523193,0.005658811889588805,0.008655849378556,0.04181544668972492,0.013958564028143938,0.02788700535893443
matched,93004,0,0.015359508804976926,0.00181547179818152,0.008587490301579223,0.055581061169505175,-0.0018407553434371948,0.02687015291303399
matched,93005,0,0.058896104805171504,0.07325495546683666,0.06607553013600408,0.1970906294882298,0.26033851131796837,0.22871457040309906
matched,93006,0,0.07771960180252788,0.07106685196049514,0.07439322688151151,0.2607713434845209,0.25603722035884857,0.25840428192168474
