graph_seed,k,side,home,foreign
42001,8,transition_mid,0.2272780441368619,0.1249868767336011
42001,8,sparse_drive,0.2192162402595082,0.1637968545158704
42001,8,transition_mid,0.1806139450830718,0.150242056697607
42001,8,sparse_drive,0.2576606183623274,0.1742227484161655
42001,8,transition_mid,0.2003232606997092,0.1153589008996884
42001,8,sparse_drive,0.1516724761265019,0.1344894782329599
42001,8,transition_mid,0.1561658531427383,0.1026755142956972
42001,8,sparse_drive,0.2598422979936003,0.1253213849849999
42001,32,transition_mid,0.4087587911635637,0.3275375515222549
42001,32,sparse_drive,0.3761340056856473,0.2600423780580361
42001,32,transition_mid,0.4049872284134229,0.2873616460710764
42001,32,sparse_drive,0.3843688095609347,0.2384903303657969
42001,32,transition_mid,0.4029657573749621,0.2662636985381444
42001,32,sparse_drive,0.2947808777292569,0.2548401166374485
42001,32,transition_mid,0.3745896182954311,0.3588956035673618
42001,32,sparse_drive,0.2771616193155448,0.2475013912965854
42001,64,transition_mid,0.6984180932243665,0.4451743892083565
42001,64,sparse_drive,0.6313924075414737,0.5107728720953068
42001,64,transition_mid,0.6448865061004957,0.5945927426218987
42001,64,sparse_drive,0.6142243469754854,0.5980886705219746
42001,64,transition_mid,0.4437764290099342,0.5956809874624014
42001,64,sparse_drive,0.6303010880947113,0.4036293129126231
42001,64,transition_mid,0.5857905708253384,0.6220057494938374
42001,64,sparse_drive,0.5773112835983435,0.403111665820082
42002,8,transition_mid,0.2129067629575729,0.1051755879695216
42002,8,sparse_drive,0.1933514811098575,0.177357436157763
42002,8,transition_mid,0.2051288390842577,0.1603342679639657
42002,8,sparse_drive,0.2358005672382811,0.1332747160146633
42002,8,transition_mid,0.1669722811008493,0.1094356277026236
42002,8,sparse_drive,0.2036050061384836,0.1144849654907981
42002,8,transition_mid,0.2028174248213569,0.102886422847708
42002,8,sparse_drive,0.1690252991393208,0.1294036128868659
42002,32,transition_mid,0.3933796416968107,0.333194396769007
42002,32,sparse_drive,0.4432335309684276,0.3019380240390698
42002,32,transition_mid,0.3823863994330168,0.3169431015849113
42002,32,sparse_drive,0.210986981789271,0.2583396794895331
42002,32,transition_mid,0.3290633950382471,0.4382949694991112
42002,32,sparse_drive,0.3681828957051039,0.2193020361786087
42002,32,transition_mid,0.3747901941339175,0.2782810963690281
42002,32,sparse_drive,0.4376583841318885,0.2844256948058803
42002,64,transition_mid,0.5686675036946932,0.5842304602265358
42002,64,sparse_drive,0.4387404589603345,0.3918933204064767
42002,64,transition_mid,0.6260113747169574,0.5974449552595615
42002,64,sparse_drive,0.3637622004995743,0.4198398335526387
42002,64,transition_mid,0.6877611043552557,0.6084757000207901
42002,64,sparse_drive,0.6158871265749136,0.3568294768532117
42002,64,transition_mid,0.6593250098327795,0.6400604185958704
42002,64,sparse_drive,0.4464060838023821,0.5474961182723442
42003,8,transition_mid,0.1510784349714716,0.1637350625048081
42003,8,sparse_drive,0.1196134182003637,0.1009104681046058
42003,8,transition_mid,0.1379460338503122,0.1232609581202268
42003,8,sparse_drive,0.0993686383590102,0.1252317566735049
42003,8,transition_mid,0.1285638693564882,0.1584743143369754
42003,8,sparse_drive,0.1063883436533312,0.0509705054573714
42003,8,transition_mid,0.120565856496493,0.1278008461619416
42003,8,sparse_drive,0.1249000801083942,0.0734458385656277
42003,32,transition_mid,0.3172097038477659,0.3055249278744061
42003,32,sparse_drive,0.28979049064219,0.2424721370140711
42003,32,transition_mid,0.36113341152668,0.2833013205478589
42003,32,sparse_drive,0.4360483481238286,0.3423710123946269
42003,32,transition_mid,0.4355002269148826,0.3075378636519114
42003,32,sparse_drive,0.3000526434431473,0.270070891516904
42003,32,transition_mid,0.419236250842611,0.4105701260268688
42003,32,sparse_drive,0.2594967391341924,0.2978808113063375
42003,64,transition_mid,0.6967226676642895,0.6015312920014063
42003,64,sparse_drive,0.6705069864789645,0.3519262528667847
42003,64,transition_mid,0.6025596211353937,0.6456627007573843
42003,64,sparse_drive,0.5254199169576168,0.4771803518136342
42003,64,transition_mid,0.443225252131621,0.648441364367803
42003,64,sparse_drive,0.4721928437550862,0.4247782882302999
42003,64,transition_mid,0.6500352236131827,0.422726750994722
42003,64,sparse_drive,0.4992314303914706,0.5430010799318552
