graph_seed,regime,noise_seed,lif_bias,hh_bias,lif_rate_hz,hh_rate_hz,absolute_rate_difference_hz,absolute_log_rate_ratio
92001,transition_mid,8501,1.0,9.5,35.699214935302734,68.60155487060547,32.902339935302734,0.6518458677473726
92001,transition_mid,8501,1.05,9.5,39.078121185302734,68.60155487060547,29.52343368530273,0.5616533737778839
92001,transition_mid,8501,1.1,9.5,42.4765625,68.60155487060547,26.12499237060547,0.4784679059154856
92001,transition_mid,8501,1.15,9.5,45.548828125,68.60155487060547,23.05272674560547,0.4087938958858955
92001,transition_mid,8501,1.2,9.5,48.693359375,68.60155487060547,19.90819549560547,0.3421776065136404
92001,transition_mid,8501,1.25,9.5,51.64453125,68.60155487060547,16.95702362060547,0.283453081499252
92001,transition_mid,8501,1.3,9.5,54.681636810302734,68.60155487060547,13.919918060302734,0.2264167886374018
92001,transition_mid,8501,1.35,9.5,57.498046875,68.60155487060547,11.103507995605469,0.1762831730252883
92001,transition_mid,8501,1.4,9.5,60.359371185302734,68.60155487060547,8.242183685302734,0.1278002429425935
92001,transition_mid,8501,1.45,9.5,63.128902435302734,68.60155487060547,5.472652435302734,0.0830103181025516
92001,transition_mid,8501,1.5,9.5,65.83397674560547,68.60155487060547,2.767578125,0.0411179427313147
92001,transition_mid,8501,1.55,9.5,68.52928924560547,68.60155487060547,0.072265625,0.0010524311874036
92001,transition_mid,8501,1.6,9.5,71.14061737060547,68.60155487060547,2.5390625,0.0362912927187123
92001,transition_mid,8501,1.65,9.5,73.72460174560547,68.60155487060547,5.123046875,0.0719202013097641
92001,transition_mid,8501,1.7,9.5,76.30663299560547,68.60155487060547,7.705078125,0.1062976799860124
92001,transition_mid,8501,1.75,9.5,78.82030487060547,68.60155487060547,10.21875,0.1386667124483825
92001,transition_mid,8501,1.8,9.5,81.27147674560547,68.60155487060547,12.669921875,0.169252971338343
92001,transition_mid,8501,1.85,9.5,83.71874237060547,68.60155487060547,15.1171875,0.1988848067224893
92001,transition_mid,8501,1.9,9.5,86.13671875,68.60155487060547,17.53516387939453,0.2273242268151458
92001,transition_mid,8501,1.95,9.5,88.533203125,68.60155487060547,19.93164825439453,0.2547347087803752
92001,transition_mid,8501,2.0,9.5,90.849609375,68.60155487060547,22.24805450439453,0.2805337782805404
92001,transition_mid,8502,1.0,9.5,35.697261810302734,68.60545349121094,32.9081916809082,0.6519571725823764
92001,transition_mid,8502,1.05,9.5,39.078121185302734,68.60545349121094,29.527332305908203,0.5617101193639059
92001,transition_mid,8502,1.1,9.5,42.46875,68.60545349121094,26.136703491210938,0.478708161310622
92001,transition_mid,8502,1.15,9.5,45.5546875,68.60545349121094,23.050765991210938,0.4087222920876046
92001,transition_mid,8502,1.2,9.5,48.677734375,68.60545349121094,19.927719116210938,0.3425546313859355
92001,transition_mid,8502,1.25,9.5,51.648433685302734,68.60545349121094,16.957019805908203,0.2834344125813603
92001,transition_mid,8502,1.3,9.5,54.681640625,68.60545349121094,13.923812866210938,0.2264734645888281
92001,transition_mid,8502,1.35,9.5,57.507808685302734,68.60545349121094,11.097644805908203,0.1761704513515321
92001,transition_mid,8502,1.4,9.5,60.376949310302734,68.60545349121094,8.228504180908203,0.1275662880169456
92001,transition_mid,8502,1.45,9.5,63.132808685302734,68.60545349121094,5.472644805908203,0.0830052860965006
92001,transition_mid,8502,1.5,9.5,65.84178924560547,68.60545349121094,2.7636642456054688,0.0410562055930787
92001,transition_mid,8502,1.55,9.5,68.53124237060547,68.60545349121094,0.0742111206054687,0.001080718119257
92001,transition_mid,8502,1.6,9.5,71.14647674560547,68.60545349121094,2.5410232543945312,0.0363167914235104
92001,transition_mid,8502,1.65,9.5,73.72850799560547,68.60545349121094,5.123054504394531,0.0719163669019456
92001,transition_mid,8502,1.7,9.5,76.30077362060547,68.60545349121094,7.695320129394531,0.1061642447272497
92001,transition_mid,8502,1.75,9.5,78.81444549560547,68.60545349121094,10.208992004394531,0.1385357199048419
92001,transition_mid,8502,1.8,9.5,81.26757049560547,68.60545349121094,12.662117004394531,0.1691482194493841
92001,transition_mid,8502,1.85,9.5,83.72850799560547,68.60545349121094,15.123054504394531,0.1989445631964738
92001,transition_mid,8502,1.9,9.5,86.134765625,68.60545349121094,17.529312133789062,0.2272448325575806
92001,transition_mid,8502,1.95,9.5,88.53125,68.60545349121094,19.925796508789062,0.2546559269094056
92001,transition_mid,8502,2.0,9.5,90.8515625,68.60545349121094,22.246109008789062,0.2804985072675511
92001,sparse_drive,8501,1.0,9.5,36.730464935302734,68.44921112060547,31.71874618530273,0.6212265436570336
92001,sparse_drive,8501,1.05,9.5,40.134761810302734,68.44921112060547,28.31444931030273,0.5328205542367351
92001,sparse_drive,8501,1.1,9.5,43.482421875,68.44921112060547,24.96678924560547,0.4528979967983265
92001,sparse_drive,8501,1.15,9.5,46.720703125,68.44921112060547,21.72850799560547,0.3812264182839808
92001,sparse_drive,8501,1.2,9.5,49.8515625,68.44921112060547,18.59764862060547,0.3164981119680624
92001,sparse_drive,8501,1.25,9.5,52.90625,68.44921112060547,15.542961120605469,0.2571420667267839
