graph_seed,graph_id,coupling,noise_sigma,method_label,rhythm_score,mean_rate_hz,dominant_frequency_hz,silent_fraction,synchrony_proxy,spectral_concentration,spectral_entropy,n_noise
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,A_mid,0.45498380189140636,20.230466842651367,69.5,0.0,0.9342913577953974,0.7850806775192419,0.21832155808806417,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,A_pool,0.3279580318679412,20.285398483276367,69.4375,0.0,0.9595554992556572,0.6369523492952188,0.3137637519588073,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,A_shared,0.3888417004297177,20.26879684130351,69.5,0.0,0.9297477727135023,0.7141873302559058,0.2645303873966137,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,A_sparse,0.2697409360359112,20.389565149943035,69.25,0.0,1.0000603248675664,0.5338594069083532,0.34383271386226016,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,shared_random,0.2881135580440362,19.925209681193035,69.5,0.0,0.6645081415772438,0.7167585218946139,0.3200906831771135,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,0.8,spectral,0.3189735139409701,20.3018372853597,69.1875,0.0,1.0494532734155655,0.5921999861796697,0.32589162761966384,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,A_mid,0.4236473801235358,20.2420228322347,69.5,0.0,0.9088044166564941,0.7589377289017042,0.2395573742687702,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,A_pool,0.35273702380557853,20.3059876759847,69.47916666666667,0.0,0.9403086975216866,0.6617660957078139,0.2878812452157338,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,A_shared,0.413610327988863,20.2837708791097,69.5,0.0,0.9189902519186338,0.7500481580694517,0.24576719477772713,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,A_sparse,0.2931693519155184,20.4070618947347,69.27083333333333,0.0,0.9817127510905266,0.5766578900317351,0.3305518838266531,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,shared_random,0.292747288942337,19.933754603068035,69.5,0.0,0.6641862168908119,0.7270368734995524,0.3137963972985744,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.0,spectral,0.2849187205235163,20.3106263478597,69.14583333333333,0.0,1.0358734801411629,0.5484936932722727,0.34073274085919064,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,A_mid,0.4106918517500162,20.251137415568035,69.54166666666667,0.0,0.8905096625288328,0.7487910985946655,0.2481076580782731,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,A_pool,0.39400633859137696,20.324705123901367,69.5,0.0,0.9192565505703291,0.7228448974589506,0.25810145152111846,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,A_shared,0.432173981020848,20.297605514526367,69.52083333333333,0.0,0.8971182703971863,0.777558259665966,0.22791030878822005,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,A_sparse,0.2964178950836261,20.434487024943035,69.45833333333333,0.0,0.9515586892763773,0.5842531410356363,0.32534018531441683,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,shared_random,0.2545981546863913,19.949623743693035,69.5,0.0,0.6421419729789098,0.6708952548603216,0.3518631514161825,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.035,1.2,spectral,0.2895154630144437,20.341062545776367,69.25,0.0,1.0112003162503242,0.5586384013295174,0.33405343753596145,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,A_mid,0.39399477963646246,20.58617965380351,69.54166666666667,0.0,0.9111280962824821,0.7226434784630934,0.2648104596883058,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,A_pool,0.4130373168736696,20.6809876759847,69.5,0.0,0.924618678788344,0.7460182905197144,0.25021357958515483,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,A_shared,0.400259830057621,20.615639289220173,69.5625,0.0,0.9143082872033119,0.7277676276862621,0.2582687630007664,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,A_sparse,0.2757768972466389,20.772214889526367,69.45833333333333,0.0,0.9599719569087029,0.5475185836354891,0.3405814928313096,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,shared_random,0.19052005683382348,20.296873092651367,69.52083333333333,0.0,0.6577148859699568,0.5374319528539976,0.420730118950208,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,0.8,spectral,0.3476074847082297,20.695554733276367,69.47916666666667,0.0,1.0033003215988476,0.639125128587087,0.3011014256626367,24
93001,scale_free-N256-p005-seed93001-sha256:b0c89084ff1dbc8843138679dec0eec818e6f26a20614f61562ec750613a1fcc,0.03875,1.0,A_mid,0.3626276223609845,20.596596320470173,69.54166666666667,0.0,0.899861067533493,0.6915085290869077,0.286697095260024,24
