session_id,state,target,rho,p,n,full_logloss
sub-Cori_ses-20161214T120000,baseline,choice,-0.05263649556364532,0.08323554318927257,1084,1.7404667054756149
sub-Cori_ses-20161214T120000,baseline,engagement,0.06561354208077681,0.030764462250959947,1084,0.1557392572609645
sub-Cori_ses-20161214T120000,baseline,outcome,0.010917812243639932,0.7195534059864579,1084,1.119524821549844
sub-Cori_ses-20161214T120000,decision,choice,0.004494267329356202,0.8825006238620564,1084,0.1232498095898029
sub-Cori_ses-20161214T120000,decision,engagement,0.07731106597214987,0.01088789061490431,1084,0.1993689920446434
sub-Cori_ses-20161214T120000,decision,outcome,-0.018307070734511467,0.5471076542141319,1084,0.7597034937066581
sub-Cori_ses-20161214T120000,movement,choice,-0.018704084215977624,0.5384493993856275,1084,0.2428447791074913
sub-Cori_ses-20161214T120000,movement,engagement,0.09699926667210453,0.0013863558238188423,1084,0.1583388127074332
sub-Cori_ses-20161214T120000,movement,outcome,0.018267731422793265,0.5479693163250371,1084,0.2707497337448942
sub-Cori_ses-20161214T120000,outcome,choice,0.020096706796915127,0.5086312654898505,1084,0.2166328850329014
sub-Cori_ses-20161214T120000,outcome,engagement,0.12777875807900213,2.448869296941901e-05,1084,0.1130515783322696
sub-Cori_ses-20161214T120000,outcome,outcome,-0.018746295127037703,0.537532897026394,1084,0.0976450236710439
sub-Cori_ses-20161214T120000,visual,choice,-0.07142627136992774,0.01867574323927515,1084,1.1466980616134037
sub-Cori_ses-20161214T120000,visual,engagement,0.10871846773083844,0.00033583044742437697,1084,0.1307851764381554
sub-Cori_ses-20161214T120000,visual,outcome,-0.02846275455657776,0.3491596022257277,1084,1.0666710406283566
sub-Cori_ses-20161217T120000,baseline,choice,0.0017193340274062662,0.9536367228889727,1146,1.9326124290908704
sub-Cori_ses-20161217T120000,baseline,engagement,0.046804799917626295,0.11328386805913088,1146,0.2988276031709548
sub-Cori_ses-20161217T120000,baseline,outcome,0.010452563655789683,0.7237359752030061,1146,1.1278609520628688
sub-Cori_ses-20161217T120000,decision,choice,-0.044991747166493526,0.12795965234248258,1146,0.2550933460417633
sub-Cori_ses-20161217T120000,decision,engagement,0.05323259311066636,0.07164402324352355,1146,0.2752149631919153
sub-Cori_ses-20161217T120000,decision,outcome,-0.024118095858535173,0.41467836308100603,1146,0.935191435355035
sub-Cori_ses-20161217T120000,movement,choice,-0.0359586475296311,0.22384802952192304,1146,0.2502419722061538
sub-Cori_ses-20161217T120000,movement,engagement,0.12912642528613408,1.1605686688327853e-05,1146,0.2189708792975598
sub-Cori_ses-20161217T120000,movement,outcome,0.052591230799677785,0.07513493114956163,1146,0.3436680697477142
sub-Cori_ses-20161217T120000,outcome,choice,-0.10613326468272802,0.0003192737260422289,1146,0.3378831591070815
sub-Cori_ses-20161217T120000,outcome,engagement,0.0764744661919936,0.00960235429113012,1146,0.2270378568243155
