subject,topset_auc_home,topset_auc_cross
619293,0.580751673450746,0.5771539416395571
619296,0.8417520790087248,0.8299591321768648
620333,0.6415631036108576,0.6262272707997273
620334,0.6938973277935361,0.6812370514015501
625545,0.7113782058914327,0.7119109361462121
625554,0.7929514272488923,0.7933543700869912
625555,0.6220558778927577,0.611598554323937
630506,0.7220920390031059,0.7102910094698133
631510,0.7155454859376652,0.6815753171496355
631570,0.7025324152435554,0.6995370246887989
633229,0.8018317945702841,0.8018609175495991
637484,0.6220885947522152,0.6214696085122288
