variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
primary,93001,0,0.0765593331307173,0.0603991877287626,0.06847926042974,0.0924422927200794,0.0768135022372007,0.08462789747864
primary,93002,0,0.0192598383873701,0.031886925920844,0.025573382154107,0.0276440419256687,0.0386746022850275,0.0331593221053481
primary,93003,0,-0.0328719299286603,0.0570855922996997,0.0121068311855196,-0.0308335684239864,0.0529371835291386,0.011051807552576
primary,93004,0,-0.0355213694274425,-0.0098996795713902,-0.0227105244994163,-0.0597650408744812,-0.011203160509467,-0.0354841006919741
primary,93005,0,0.01734534278512,-0.0019900519400835,0.0076776454225182,0.0448736120015382,-0.0283436682075262,0.008264971897006
primary,93006,0,0.0750169679522514,-0.0797974783927202,-0.0023902552202344,0.0807372592389583,-0.1010065767914056,-0.0101346587762236
primary,93007,0,0.0144627150148153,0.1029983311891556,0.0587305231019854,0.0223906859755516,0.1297385580837726,0.0760646220296621
primary,93008,0,0.0647850688546896,0.0522620361298323,0.0585235524922609,0.0642207767814397,0.0725489277392625,0.0683848522603511
primary,93009,0,-0.0025094598531723,0.1009663920849561,0.0492284661158919,-0.0068124309182167,0.1401495691388845,0.0666685691103339
primary,93010,0,-0.0128245931118726,0.101380506530404,0.0442779567092657,-0.0154168140143156,0.1275958996266126,0.0560895428061485
primary,93011,0,-0.0229142885655164,0.0603075493127107,0.0186966303735971,-0.0284850485622882,0.0722709763795137,0.0218929639086127
primary,93012,0,0.086232790723443,-0.0070302076637744,0.0396012915298343,0.1056889425963163,-0.0047739166766405,0.0504575129598379
