graph,task,coupling,method,score,normalized_score,mask_id
formal-01,nonlinear_integration,0.035,unselected_random_00,0.98046875,0.9609375,5ccf0c6f9d875e8b35d7
formal-01,nonlinear_integration,0.035,unselected_random_01,0.978515625,0.95703125,010b6ee67fd2321bc5ab
formal-01,nonlinear_integration,0.035,unselected_random_02,0.98046875,0.9609375,21054e9342c92c042b60
formal-01,nonlinear_integration,0.035,unselected_random_03,0.98828125,0.9765625,05ef4d528ab8addcc44a
formal-01,nonlinear_integration,0.035,unselected_random_04,0.99609375,0.9921875,207ccaedbc44857a3b41
formal-01,nonlinear_integration,0.035,unselected_random_05,0.998046875,0.99609375,9c8aa2b33a62d3fa0dd3
formal-01,nonlinear_integration,0.035,unselected_random_06,0.998046875,0.99609375,c3cda4e1fed576e05eb0
formal-01,nonlinear_integration,0.035,unselected_random_07,0.986328125,0.97265625,d20e9b0a68bc8af2f1c9
formal-01,nonlinear_integration,0.035,group_matched_random_00,0.99609375,0.9921875,2776db81add876628527
formal-01,nonlinear_integration,0.035,group_matched_random_01,0.994140625,0.98828125,a8b6fc63f035e1959d99
formal-01,nonlinear_integration,0.035,group_matched_random_02,0.984375,0.96875,9b65799dd2d9ed4ac2a1
formal-01,nonlinear_integration,0.035,group_matched_random_03,0.994140625,0.98828125,2c8c2c6c31289aed3355
formal-01,nonlinear_integration,0.05,random_search,1.0,1.0,1c3d3e979d08c148396e
formal-01,nonlinear_integration,0.05,local_search,0.9921875,0.984375,be7d284944d402e01f92
formal-01,nonlinear_integration,0.05,population_search,0.978515625,0.95703125,7183ad7b9633d2a2c56b
formal-01,nonlinear_integration,0.05,specialist_pool_0.035,0.994140625,0.98828125,19653df0442c67353c14
formal-01,nonlinear_integration,0.05,specialist_pool_0.05,0.994140625,0.98828125,21054e9342c92c042b60
formal-01,nonlinear_integration,0.05,high_degree,0.935546875,0.87109375,b48f9d4b648790dfa8ab
formal-01,nonlinear_integration,0.05,spectral,0.91796875,0.8359375,79440541c332f7bcb8e8
formal-01,nonlinear_integration,0.05,input_energy_degree,0.974609375,0.94921875,df17cdeb56d7d18e4b53
formal-01,nonlinear_integration,0.05,input_quota_random,0.98046875,0.9609375,9618e094657d82fa3b4d
formal-01,nonlinear_integration,0.05,unselected_random_00,0.99609375,0.9921875,5ccf0c6f9d875e8b35d7
formal-01,nonlinear_integration,0.05,unselected_random_01,0.986328125,0.97265625,010b6ee67fd2321bc5ab
formal-01,nonlinear_integration,0.05,unselected_random_02,0.994140625,0.98828125,21054e9342c92c042b60
formal-01,nonlinear_integration,0.05,unselected_random_03,0.978515625,0.95703125,05ef4d528ab8addcc44a
formal-01,nonlinear_integration,0.05,unselected_random_04,0.986328125,0.97265625,207ccaedbc44857a3b41
formal-01,nonlinear_integration,0.05,unselected_random_05,0.984375,0.96875,9c8aa2b33a62d3fa0dd3
formal-01,nonlinear_integration,0.05,unselected_random_06,0.98828125,0.9765625,c3cda4e1fed576e05eb0
formal-01,nonlinear_integration,0.05,unselected_random_07,0.99609375,0.9921875,d20e9b0a68bc8af2f1c9
formal-01,nonlinear_integration,0.05,group_matched_random_00,0.99609375,0.9921875,2776db81add876628527
formal-01,nonlinear_integration,0.05,group_matched_random_01,1.0,1.0,a8b6fc63f035e1959d99
formal-01,nonlinear_integration,0.05,group_matched_random_02,1.0,1.0,9b65799dd2d9ed4ac2a1
formal-01,nonlinear_integration,0.05,group_matched_random_03,0.99609375,0.9921875,2c8c2c6c31289aed3355
formal-01,pulse_order,0.035,random_search,0.66015625,0.3203125,552c920a926de7160478
formal-01,pulse_order,0.035,local_search,0.59375,0.1875,62f6bae0ed8d7ebc0a8b
formal-01,pulse_order,0.035,population_search,0.65625,0.3125,41d6dd7fb2e62ee079dd
formal-01,pulse_order,0.035,specialist_pool_0.035,0.64453125,0.2890625,360bc37ff6c551057db1
formal-01,pulse_order,0.035,specialist_pool_0.05,0.5703125,0.140625,29e296d1d1a0564184c7
formal-01,pulse_order,0.035,high_degree,0.626953125,0.25390625,b48f9d4b648790dfa8ab
formal-01,pulse_order,0.035,spectral,0.58984375,0.1796875,79440541c332f7bcb8e8
formal-01,pulse_order,0.035,input_energy_degree,0.6328125,0.265625,2ec8c542274368944e1c
formal-01,pulse_order,0.035,input_quota_random,0.623046875,0.24609375,69ea393e74341683f6e1
formal-01,pulse_order,0.035,unselected_random_00,0.603515625,0.20703125,59332d44bad25345d56c
formal-01,pulse_order,0.035,unselected_random_01,0.638671875,0.27734375,220344fbad59e6f89870
formal-01,pulse_order,0.035,unselected_random_02,0.607421875,0.21484375,d6e261ad79210feb4237
formal-01,pulse_order,0.035,unselected_random_03,0.640625,0.28125,51702442a9deaa8ab743
formal-01,pulse_order,0.035,unselected_random_04,0.658203125,0.31640625,c07c3a43c8313c139a1c
formal-01,pulse_order,0.035,unselected_random_05,0.6328125,0.265625,732681a7f303e7c63b7a
formal-01,pulse_order,0.035,unselected_random_06,0.63671875,0.2734375,405dde1770f13355e84b
formal-01,pulse_order,0.035,unselected_random_07,0.6015625,0.203125,e1d3b1b065b4846b2c4a
formal-01,pulse_order,0.035,group_matched_random_00,0.654296875,0.30859375,3c19f6e8e5765ab97440
formal-01,pulse_order,0.035,group_matched_random_01,0.623046875,0.24609375,4c46319bb40608aeaed7
formal-01,pulse_order,0.035,group_matched_random_02,0.63671875,0.2734375,4c697c14a94bec250f71
formal-01,pulse_order,0.035,group_matched_random_03,0.59375,0.1875,a6eb46d3b86a0e5bef0a
formal-01,pulse_order,0.05,random_search,0.63671875,0.2734375,552c920a926de7160478
formal-01,pulse_order,0.05,local_search,0.66796875,0.3359375,62f6bae0ed8d7ebc0a8b
formal-01,pulse_order,0.05,population_search,0.6015625,0.203125,41d6dd7fb2e62ee079dd
formal-01,pulse_order,0.05,specialist_pool_0.035,0.646484375,0.29296875,360bc37ff6c551057db1
formal-01,pulse_order,0.05,specialist_pool_0.05,0.62890625,0.2578125,29e296d1d1a0564184c7
formal-01,pulse_order,0.05,high_degree,0.62109375,0.2421875,b48f9d4b648790dfa8ab
formal-01,pulse_order,0.05,spectral,0.65625,0.3125,79440541c332f7bcb8e8
formal-01,pulse_order,0.05,input_energy_degree,0.640625,0.28125,2ec8c542274368944e1c
formal-01,pulse_order,0.05,input_quota_random,0.634765625,0.26953125,69ea393e74341683f6e1
formal-01,pulse_order,0.05,unselected_random_00,0.6328125,0.265625,59332d44bad25345d56c
formal-01,pulse_order,0.05,unselected_random_01,0.6328125,0.265625,220344fbad59e6f89870
formal-01,pulse_order,0.05,unselected_random_02,0.666015625,0.33203125,d6e261ad79210feb4237
formal-01,pulse_order,0.05,unselected_random_03,0.662109375,0.32421875,51702442a9deaa8ab743
formal-01,pulse_order,0.05,unselected_random_04,0.609375,0.21875,c07c3a43c8313c139a1c
formal-01,pulse_order,0.05,unselected_random_05,0.64453125,0.2890625,732681a7f303e7c63b7a
formal-01,pulse_order,0.05,unselected_random_06,0.630859375,0.26171875,405dde1770f13355e84b
formal-01,pulse_order,0.05,unselected_random_07,0.62890625,0.2578125,e1d3b1b065b4846b2c4a
formal-01,pulse_order,0.05,group_matched_random_00,0.646484375,0.29296875,3c19f6e8e5765ab97440
formal-01,pulse_order,0.05,group_matched_random_01,0.65625,0.3125,4c46319bb40608aeaed7
formal-01,pulse_order,0.05,group_matched_random_02,0.642578125,0.28515625,4c697c14a94bec250f71
formal-01,pulse_order,0.05,group_matched_random_03,0.591796875,0.18359375,a6eb46d3b86a0e5bef0a
formal-01,interval,0.035,random_search,0.791015625,0.58203125,b7f14eee2f26822f3346
formal-01,interval,0.035,local_search,0.81640625,0.6328125,0e88dac631f0d8c80003
formal-01,interval,0.035,population_search,0.837890625,0.67578125,082acdaa02264b0d6fd3
formal-01,interval,0.035,specialist_pool_0.035,0.837890625,0.67578125,35f1a9529e27be42cf6e
formal-01,interval,0.035,specialist_pool_0.05,0.76953125,0.5390625,0bbd60cb3c3f5c366330
formal-01,interval,0.035,high_degree,0.708984375,0.41796875,b48f9d4b648790dfa8ab
formal-01,interval,0.035,spectral,0.701171875,0.40234375,79440541c332f7bcb8e8
formal-01,interval,0.035,input_energy_degree,0.693359375,0.38671875,043205cf6927b16b205e
formal-01,interval,0.035,input_quota_random,0.716796875,0.43359375,cbcb8d01263ce09f5fd0
formal-01,interval,0.035,unselected_random_00,0.81640625,0.6328125,863db8a8114db68e71c3
formal-01,interval,0.035,unselected_random_01,0.796875,0.59375,89a270396bcdc4a541de
formal-01,interval,0.035,unselected_random_02,0.736328125,0.47265625,669d8c129ecd0a750ecf
formal-01,interval,0.035,unselected_random_03,0.80859375,0.6171875,767f4cfa90e3d20e4bdc
formal-01,interval,0.035,unselected_random_04,0.810546875,0.62109375,fcda063e5d9b5382449c
formal-01,interval,0.035,unselected_random_05,0.791015625,0.58203125,344a254ef80a92d995c3
formal-01,interval,0.035,unselected_random_06,0.80859375,0.6171875,e72779fb42eef43fb25b
formal-01,interval,0.035,unselected_random_07,0.78515625,0.5703125,9c0df783f05c1b492c0e
formal-01,interval,0.035,group_matched_random_00,0.7578125,0.515625,5376721f67b225de1661
formal-01,interval,0.035,group_matched_random_01,0.765625,0.53125,26719c5241a269052c08
formal-01,interval,0.035,group_matched_random_02,0.712890625,0.42578125,ee32878ad757f2179208
formal-01,interval,0.035,group_matched_random_03,0.72265625,0.4453125,7e5adc86b6b236b91ce7
formal-01,interval,0.05,random_search,0.849609375,0.69921875,b7f14eee2f26822f3346
formal-01,interval,0.05,local_search,0.84375,0.6875,0e88dac631f0d8c80003
formal-01,interval,0.05,population_search,0.826171875,0.65234375,082acdaa02264b0d6fd3
formal-01,interval,0.05,specialist_pool_0.035,0.822265625,0.64453125,35f1a9529e27be42cf6e
formal-01,interval,0.05,specialist_pool_0.05,0.8046875,0.609375,0bbd60cb3c3f5c366330
formal-01,interval,0.05,high_degree,0.779296875,0.55859375,b48f9d4b648790dfa8ab
formal-01,interval,0.05,spectral,0.802734375,0.60546875,79440541c332f7bcb8e8
formal-01,interval,0.05,input_energy_degree,0.724609375,0.44921875,043205cf6927b16b205e
formal-01,interval,0.05,input_quota_random,0.853515625,0.70703125,cbcb8d01263ce09f5fd0
formal-01,interval,0.05,unselected_random_00,0.833984375,0.66796875,863db8a8114db68e71c3
formal-01,interval,0.05,unselected_random_01,0.826171875,0.65234375,89a270396bcdc4a541de
formal-01,interval,0.05,unselected_random_02,0.880859375,0.76171875,669d8c129ecd0a750ecf
formal-01,interval,0.05,unselected_random_03,0.873046875,0.74609375,767f4cfa90e3d20e4bdc
formal-01,interval,0.05,unselected_random_04,0.826171875,0.65234375,fcda063e5d9b5382449c
formal-01,interval,0.05,unselected_random_05,0.845703125,0.69140625,344a254ef80a92d995c3
formal-01,interval,0.05,unselected_random_06,0.857421875,0.71484375,e72779fb42eef43fb25b
formal-01,interval,0.05,unselected_random_07,0.857421875,0.71484375,9c0df783f05c1b492c0e
formal-01,interval,0.05,group_matched_random_00,0.8359375,0.671875,5376721f67b225de1661
formal-01,interval,0.05,group_matched_random_01,0.8984375,0.796875,26719c5241a269052c08
formal-01,interval,0.05,group_matched_random_02,0.849609375,0.69921875,ee32878ad757f2179208
formal-01,interval,0.05,group_matched_random_03,0.794921875,0.58984375,7e5adc86b6b236b91ce7
formal-01,evidence_accumulation,0.035,random_search,0.787109375,0.57421875,19fae0cc221abf08c2ac
formal-01,evidence_accumulation,0.035,local_search,0.740234375,0.48046875,4f8babe700a1fb9fff97
formal-01,evidence_accumulation,0.035,population_search,0.78125,0.5625,590bf76b06041234978a
formal-01,evidence_accumulation,0.035,specialist_pool_0.035,0.759765625,0.51953125,1e679dd1491025d79e59
formal-01,evidence_accumulation,0.035,specialist_pool_0.05,0.7578125,0.515625,a1eee063b956f01564c9
formal-01,evidence_accumulation,0.035,high_degree,0.75390625,0.5078125,b48f9d4b648790dfa8ab
formal-01,evidence_accumulation,0.035,spectral,0.748046875,0.49609375,79440541c332f7bcb8e8
formal-01,evidence_accumulation,0.035,input_energy_degree,0.69921875,0.3984375,043205cf6927b16b205e
formal-01,evidence_accumulation,0.035,input_quota_random,0.767578125,0.53515625,95b654abffff8190d869
formal-01,evidence_accumulation,0.035,unselected_random_00,0.763671875,0.52734375,e0ee9e090315a26894a3
formal-01,evidence_accumulation,0.035,unselected_random_01,0.775390625,0.55078125,2449f5c3805074dad753
formal-01,evidence_accumulation,0.035,unselected_random_02,0.7578125,0.515625,61b912099531bcf5f072
formal-01,evidence_accumulation,0.035,unselected_random_03,0.771484375,0.54296875,c8812338ce89936194f3
formal-01,evidence_accumulation,0.035,unselected_random_04,0.75,0.5,af22e8ce842119f24e2e
formal-01,evidence_accumulation,0.035,unselected_random_05,0.740234375,0.48046875,fccc361c3c6c27d368de
formal-01,evidence_accumulation,0.035,unselected_random_06,0.7578125,0.515625,a1eee063b956f01564c9
formal-01,evidence_accumulation,0.035,unselected_random_07,0.78125,0.5625,590bf76b06041234978a
formal-01,evidence_accumulation,0.035,group_matched_random_00,0.8046875,0.609375,c8af47f618763b7c91cd
formal-01,evidence_accumulation,0.035,group_matched_random_01,0.783203125,0.56640625,0db9cbaf31b26f9fd291
formal-01,evidence_accumulation,0.035,group_matched_random_02,0.80078125,0.6015625,4e744d79ab73fefee118
formal-01,evidence_accumulation,0.035,group_matched_random_03,0.80078125,0.6015625,6a5c34dae3f31d5e67ad
formal-01,evidence_accumulation,0.05,random_search,0.83203125,0.6640625,19fae0cc221abf08c2ac
formal-01,evidence_accumulation,0.05,local_search,0.8125,0.625,4f8babe700a1fb9fff97
formal-01,evidence_accumulation,0.05,population_search,0.767578125,0.53515625,590bf76b06041234978a
formal-01,evidence_accumulation,0.05,specialist_pool_0.035,0.78515625,0.5703125,1e679dd1491025d79e59
formal-01,evidence_accumulation,0.05,specialist_pool_0.05,0.787109375,0.57421875,a1eee063b956f01564c9
formal-01,evidence_accumulation,0.05,high_degree,0.7734375,0.546875,b48f9d4b648790dfa8ab
formal-01,evidence_accumulation,0.05,spectral,0.78125,0.5625,79440541c332f7bcb8e8
formal-01,evidence_accumulation,0.05,input_energy_degree,0.70703125,0.4140625,043205cf6927b16b205e
formal-01,evidence_accumulation,0.05,input_quota_random,0.78125,0.5625,95b654abffff8190d869
formal-01,evidence_accumulation,0.05,unselected_random_00,0.802734375,0.60546875,e0ee9e090315a26894a3
formal-01,evidence_accumulation,0.05,unselected_random_01,0.80078125,0.6015625,2449f5c3805074dad753
formal-01,evidence_accumulation,0.05,unselected_random_02,0.7890625,0.578125,61b912099531bcf5f072
formal-01,evidence_accumulation,0.05,unselected_random_03,0.765625,0.53125,c8812338ce89936194f3
formal-01,evidence_accumulation,0.05,unselected_random_04,0.765625,0.53125,af22e8ce842119f24e2e
formal-01,evidence_accumulation,0.05,unselected_random_05,0.775390625,0.55078125,fccc361c3c6c27d368de
formal-01,evidence_accumulation,0.05,unselected_random_06,0.787109375,0.57421875,a1eee063b956f01564c9
formal-01,evidence_accumulation,0.05,unselected_random_07,0.767578125,0.53515625,590bf76b06041234978a
formal-01,evidence_accumulation,0.05,group_matched_random_00,0.75390625,0.5078125,c8af47f618763b7c91cd
formal-01,evidence_accumulation,0.05,group_matched_random_01,0.763671875,0.52734375,0db9cbaf31b26f9fd291
formal-01,evidence_accumulation,0.05,group_matched_random_02,0.78125,0.5625,4e744d79ab73fefee118
formal-01,evidence_accumulation,0.05,group_matched_random_03,0.79296875,0.5859375,6a5c34dae3f31d5e67ad
formal-01,context_recall,0.035,random_search,0.83203125,0.6640625,35d3f52e294e0c816e18
formal-01,context_recall,0.035,local_search,0.80859375,0.6171875,102a66d45051dd8746ab
formal-01,context_recall,0.035,population_search,0.833984375,0.66796875,57d2f69cc2b309e47135
formal-01,context_recall,0.035,specialist_pool_0.035,0.833984375,0.66796875,57d2f69cc2b309e47135
formal-01,context_recall,0.035,specialist_pool_0.05,0.771484375,0.54296875,d14c97a396b96c60bca0
formal-01,context_recall,0.035,high_degree,0.806640625,0.61328125,b48f9d4b648790dfa8ab
formal-01,context_recall,0.035,spectral,0.845703125,0.69140625,79440541c332f7bcb8e8
formal-01,context_recall,0.035,input_energy_degree,0.798828125,0.59765625,fd3a61754b40a273a417
formal-01,context_recall,0.035,input_quota_random,0.873046875,0.74609375,da182c04fe21aaad6ea8
formal-01,context_recall,0.035,unselected_random_00,0.787109375,0.57421875,b68308f173a3cd69561d
formal-01,context_recall,0.035,unselected_random_01,0.84765625,0.6953125,0e8088df713066b0a2f6
formal-01,context_recall,0.035,unselected_random_02,0.818359375,0.63671875,7f185013d3a814aa8472
formal-01,context_recall,0.035,unselected_random_03,0.80078125,0.6015625,9ba47a3ea45b98208298
formal-01,context_recall,0.035,unselected_random_04,0.849609375,0.69921875,97c914ba859b134284f5
formal-01,context_recall,0.035,unselected_random_05,0.81640625,0.6328125,a0cd0ca8d7ea53ce1261
formal-01,context_recall,0.035,unselected_random_06,0.826171875,0.65234375,0cbc78f162dc2f65efa1
formal-01,context_recall,0.035,unselected_random_07,0.85546875,0.7109375,3ff9b1de30c8666491c6
formal-01,context_recall,0.035,group_matched_random_00,0.7890625,0.578125,d6522e32392592314d5d
formal-01,context_recall,0.035,group_matched_random_01,0.826171875,0.65234375,1905252ca3bc6bc3ed9d
formal-01,context_recall,0.035,group_matched_random_02,0.80859375,0.6171875,d8326dbde4e060188dd0
formal-01,context_recall,0.035,group_matched_random_03,0.80859375,0.6171875,252bf0adc126d7c3cc3a
formal-01,context_recall,0.05,random_search,0.888671875,0.77734375,35d3f52e294e0c816e18
formal-01,context_recall,0.05,local_search,0.896484375,0.79296875,102a66d45051dd8746ab
formal-01,context_recall,0.05,population_search,0.9296875,0.859375,57d2f69cc2b309e47135
formal-01,context_recall,0.05,specialist_pool_0.035,0.9296875,0.859375,57d2f69cc2b309e47135
formal-01,context_recall,0.05,specialist_pool_0.05,0.89453125,0.7890625,d14c97a396b96c60bca0
formal-01,context_recall,0.05,high_degree,0.859375,0.71875,b48f9d4b648790dfa8ab
formal-01,context_recall,0.05,spectral,0.857421875,0.71484375,79440541c332f7bcb8e8
formal-01,context_recall,0.05,input_energy_degree,0.87109375,0.7421875,fd3a61754b40a273a417
formal-01,context_recall,0.05,input_quota_random,0.875,0.75,da182c04fe21aaad6ea8
formal-01,context_recall,0.05,unselected_random_00,0.880859375,0.76171875,b68308f173a3cd69561d
formal-01,context_recall,0.05,unselected_random_01,0.888671875,0.77734375,0e8088df713066b0a2f6
formal-01,context_recall,0.05,unselected_random_02,0.880859375,0.76171875,7f185013d3a814aa8472
formal-01,context_recall,0.05,unselected_random_03,0.90625,0.8125,9ba47a3ea45b98208298
formal-01,context_recall,0.05,unselected_random_04,0.8828125,0.765625,97c914ba859b134284f5
formal-01,context_recall,0.05,unselected_random_05,0.919921875,0.83984375,a0cd0ca8d7ea53ce1261
formal-01,context_recall,0.05,unselected_random_06,0.859375,0.71875,0cbc78f162dc2f65efa1
formal-01,context_recall,0.05,unselected_random_07,0.9296875,0.859375,3ff9b1de30c8666491c6
formal-01,context_recall,0.05,group_matched_random_00,0.9296875,0.859375,d6522e32392592314d5d
formal-01,context_recall,0.05,group_matched_random_01,0.90234375,0.8046875,1905252ca3bc6bc3ed9d
formal-01,context_recall,0.05,group_matched_random_02,0.89453125,0.7890625,d8326dbde4e060188dd0
formal-01,context_recall,0.05,group_matched_random_03,0.896484375,0.79296875,252bf0adc126d7c3cc3a
formal-02,delayed_recall,0.035,random_search,0.9184089134580666,0.9184089134580666,ac6ee66492d8d647f917
formal-02,delayed_recall,0.035,local_search,0.9105196942843748,0.9105196942843748,c36fc699ea8611431a24
formal-02,delayed_recall,0.035,population_search,0.9264165868433462,0.9264165868433462,36646d203d60e8582cf9
formal-02,delayed_recall,0.035,specialist_pool_0.035,0.9269579358759541,0.9269579358759541,90c92be143d4fd104a83
formal-02,delayed_recall,0.035,specialist_pool_0.05,0.9279439145271009,0.9279439145271009,529e18a41719ef4b48b0
formal-02,delayed_recall,0.035,high_degree,0.9107064596897401,0.9107064596897401,e4ab880b2428270be98e
formal-02,delayed_recall,0.035,spectral,0.7583756490992445,0.7583756490992445,bf6ce135fd86eb557c52
formal-02,delayed_recall,0.035,input_energy_degree,0.914471662241364,0.914471662241364,7c244817e39889622dd4
formal-02,delayed_recall,0.035,input_quota_random,0.9067004009000076,0.9067004009000076,c44d4ccd7aa4370fc7c7
formal-02,delayed_recall,0.035,unselected_random_00,0.9140835106222996,0.9140835106222996,63c4af67f5c1a655de12
formal-02,delayed_recall,0.035,unselected_random_01,0.9152487239426093,0.9152487239426093,22a097f789ce47481e13
formal-02,delayed_recall,0.035,unselected_random_02,0.9064048566574205,0.9064048566574205,8b6f6fac326e3c142bf2
formal-02,delayed_recall,0.035,unselected_random_03,0.8601847025745852,0.8601847025745852,435baeb6568730fd8834
formal-02,delayed_recall,0.035,unselected_random_04,0.8729872100828172,0.8729872100828172,d747309734ff56213ab2
formal-02,delayed_recall,0.035,unselected_random_05,0.914100055486478,0.914100055486478,b9989d987d10c858d357
formal-02,delayed_recall,0.035,unselected_random_06,0.9029220078508882,0.9029220078508882,f6a72087cd35ebf095b1
formal-02,delayed_recall,0.035,unselected_random_07,0.9124809521136026,0.9124809521136026,b4d771ef7bec6a369270
formal-02,delayed_recall,0.035,group_matched_random_00,0.9176484224607321,0.9176484224607321,d73a628dafd781ebedee
formal-02,delayed_recall,0.035,group_matched_random_01,0.906108928838674,0.906108928838674,f5d2611580086705660c
formal-02,delayed_recall,0.035,group_matched_random_02,0.9295647732837845,0.9295647732837845,a088ce8fb33f885e1817
formal-02,delayed_recall,0.035,group_matched_random_03,0.8975168162289502,0.8975168162289502,b1b58e88cf8331ddbcf6
formal-02,delayed_recall,0.05,random_search,0.9306772443533843,0.9306772443533843,ac6ee66492d8d647f917
formal-02,delayed_recall,0.05,local_search,0.9299254591884569,0.9299254591884569,c36fc699ea8611431a24
formal-02,delayed_recall,0.05,population_search,0.924071427326961,0.924071427326961,36646d203d60e8582cf9
formal-02,delayed_recall,0.05,specialist_pool_0.035,0.9218958173671419,0.9218958173671419,90c92be143d4fd104a83
