experiment_id,state,chosen_lag_seconds,test_r2
955276580,familiar_active,0.5,-0.0173485912382602
775614751,familiar_active,0.25,0.0141625888645648
778644591,passive,0.25,0.0148311564698815
788490510,novel_active,0.25,0.0634807124733924
956903375,passive,2.0,-0.0103628961369395
792815735,familiar_active,0.25,0.0535245649516582
959337347,novel_active,1.0,-0.0307257175445556
798404219,passive,0.25,0.0585369877517223
795953296,novel_active,0.25,0.1020295321941375
960957793,familiar_active,0.25,-0.0286691710352897
961283857,passive,0.25,-0.0196024067699909
822024770,familiar_active,2.0,-0.046910423785448
822641265,passive,2.0,-0.0248023197054862
825120601,novel_active,2.0,-0.0182443596422672
965228792,novel_active,1.0,-0.0286892876029014
809497730,passive,0.25,0.214831531047821
803736273,familiar_active,0.25,0.1085792630910873
805784331,novel_active,0.25,0.0305961780250072
977935606,familiar_active,0.25,-0.0327565446496009
811456530,passive,0.25,0.1536737978458404
806456687,familiar_active,0.25,0.1247720718383789
808619543,novel_active,0.25,0.1083391830325126
980673831,passive,2.0,-0.0374895147979259
982183920,novel_active,0.25,-0.0288375541567802
836911939,passive,0.25,0.0231699012219905
826587940,familiar_active,0.25,-0.1064575985074043
830093338,novel_active,0.25,0.028117487207055
806455766,familiar_active,2.0,-0.032013077288866
806989729,passive,1.0,-0.0316231660544872
982862443,familiar_active,0.5,-0.0173479802906513
984551228,passive,0.5,0.008795915171504
988542529,novel_active,0.5,-0.109475091099739
808621034,novel_active,0.25,0.03447737544775
932331541,familiar_active,2.0,-0.0137594752013683
933338719,passive,0.25,0.1051820963621139
938001540,novel_active,0.25,0.0351071506738662
822647135,familiar_active,0.25,0.0076219635084271
817267785,novel_active,0.25,0.020525500178337
992296756,familiar_active,2.0,-0.0459914319217205
815652334,passive,1.0,-0.0093435160815715
992572516,passive,0.5,-0.0106200007721781
993344860,novel_active,1.0,-0.0241563227027654
943134119,passive,0.25,0.0769248455762863
938003662,familiar_active,1.0,0.0020658497232943
950833329,novel_active,0.5,0.1448678821325302
993862620,familiar_active,0.5,-0.0307540073990821
792813858,familiar_active,0.25,0.0449572876095771
797255551,passive,0.25,-0.0720967054367065
795076128,novel_active,0.25,0.0391116961836814
994053903,passive,2.0,-0.0417370796203613
994955425,novel_active,0.5,-0.0498164407908916
965224600,familiar_active,0.25,0.0964807197451591
967008454,passive,0.25,0.1213285401463508
968651977,novel_active,0.5,0.0223456006497144
830700781,familiar_active,0.25,0.1158605217933654
837296345,passive,0.25,0.1117094978690147
1000743008,familiar_active,1.0,-0.014672365039587
834279496,novel_active,0.25,0.2360027432441711
1001535125,passive,2.0,-0.0159493125975132
1003122317,novel_active,1.0,-0.0176886208355426
960953590,familiar_active,0.5,0.0886578187346458
963394081,passive,0.25,0.0711389705538749
964440177,novel_active,0.5,0.0185356736183166
1007107386,familiar_active,2.0,-0.018446210771799
842973730,familiar_active,0.25,-0.0166769344359636
843519218,passive,0.25,0.0050525572150945
847125577,novel_active,0.25,0.0492861866950988
1007929142,passive,2.0,-0.0355285182595253
1008318518,novel_active,1.0,-0.0284830722957849
993590480,passive,0.25,0.2312706112861633
992868972,familiar_active,0.25,0.2995419800281524
993862120,novel_active,0.25,0.190221294760704
