variant,graph_seed,home_rhythm_score,foreign_rhythm_score
alternative,93001,0.37840309366583824,0.3089193203486502
alternative,93002,0.36082858592271805,0.31582625582814217
alternative,93003,0.36873300466686487,0.3454798785969615
alternative,93004,0.29956950806081295,0.3447366519831121
alternative,93005,0.31672016251832247,0.37577033694833517
alternative,93006,0.29497263487428427,0.34541367180645466
alternative,93007,0.37613306380808353,0.34018513560295105
alternative,93008,0.3443804830312729,0.3201043801382184
alternative,93009,0.3584632249549031,0.3069507712498307
alternative,93010,0.3581475019454956,0.2857139902189374
alternative,93011,0.36857771035283804,0.3068418903276324
alternative,93012,0.3631677646189928,0.3316370313987136
matched,93001,0.10079118283465499,0.06546888872981067
matched,93002,0.09363264497369525,0.06957892887294287
matched,93003,0.10461221076548093,0.09595636138692493
matched,93004,0.0945408544503152,0.08595336414873597
matched,93005,0.12416708935052152,0.05809155921451743
matched,93006,0.11672691535204645,0.04233368847053494
matched,93007,0.09525874000973995,0.07117909984663126
matched,93008,0.12606685934588308,0.06247824663296338
matched,93009,0.12870346754789347,0.07415362889878448
matched,93010,0.08898063143715257,0.04379315092228348
matched,93011,0.12093649478629226,0.050196994445286636
matched,93012,0.08408297761343414,0.05369762342888858
primary,93001,0.39541387278586626,0.3269346123561263
primary,93002,0.30556695256382227,0.2799935704097152
primary,93003,0.31211344338953495,0.30000661220401525
primary,93004,0.32369107101112604,0.3464015955105424
primary,93005,0.38449913915246725,0.376821493729949
primary,93006,0.3701316351071,0.3725218903273344
primary,93007,0.30023183953016996,0.24150131642818448
primary,93008,0.397058492526412,0.3385349400341511
primary,93009,0.38645315170288086,0.3372246855869889
primary,93010,0.3576710196211934,0.3133930629119277
primary,93011,0.321887681260705,0.30319105088710785
primary,93012,0.3126347307115793,0.27303343918174505
random_null,93001,0.21270186128094787,0.17794834636151785
random_null,93002,0.16206225263886148,0.14804891357198352
random_null,93003,0.1694173133000731,0.125727177131921
random_null,93004,0.12272862403187897,0.1168495172169059
random_null,93005,0.15542179963085798,0.10364930896321309
random_null,93006,0.17216307984199372,0.13386867009103293
random_null,93007,0.16859717387706036,0.12033672723919152
random_null,93008,0.140650539426133,0.14736689475830642
random_null,93009,0.17264771368354553,0.19747020397335285
random_null,93010,0.2541734608821571,0.22019974235445258
random_null,93011,0.2597593136597425,0.1535456604324281
random_null,93012,0.1874309182167053,0.1263050456764176
