variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
primary,93001,0,0.0765593331307173,0.0603991877287626,0.06847926042974,0.0924422927200794,0.0768135022372007,0.08462789747864
primary,93001,1,0.0568945035338401,0.0824188981205224,0.0696567008271812,0.0620733462274074,0.0826720669865608,0.0723727066069841
primary,93001,2,-0.1164630372077226,0.0840708501636982,-0.0161960935220122,-0.1458621881902218,0.0672072973102331,-0.0393274454399943
primary,93001,3,0.0913877375423908,0.2541481889784336,0.1727679632604122,0.1140156835317611,0.3421236369758844,0.2280696602538228
primary,93001,4,0.1396607663482428,0.149375818669796,0.1445182925090193,0.208503607660532,0.1607343144714832,0.1846189610660076
primary,93001,5,0.1245568115264177,0.0713028945028781,0.0979298530146479,0.1821604184806347,0.0853929426521063,0.1337766805663705
primary,93001,6,0.1199611015617848,0.1239012908190489,0.1219311961904168,0.1671113278716802,0.1561646983027458,0.161638013087213
primary,93001,7,-0.0267337076365947,-0.0515922699123621,-0.0391629887744784,-0.0249791145324707,-0.0822708588093519,-0.0536249866709113
primary,93001,8,0.0650492869317531,0.059493750333786,0.0622715186327695,0.0862044468522071,0.0506104938685894,0.0684074703603982
primary,93001,9,-0.1755948150530457,0.1221116641536355,-0.0267415754497051,-0.2129815984517336,0.1312077827751636,-0.0408869078382849
primary,93001,10,0.1076949369162321,0.1414328692480921,0.1245639030821621,0.1729301754385233,0.1744977757334709,0.1737139755859971
primary,93001,11,0.1230010371655225,0.1074353009462356,0.1152181690558791,0.1607794910669326,0.1174450293183327,0.1391122601926327
primary,93001,12,0.0040040332823991,0.1316713783890009,0.0678377058357,0.0200350396335124,0.1613171976059675,0.09067611861974
primary,93001,13,0.075876235961914,0.250922666862607,0.1633994514122605,0.1081677004694938,0.321268692612648,0.2147181965410709
primary,93001,14,0.2034199647605419,0.185132896527648,0.1942764306440949,0.2958077583462,0.226996948942542,0.261402353644371
primary,93001,15,0.0547953080385923,-0.0188906304538249,0.0179523387923836,0.0613901056349277,-0.008421704173088,0.0264842007309198
primary,93001,16,0.1371952723711729,0.0768405403941869,0.1070179063826799,0.1778122000396251,0.0973513089120388,0.1375817544758319
primary,93001,17,0.130965456366539,0.0782981608062982,0.1046318085864186,0.1770140454173088,0.0816025156527757,0.1293082805350422
primary,93001,18,0.0774805955588817,-0.0156048843637109,0.0309378555975854,0.1243270169943571,-0.0419982615858315,0.0411643777042627
primary,93001,19,0.157892907038331,0.1924578668549657,0.1751753869466483,0.2219385541975498,0.2362432572990656,0.2290909057483077
primary,93002,0,0.0192598383873701,0.031886925920844,0.025573382154107,0.0276440419256687,0.0386746022850275,0.0331593221053481
primary,93002,1,-0.0816787760704755,0.0409335121512413,-0.0203726319596171,-0.1152881942689419,0.0567488092929124,-0.0292696924880147
primary,93002,2,0.1699984166771173,0.0233595967292786,0.0966790067031979,0.2497439086437226,0.0165011342614889,0.1331225214526057
primary,93002,3,0.1902666594833136,0.0473354905843734,0.1188010750338435,0.2610322665423155,0.0439609345048666,0.152496600523591
primary,93002,4,-0.1190276592969894,0.1457162052392959,0.0133442729711532,-0.1924328748136758,0.2051828317344188,0.0063749784603714
primary,93002,5,0.0519626159220933,0.1416208520531654,0.0967917339876294,0.0543537884950637,0.1837874632328748,0.1190706258639693
primary,93002,6,0.0040411613881587,0.0781820155680179,0.0411115884780883,-0.007134074345231,0.1073669623583555,0.0501164440065622
primary,93002,7,0.0264597199857234,0.1700760424137115,0.0982678811997175,0.0260175392031669,0.2225134149193763,0.1242654770612716
primary,93002,8,-0.0074202828109264,0.0012912135571241,-0.0030645346269011,-0.0513468123972415,0.0130389612168073,-0.0191539255902171
primary,93002,9,-0.0109833236783743,0.0885568168014288,0.0387867465615272,-0.0121229011565446,0.1124908216297627,0.050183960236609
primary,93002,10,-0.0770907569676638,0.019526980817318,-0.0287818880751729,-0.1164702028036117,0.02247398160398,-0.0469981105998158
primary,93002,11,0.0311334542930126,0.0888757910579443,0.0600046226754784,0.0307176113128662,0.1123202573508024,0.0715189343318343
