subject,decoder_auc_home,decoder_auc_cross
619293,0.6067289472926197,0.5341518079466763
619296,0.8174012562200806,0.826838142085538
620333,0.7448527235350828,0.7034342592766114
620334,0.9571963069667015,0.9500375746260591
625545,0.7747253355431679,0.7665813702024019
625554,0.7068857411728082,0.7105835738173063
625555,0.6704160266178326,0.6664055003888608
630506,0.8275645178280348,0.7775293292678641
631510,0.8956984632201647,0.8663281249999999
631570,0.8425909106543316,0.8230042583069634
633229,0.7895922942067987,0.7667198951850152
637484,0.9127605620990362,0.8751722867926759
