task_id,phase,topology,N,graph_seed,regime,connection_prob,coupling,k,budget_fraction,cycle_proxy,dynamics_aware,feedback_hub,high_degree,module_bridge,random,spectral,leverage_gain_vs_spectral,leverage_gain_vs_feedback_hub,leverage_gain_vs_high_degree,leverage_gain_vs_module_bridge,leverage_gain_vs_cycle_proxy,leverage_gain_vs_random,sel_total_degree,sel_feedback,sel_cycle3,sel_bridge,sel_spectral,coverage1,coverage2,out_neighbor_redundancy,selected_dispersion
0186d850750b552888,er_patch,erdos_renyi,256,43001,sparse_drive,0.05,0.05,32,0.125,0.12101386860013,0.2509024776518345,0.0817931406199932,0.0430880952626466,0.0430880952626466,0.10966232289501929,0.1357594039291143,0.1151430737227202,0.16910933703184128,0.2078143823891879,0.2078143823891879,0.1298886090517045,0.1412401547568152,23.84375,164.40625,6.84375,0.0,0.057441733127092,0.78125,1.0,0.0229986060684997,2.0544354838709675
024734b4369002ab6f,stage4e_topology,modular,256,43003,transition_dense,0.1,0.035,8,0.03125,0.0476346649229526,0.183156818151474,0.0671491920948028,0.0671491920948028,0.0647191032767295,0.07968448789324609,0.0526291169226169,0.1305277012288571,0.1160076260566712,0.1160076260566712,0.1184377148747445,0.1355221532285214,0.10347233025822791,51.625,712.625,167.875,7.5,0.0652781334857297,0.578125,1.0,0.0568941814817917,1.9285714285714288
038d187e64307b03a5,er_patch,erdos_renyi,256,43003,transition_dense,0.1,0.035,32,0.125,0.0827131122350692,0.1357347648590803,0.0642130114138126,0.0741740092635154,0.0741740092635154,0.08952477766433728,0.0741740092635154,0.061560755595564884,0.07152175344526769,0.061560755595564884,0.061560755595564884,0.05302165262401108,0.04620998719474301,50.03125,681.78125,61.3125,0.0,0.0619085128391374,0.96484375,1.0,0.0524485033643871,1.778225806451613
04e1a03173794ab24e,stage4b_replication,scale_free,256,42001,sparse_drive,0.05,0.05,24,0.09375,0.2680511772632599,0.2735411822795868,0.2685336768627167,0.2685336768627167,0.2685336768627167,0.02394677136908281,0.3258357346057892,-0.05229455232620239,0.005007505416870117,0.005007505416870117,0.005007505416870117,0.005490005016326904,0.249594410910504,57.833333333333336,982.125,91.29166666666669,0.0,0.1212624919789957,0.875,1.0,0.0722140273006213,1.4384057971014492
063635fc4540820d81,stage4d_scaling,scale_free,512,44001,transition_mid,0.05,0.035,16,0.03125,0.0421008169651031,0.2574917674064636,0.0552343800663948,0.0480386242270469,0.0480386242270469,0.07287156459642569,0.0599100217223167,0.19758174568414694,0.20225738734006882,0.2094531431794167,0.2094531431794167,0.21539095044136053,0.18462020281003794,45.5625,710.1875,69.375,0.0,0.0341609181156557,0.486328125,1.0,0.0359980959389985,1.9166666666666667
0679928f9dcf4685b8,stage4b_replication,scale_free,256,42003,transition_mid,0.05,0.035,24,0.09375,0.2651533186435699,0.2654212415218353,0.2540439367294311,0.2540439367294311,0.2540439367294311,0.03980782610597085,0.3013103306293487,-0.03588908910751337,0.01137730479240423,0.01137730479240423,0.01137730479240423,0.00026792287826543637,0.2256134154158645,62.54166666666666,1109.8333333333333,102.91666666666669,0.0,0.1291680658362186,0.921875,1.0,0.0846645511231907,1.394927536231884
070af545d0b2526e81,stage4e_topology,modular,256,43001,sparse_drive,0.05,0.05,32,0.125,0.0523314476013183,0.2677291929721832,0.1374706029891967,0.0852358043193817,0.1223066300153732,0.09989594522630792,0.0837573409080505,0.18397185206413275,0.13025858998298653,0.1824933886528015,0.14542256295681003,0.21539774537086492,0.16783324774587532,25.5625,188.75,20.90625,3.15625,0.0619975751725099,0.8515625,1.0,0.0228755228151161,2.290322580645161
0876462fdd9c526387,stage4b_replication,scale_free,256,42004,sparse_drive,0.05,0.05,8,0.03125,0.0280409418046474,0.1744389683008194,0.0323234163224697,0.0323234163224697,0.0323234163224697,0.05011947895400221,0.0331695824861526,0.1412693858146668,0.14211555197834969,0.14211555197834969,0.14211555197834969,0.146398026496172,0.12431948934681719,29.5,327.25,30.875,0.0,0.0620909264071153,0.36328125,0.984375,0.0377954687842658,2.107142857142857
08cb076b1c547276f5,stage4c_atlas_extension,scale_free,256,42005,sparse_drive,0.05,0.05,64,0.25,0.3655671179294586,0.589184045791626,0.4948770403861999,0.3812212347984314,0.3812212347984314,0.20209381100721652,0.3298013210296631,0.2593827247619629,0.09430700540542608,0.20796281099319458,0.20796281099319458,0.22361692786216736,0.38709023478440946,46.0625,670.09375,58.796875,0.0,0.0947990053767434,0.96875,1.0,0.0624364716903994,1.6716269841269842
0acf2ff990b398a6ff,stage4b_replication,scale_free,256,42002,transition_mid,0.05,0.035,64,0.25,0.5603436231613159,0.7063202261924744,0.7087423801422119,0.6907504796981812,0.6907504796981812,0.31106059718877077,0.59596848487854,0.11035174131393433,-0.002422153949737549,0.015569746494293213,0.015569746494293213,0.14597660303115845,0.3952596290037036,45.71875,667.359375,55.828125,0.0,0.0920204644653403,0.9921875,1.0,0.0608043518163842,1.6949404761904765
