container_id,median_test_r2,median_delta_persist,median_residual_rho
782536745,0.0148311564698815,0.5838119694963098,0.0360948298486571
791352433,0.0585369877517223,0.1342959813773632,0.2559288537549407
803516615,-0.0248023197054862,0.8225787542760372,0.1230461332591475
803517529,0.1247720718383789,0.2443633154034614,0.1646505875077303
803589437,-0.0316231660544872,0.7682492546737194,0.105070733507402
812858755,0.0076219635084271,0.5499040680006146,0.2783564261825131
814796612,0.0391116961836814,0.0574826560914516,0.3180871102910083
814797528,0.1085792630910873,0.3385287337005138,0.1859649122807017
825183217,0.0231699012219905,0.5386619232594967,-0.2747252747252747
829561794,0.1158605217933654,0.2393863871693611,0.3489825581395349
843049827,0.0050525572150945,0.3084258418530226,0.2270106704889314
928325203,0.0351071506738662,0.577237531542778,0.0833333333333333
929913236,0.0769248455762863,0.2569319456815719,0.2472527472527472
941373529,-0.0173485912382602,0.3003553450107574,0.2352941176470588
957024596,-0.0286691710352897,0.3997817151248455,0.3727272727272728
957570596,0.0964807197451591,0.2810446545481682,-0.2377450980392157
969421516,0.0711389705538749,0.562616728246212,0.5166666666666667
975371413,-0.0327565446496009,0.18954848498106,0.2142857142857143
989461845,-0.0241563227027654,0.6090277526527643,-0.1
991913246,0.2312706112861633,0.1949147693812847,0.0666666666666666
991913453,-0.0417370796203613,0.4716389402747154,0.2272727272727272
1006071814,-0.0284830722957849,0.4984411224722862,0.0833333333333333
