window,complexity_fraction,rhythm_score_stage1b_mean,rhythm_score_stage1b_std,rhythm_score_stage1b_n,rhythm_score_stage1b_sem,rhythm_score_stage1b_ci95,source_fraction_column,semantic_fraction_name
frequency_transition,0.0,0.03638785101069366,0.01867369573972511,24,0.0038117521811925495,0.007471034275137397,hh_fraction,high-complexity fraction
frequency_transition,0.05,0.0805128997505444,0.02549139120495314,24,0.0052034084404838366,0.01019868054334832,hh_fraction,high-complexity fraction
frequency_transition,0.08,0.09689864101574978,0.02928789129240137,24,0.00597836577570716,0.011717596920386033,hh_fraction,high-complexity fraction
frequency_transition,0.1,0.09780231478892658,0.02558708222155053,24,0.005222941287453153,0.010236964923408181,hh_fraction,high-complexity fraction
frequency_transition,0.12,0.11464200526939665,0.03831725819958329,24,0.007821477577621158,0.01533009605213747,hh_fraction,high-complexity fraction
frequency_transition,0.15,0.14038061846613853,0.07936103841770216,24,0.016199504131731934,0.03175102809819459,hh_fraction,high-complexity fraction
frequency_transition,0.18,0.19978470537981688,0.10997204400110869,24,0.022447949481134676,0.04399798098302396,hh_fraction,high-complexity fraction
frequency_transition,0.2,0.24550749664578164,0.12055932735612519,24,0.024609069646305673,0.04823377650675912,hh_fraction,high-complexity fraction
frequency_transition,0.22,0.30133749814007055,0.13446255296609996,24,0.027447053689908473,0.05379622523222061,hh_fraction,high-complexity fraction
frequency_transition,0.25,0.40539449775557207,0.15160804133056205,24,0.030946861846888326,0.060655849219901116,hh_fraction,high-complexity fraction
frequency_transition,0.3,0.5103121463863547,0.14560732327611217,24,0.029721970403245923,0.05825506199036201,hh_fraction,high-complexity fraction
frequency_transition,1.0,0.6946348814297147,0.20027961281106102,24,0.04088190477244003,0.08012853335398246,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.0,0.03166072681229978,0.016221413679061127,40,0.002564830704682238,0.005027068181177186,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.2,0.19641217295130206,0.11366936491813558,40,0.01797270466630737,0.035226501145962444,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.25,0.32334523703807666,0.14575725919534097,40,0.02304624622803994,0.04517064260695828,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.3,0.42815129811210817,0.16198273335144317,40,0.02561171895051401,0.050198969143007456,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.35,0.46385665588809344,0.16194741817630937,40,0.02560613513104448,0.05018802485684718,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.4,0.5139427229871782,0.14512590296557265,40,0.022946420042989715,0.04497498328425984,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.5,0.5121419241847778,0.11740091217591897,40,0.01856271409286492,0.036382919622015245,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.6,0.5038950792202526,0.09773311640997925,40,0.01545296253409565,0.030287806566827474,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.7,0.5298715194397844,0.1285964874713991,40,0.02033288997534641,0.03985246435167897,hh_fraction,high-complexity fraction
heterogeneity_optimum,0.8,0.6159620674074682,0.13844924459233798,40,0.02189074766207691,0.04290586541767074,hh_fraction,high-complexity fraction
heterogeneity_optimum,1.0,0.6568244369383289,0.17477909675451758,40,0.02763500165656093,0.05416460324685942,hh_fraction,high-complexity fraction
sparse_complexity,0.0,0.02712794657652764,0.01882933676263502,32,0.0033285879275260937,0.0065240323379511436,hh_fraction,high-complexity fraction
sparse_complexity,0.0025,0.04449397892092746,0.014640739577544809,32,0.0025881415592170507,0.00507275745606542,hh_fraction,high-complexity fraction
sparse_complexity,0.005,0.04471709308773448,0.013924656611457946,32,0.0024615547789140014,0.004824647366671443,hh_fraction,high-complexity fraction
sparse_complexity,0.0075,0.05958815259821346,0.01914074080630741,32,0.0033836369052685084,0.006631928334326276,hh_fraction,high-complexity fraction
sparse_complexity,0.01,0.07538283192659653,0.026809751742108007,32,0.004739339314693106,0.009289105056798488,hh_fraction,high-complexity fraction
sparse_complexity,0.015,0.08906267566658099,0.0301761164375145,32,0.005334434140710336,0.010455490915792258,hh_fraction,high-complexity fraction
sparse_complexity,0.02,0.10084391479134089,0.03584676437228379,32,0.00633687254280955,0.012420270183906719,hh_fraction,high-complexity fraction
sparse_complexity,0.025,0.10770747097423672,0.03837567526314899,32,0.006783925052796374,0.013296493103480892,hh_fraction,high-complexity fraction
sparse_complexity,0.03,0.11983607184830605,0.04149399107760436,32,0.007335170617367035,0.014376934410039389,hh_fraction,high-complexity fraction
sparse_complexity,0.04,0.1206135994696094,0.03143694500173248,32,0.005557319247628394,0.010892345725351653,hh_fraction,high-complexity fraction
sparse_complexity,0.05,0.11589899105135018,0.022123753435343348,32,0.003910964019857614,0.007665489478920924,hh_fraction,high-complexity fraction
sparse_complexity,1.0,0.5226617467633303,0.13390442296652538,32,0.02367118137762544,0.04639551550014586,hh_fraction,high-complexity fraction
