subject,top_fraction,topset_balacc_crossover
619293,0.05,0.000695216907675
619293,0.1,-0.0656507230255839
619293,0.2,0.0016759362254354
619293,0.4,0.018642936596218
619293,0.05,0.0502319044970602
619293,0.1,-0.0454021333227393
619293,0.2,0.0056188423645319
619293,0.4,-0.0312725945494993
619293,0.05,0.0174917898193761
619293,0.1,0.0054967159277504
619293,0.2,0.0117816091954023
619293,0.4,-0.0408087027914614
619293,0.05,0.0271264367816091
619293,0.1,0.005037078235076
619293,0.2,0.0200166852057842
619293,0.4,0.0019391916944754
619293,0.05,-0.02192118226601
619293,0.1,0.0219211822660098
619293,0.2,-0.0350369458128079
619293,0.4,-0.0160098522167487
619293,0.05,0.0188569401775047
619293,0.1,0.0333453341013825
619293,0.2,0.0305379544290835
619293,0.4,0.0393246501109405
619293,0.05,0.0214285714285713
619293,0.1,0.0051976346093993
619293,0.2,-0.0114651416122004
619293,0.4,-0.0063025210084033
619293,0.05,-0.0653080730500085
619293,0.1,0.002415941286909
619293,0.2,-0.0232066052227342
619293,0.4,-0.0235978835978835
619293,0.05,-0.0299327956989248
619293,0.1,-0.0183803763440859
619293,0.2,0.0221975806451611
619293,0.4,-0.020409946236559
619293,0.05,-0.0050000000000001
619293,0.1,-0.0166666666666668
619293,0.2,-0.015
619293,0.4,0.0566666666666666
619293,0.05,0.0234375000000001
619293,0.1,0.0198660714285714
619293,0.2,0.0245535714285713
619293,0.4,0.0207589285714285
619293,0.05,-0.0341330645161289
619293,0.1,-0.0488004032258062
619293,0.2,0.0146236559139784
619293,0.4,-0.0067204301075268
619296,0.05,-0.0145505588219716
619296,0.1,-0.0255985486519412
619296,0.2,-0.0251104401716193
619296,0.4,0.050521081625086
619296,0.05,-0.0191111964499062
619296,0.1,0.0355265403652499
619296,0.2,0.0101898788189112
619296,0.4,0.0084886499402628
619296,0.05,0.0095997174122174
619296,0.1,0.0143743987493988
619296,0.2,0.0462782587782588
619296,0.4,0.0189784752284752
619296,0.05,0.0183333333333334
619296,0.1,0.0208602150537634
619296,0.2,-0.0265591397849461
619296,0.4,-0.0167204301075268
619296,0.05,-0.0202011494252873
619296,0.1,-0.0228448275862068
619296,0.2,0.0260057471264367
619296,0.4,0.0531814449917897
619296,0.05,0.0262142857142857
619296,0.1,-0.0079642857142857
619296,0.2,0.0185238095238094
619296,0.4,0.0012142857142856
619296,0.05,0.0249245852187028
619296,0.1,0.0486341545165074
619296,0.2,-0.0052999832411597
619296,0.4,0.0295542148483326
619296,0.05,0.0368087557603686
619296,0.1,-0.009328063662741
619296,0.2,-0.0058179723502302
619296,0.4,-0.0088592336576207
619296,0.05,0.0296264367816091
619296,0.1,0.0247536945812806
619296,0.2,0.0248932676518883
619296,0.4,0.0034072249589491
619296,0.05,0.0378389550264548
619296,0.1,0.0549189814814815
619296,0.2,-0.0118716931216931
619296,0.4,-0.0122023809523809
619296,0.05,0.0198712121212121
619296,0.1,0.0370075757575756
619296,0.2,0.0281875000000001
619296,0.4,-0.0198011363636363
619296,0.05,-0.0133870967741935
619296,0.1,0.0179569892473118
619296,0.2,-0.0051612903225807
619296,0.4,-0.0075806451612903
620333,0.05,0.0205409752284753
620333,0.1,-0.0079861111111112
620333,0.2,-0.0003554894179895
620333,0.4,-0.0041937229437229
620333,0.05,0.0034047089358546
620333,0.1,-0.0205106202659038
620333,0.2,0.0001419566714337
620333,0.4,0.0226134858837862
620333,0.05,0.0184873949579831
620333,0.1,0.0035714285714286
620333,0.2,-0.0190126050420168
620333,0.4,0.0230042016806724
620333,0.05,0.0603515818858559
620333,0.1,0.0076544665012406
620333,0.2,-0.0028915942928039
620333,0.4,-0.0521198821339949
620333,0.05,0.0102812241521919
620333,0.1,0.0809057071960299
620333,0.2,-0.0036931348221671
620333,0.4,0.0002894954507858
620333,0.05,-0.0058530011655011
620333,0.1,0.0550371503496502
620333,0.2,0.0237944347319347
620333,0.4,0.01146925990676
620333,0.05,0.0019743566618566
620333,0.1,-0.0173505892255891
620333,0.2,-0.0126458032708032
620333,0.4,-0.0064882455507455
620333,0.05,-0.0387600806451612
620333,0.1,-0.0248631912442397
620333,0.2,0.0204709101382488
620333,0.4,0.038378456221198
620333,0.05,-0.0592236467236468
620333,0.1,-0.0458536833536834
620333,0.2,-0.0069291819291819
620333,0.4,-0.0356481481481482
620333,0.05,0.0146658986175116
620333,0.1,0.0295046082949308
620333,0.2,0.0891820276497695
620333,0.4,0.0554569892473117
620333,0.05,-0.0435096153846152
620333,0.1,-0.0112980769230769
620333,0.2,0.001201923076923
620333,0.4,0.0234375
620333,0.05,-0.0235221674876847
620333,0.1,-0.0252586206896552
620333,0.2,0.062208538587849
620333,0.4,0.0420114942528736
620334,0.05,0.0374712643678161
620334,0.1,-0.0208045977011492
620334,0.2,0.0237931034482759
620334,0.4,0.0447701149425288
620334,0.05,-0.0278865406006675
620334,0.1,0.0239581015943641
620334,0.2,0.0354671857619577
620334,0.4,0.0468427882832777
620334,0.05,-0.007921616922631
620334,0.1,-0.0332439872500723
620334,0.2,-0.002959287163141
620334,0.4,-0.0050601274992756
620334,0.05,0.002374910614969
620334,0.1,-0.0131634355633244
620334,0.2,-0.032132428889242
620334,0.4,0.0235936755124741
620334,0.05,0.023268049155146
620334,0.1,0.0100115207373271
620334,0.2,0.0150998463901691
620334,0.4,0.0176190476190476
620334,0.05,-0.0178958333333333
620334,0.1,0.0002291666666666
620334,0.2,0.0202499999999999
620334,0.4,-0.0204166666666667
620334,0.05,-0.0133333333333333
620334,0.1,-0.0033333333333332
620334,0.2,0.0250000000000001
620334,0.4,-0.0433333333333334
620334,0.05,0.0120320197044336
620334,0.1,-0.0024466338259441
620334,0.2,-0.0101108374384236
620334,0.4,0.0357676518883414
620334,0.05,-0.0280849358974357
620334,0.1,-0.0232727920227919
620334,0.2,0.0418580840455841
620334,0.4,0.0298789173789174
620334,0.05,0.0191025641025642
620334,0.1,-0.0193589743589743
620334,0.2,-0.0676923076923077
620334,0.4,-0.0203846153846154
620334,0.05,-0.0337533602150537
620334,0.1,-0.0582358870967743
620334,0.2,-0.0079166666666665
620334,0.4,0.0236827956989247
620334,0.05,-0.0407019704433497
620334,0.1,-0.0467287561576355
620334,0.2,0.0316733374384236
620334,0.4,0.0173876231527094
625545,0.05,0.0245525988173047
625545,0.1,0.0354688339982458
625545,0.2,0.007733851116204
625545,0.4,0.0093473247885013
625545,0.05,0.0812563183530925
625545,0.1,0.0114658579174707
625545,0.2,-0.0556722727690469
625545,0.4,0.0050487087583861
625545,0.05,0.0018472906403942
625545,0.1,-0.0192118226600984
625545,0.2,-0.0036330049261081
625545,0.4,-0.0163793103448275
625545,0.05,-0.0311699507389163
625545,0.1,0.0479515599343185
625545,0.2,0.0130336617405583
625545,0.4,0.0038793103448275
625545,0.05,-0.0051888341543514
625545,0.1,0.0250287356321839
625545,0.2,-0.0107307060755337
625545,0.4,-0.0100410509031199
625545,0.05,0.0283859546321308
625545,0.1,-0.0102911965676149
625545,0.2,0.0228448275862069
625545,0.4,-0.0599929981725727
625545,0.05,0.0207694892473118
625545,0.1,-0.023948252688172
625545,0.2,-0.0071740591397848
625545,0.4,0.0016229838709677
625545,0.05,0.0160697070819428
625545,0.1,0.0457471264367815
625545,0.2,0.0199610678531702
625545,0.4,-0.0121338524286245
625545,0.05,0.0103326612903225
625545,0.1,-0.006278801843318
625545,0.2,-0.0112471198156681
625545,0.4,-0.0010152649769585
625545,0.05,-0.0268285896734172
625545,0.1,0.04059934318555
625545,0.2,0.0149849480021893
625545,0.4,0.0040909505564676
625545,0.05,-0.008531746031746
625545,0.1,0.0249338624338624
625545,0.2,0.0322649572649571
625545,0.4,-0.003515466015466
625545,0.05,-0.015290893015031
625545,0.1,0.0421370468611848
625545,0.2,0.0108461538461538
625545,0.4,-0.0110901856763926
625554,0.05,0.0443021346469622
625554,0.1,0.05495894909688
625554,0.2,0.0328981937602628
625554,0.4,0.0260960591133003
625554,0.05,0.0278125
625554,0.1,0.018548387096774
625554,0.2,0.0100907258064515
625554,0.4,0.0216129032258063
625554,0.05,-0.0012862671486837
625554,0.1,-0.0093353726362623
625554,0.2,-0.0200608314794216
625554,0.4,0.0144146273637376
625554,0.05,0.0436051815362158
625554,0.1,0.0538542236818099
625554,0.2,-0.0153325123152708
625554,0.4,-0.0504948914431674
625554,0.05,-0.021243842364532
625554,0.1,0.0241379310344826
625554,0.2,0.0311576354679804
625554,0.4,0.0240147783251231
625554,0.05,0.0544312169312168
625554,0.1,0.0130291005291004
625554,0.2,-0.0107804232804233
625554,0.4,0.0155423280423281
625554,0.05,-0.001002966258806
625554,0.1,0.0114441972562107
625554,0.2,-0.033967371153133
625554,0.4,0.0179069336299593
625554,0.05,0.0226107804232804
625554,0.1,0.0187417328042328
625554,0.2,0.007944775132275
625554,0.4,0.0052496693121691
625554,0.05,0.0458447363619776
625554,0.1,0.0029049654049655
625554,0.2,0.0208026328715982
625554,0.4,0.0219462689290276
625554,0.05,0.0136559139784946
625554,0.1,0.0554838709677418
625554,0.2,0.0184408602150538
625554,0.4,-0.0098924731182795
625554,0.05,0.0316664018221305
625554,0.1,0.0207705651782402
625554,0.2,0.0070504263997034
625554,0.4,-0.0244198580433285
625554,0.05,-0.0096264367816092
625554,0.1,-0.0023275862068965
625554,0.2,0.0463182471264369
625554,0.4,0.0325431034482758
625555,0.05,0.0146174242424244
625555,0.1,0.0252215909090909
625555,0.2,-0.0443617424242425
