placement,complexity_fraction,mean,std,n,median,sem,ci95
cycle_proxy,0.00390625,0.0751333531854082,0.024090544828420088,24,0.06394151650574335,0.004917461871272779,0.009638225267694648
cycle_proxy,0.0078125,0.09292988468815311,0.03588592301340846,24,0.1017700367907586,0.007325183360970902,0.014357359387502969
cycle_proxy,0.015625,0.10436245056527339,0.034145907034843284,24,0.09532275969653155,0.006970004086656383,0.01366120800984651
cycle_proxy,0.03125,0.09163370709292418,0.028117718168124018,24,0.0852117100013116,0.005739505186940667,0.011249430166403706
cycle_proxy,0.0625,0.06538797400080433,0.02229430360995531,24,0.06374012611800264,0.004550805667923293,0.008919579109129654
cycle_proxy,0.09375,0.07555303534006229,0.045676508264933684,24,0.060435739992972456,0.009323678206758845,0.018274409285247335
cycle_proxy,0.125,0.11367934369113664,0.0816155387706452,24,0.07667153745350005,0.01665970208920152,0.03265301609483498
cycle_proxy,0.15625,0.16531040861862292,0.11929223968508196,24,0.12202724113551325,0.024350426458520057,0.04772683585869931
cycle_proxy,0.1875,0.21178869378010798,0.1483395549539165,24,0.16129377770182005,0.030279684859053344,0.05934818232374455
cycle_proxy,0.25,0.3045278114080073,0.17614396346116612,24,0.2777275587586373,0.035955235979275114,0.07047226251937923
cycle_proxy,0.375,0.3803551685155416,0.17544732862552387,24,0.37417962885756106,0.03581303598891085,0.07019355053826526
cycle_proxy,0.5,0.3731112738028947,0.14078721157015575,24,0.3994822154945078,0.02873806922134514,0.056326615673836476
cycle_proxy,0.75,0.5405199438400207,0.178388798236067,24,0.4994567713358865,0.036413460958888665,0.07137038347942178
feedback_hub,0.00390625,0.07935324303393591,0.02568723551936297,24,0.0714723104695073,0.005243384993761277,0.010277034587772103
feedback_hub,0.0078125,0.10046858614243603,0.04038473947545047,24,0.1064409109577315,0.008243500425840568,0.016157260834647514
feedback_hub,0.015625,0.11372449734123208,0.02986804634180669,24,0.10603385192342335,0.00609678942926901,0.01194970728136726
feedback_hub,0.03125,0.095805936509414,0.03474061860177902,24,0.09318576890211615,0.007091399076916683,0.013899142190756698
feedback_hub,0.0625,0.07631878156431697,0.03113210579757516,24,0.07491685179385495,0.00635481448520009,0.012455436390992175
feedback_hub,0.09375,0.07867783646430655,0.04127058305687756,24,0.07254972456322875,0.008424322489708567,0.01651167207982879
feedback_hub,0.125,0.12016709770864949,0.07601325525756772,24,0.0981621567855176,0.015516140755747636,0.030411635881265366
feedback_hub,0.15625,0.17561328657384434,0.12221761497929572,24,0.13158477566716026,0.02494756618993405,0.04889722973227074
feedback_hub,0.1875,0.22119141156399058,0.15664009492255274,24,0.16122819223403012,0.031974025485114695,0.0626690899508248
feedback_hub,0.25,0.3028412300615337,0.18214522720873275,24,0.2788738033370243,0.03718023881205853,0.07287326807163472
feedback_hub,0.375,0.3968863933551629,0.19605043481854875,24,0.42325700992367865,0.04001862742968477,0.07843650976218214
feedback_hub,0.5,0.39469249427432507,0.13615960109755312,24,0.41949998981175085,0.027793462189158798,0.05447518589075124
feedback_hub,0.75,0.5276085030731401,0.19903637866962204,24,0.497390276039132,0.040628130665995646,0.07963113610535147
gpu_surrogate,0.00390625,0.07670587494729683,0.028831607575929636,24,0.06629314348910895,0.005885227252099118,0.011535045414114271
gpu_surrogate,0.0078125,0.07967020085497911,0.03556717150230506,24,0.06797128446311346,0.0072601184812255345,0.014229832223202047
gpu_surrogate,0.015625,0.07966907137948205,0.023905072157803638,24,0.07656196304715984,0.004879602420919313,0.009564020745001853
gpu_surrogate,0.03125,0.07347252442419942,0.02343431370105359,24,0.07228194645783001,0.0047835092533245055,0.009375678136516031
