graph_seed,matched,primary
93001,0.0353222941048443,0.06847926042974
93002,0.0240537161007523,0.025573382154107
93003,0.008655849378556,0.0121068311855196
93004,0.0085874903015792,-0.0227105244994163
93005,0.066075530136004,0.0076776454225182
93006,0.0743932268815115,-0.0023902552202344
93007,0.0240796401631087,0.0587305231019854
93008,0.0635886127129197,0.0585235524922609
93009,0.054549838649109,0.0492284661158919
93010,0.0451874805148691,0.0442779567092657
93011,0.0707395003410056,0.0186966303735971
93012,0.0303853541845455,0.0396012915298343
