eta2_subtype,feature,perm_p
0.7457919608217806,max_euclidean_radius,0.0009990009990009
0.7243456986039498,radius_gyration,0.0009990009990009
0.7241788212405494,bbox_volume,0.0009990009990009
0.711896294378046,max_path_length,0.0009990009990009
0.5459501188758886,spatial_entropy_6,0.0009990009990009
0.5342743385168693,spatial_entropy_4,0.0009990009990009
0.3456585647333634,endpoints,0.0009990009990009
0.3440740763312174,branch_points,0.0009990009990009
0.2818703888691193,path_tortuosity_proxy,0.0009990009990009
0.1769792237920135,node_type_entropy,0.0009990009990009
0.0315463345288255,axon_length,0.0009990009990009
0.0,dendrite_length,1.0
