variant,graph_seed,repeat,state,best_search_score,objective,heldout_home_score
primary,93001,0,sparse_drive,0.5760567784309387,primary,0.3550690170377493
primary,93001,0,transition_mid,0.5881969332695007,primary,0.43575872853398323
primary,93001,1,sparse_drive,0.5748447179794312,primary,0.39265191555023193
primary,93001,1,transition_mid,0.603265106678009,primary,0.36635276675224304
primary,93001,2,sparse_drive,0.5932464599609375,primary,0.31307836063206196
primary,93001,2,transition_mid,0.6019346117973328,primary,0.34683707915246487
primary,93001,3,sparse_drive,0.5794970989227295,primary,0.49165915325284004
primary,93001,3,transition_mid,0.6011373996734619,primary,0.41846807301044464
primary,93001,4,sparse_drive,0.5751825571060181,primary,0.4197003208100796
primary,93001,4,transition_mid,0.5990757346153259,primary,0.3583090007305145
primary,93001,5,sparse_drive,0.572708249092102,primary,0.3244850169867277
primary,93001,5,transition_mid,0.5898718237876892,primary,0.4582477919757366
primary,93001,6,sparse_drive,0.5625784397125244,primary,0.32047107070684433
primary,93001,6,transition_mid,0.6074267029762268,primary,0.4118470251560211
primary,93001,7,sparse_drive,0.5946903824806213,primary,0.2744565214961767
primary,93001,7,transition_mid,0.6045403480529785,primary,0.35779016464948654
primary,93001,8,sparse_drive,0.59077388048172,primary,0.3530654888600111
primary,93001,8,transition_mid,0.6048852801322937,primary,0.40807714499533176
primary,93001,9,sparse_drive,0.5887767672538757,primary,0.3220228832215071
primary,93001,9,transition_mid,0.6072280406951904,primary,0.23401929531246418
primary,93001,10,sparse_drive,0.5780080556869507,primary,0.34256869554519653
primary,93001,10,transition_mid,0.611319363117218,primary,0.4086757395416498
primary,93001,11,sparse_drive,0.5833041667938232,primary,0.41517009772360325
primary,93001,11,transition_mid,0.6084912419319153,primary,0.4527812786400318
primary,93001,12,sparse_drive,0.5746586322784424,primary,0.3635341301560402
primary,93001,12,transition_mid,0.6019111275672913,primary,0.29088250920176506
primary,93001,13,sparse_drive,0.5711970329284668,primary,0.4962332658469677
primary,93001,13,transition_mid,0.6116002202033997,primary,0.41522649116814137
primary,93001,14,sparse_drive,0.5886421799659729,primary,0.40160260163247585
primary,93001,14,transition_mid,0.6063452959060669,primary,0.44009360298514366
primary,93001,15,sparse_drive,0.5832391381263733,primary,0.32855517975986004
primary,93001,15,transition_mid,0.6028701663017273,primary,0.4054341297596693
primary,93001,16,sparse_drive,0.5695382952690125,primary,0.3581057395786047
primary,93001,16,transition_mid,0.603305995464325,primary,0.447286631911993
primary,93001,17,sparse_drive,0.6175196766853333,primary,0.41788038797676563
primary,93001,17,transition_mid,0.6036481261253357,primary,0.3792040999978781
primary,93001,18,sparse_drive,0.5974407196044922,primary,0.27006531320512295
primary,93001,18,transition_mid,0.5989182591438293,primary,0.3940481338649988
primary,93001,19,sparse_drive,0.5788092017173767,primary,0.44074442610144615
primary,93001,19,transition_mid,0.615872323513031,primary,0.45492277294397354
primary,93002,0,sparse_drive,0.566407322883606,primary,0.30080878734588623
primary,93002,0,transition_mid,0.6195114850997925,primary,0.3103251177817583
primary,93002,1,sparse_drive,0.565298855304718,primary,0.35407213121652603
primary,93002,1,transition_mid,0.5934580564498901,primary,0.29113089479506016
primary,93002,2,sparse_drive,0.579105019569397,primary,0.36873024329543114
primary,93002,2,transition_mid,0.5890613794326782,primary,0.42555597983300686
primary,93002,3,sparse_drive,0.5793716311454773,primary,0.3251238986849785
primary,93002,3,transition_mid,0.5875865817070007,primary,0.47254996560513973
primary,93002,4,sparse_drive,0.5712131261825562,primary,0.45713701099157333
primary,93002,4,transition_mid,0.5878143310546875,primary,0.23017770424485204
primary,93002,5,sparse_drive,0.5771635174751282,primary,0.4708949327468872
primary,93002,5,transition_mid,0.6251851916313171,primary,0.3264797776937485
primary,93002,6,sparse_drive,0.5721409916877747,primary,0.40874413400888443
primary,93002,6,transition_mid,0.6167700290679932,primary,0.2559623196721077
primary,93002,7,sparse_drive,0.5709161162376404,primary,0.3757724855095148
primary,93002,7,transition_mid,0.5996080636978149,primary,0.29547139815986156
primary,93002,8,sparse_drive,0.5753746628761292,primary,0.360447296872735
primary,93002,8,transition_mid,0.58488529920578,primary,0.3767509665340185
primary,93002,9,sparse_drive,0.5930449366569519,primary,0.41747925616800785
primary,93002,9,transition_mid,0.586875319480896,primary,0.2430035080760717
primary,93002,10,sparse_drive,0.5691714286804199,primary,0.3337014317512512
primary,93002,10,transition_mid,0.5970953106880188,primary,0.26171017065644264
primary,93002,11,sparse_drive,0.593237042427063,primary,0.4473334439098835
primary,93002,11,transition_mid,0.5805867314338684,primary,0.3995875958353281
primary,93002,12,sparse_drive,0.5756015181541443,primary,0.3233129270374775
primary,93002,12,transition_mid,0.5895863771438599,primary,0.31487314216792583
primary,93002,13,sparse_drive,0.581384539604187,primary,0.24164538830518723
primary,93002,13,transition_mid,0.6000015139579773,primary,0.34975831396877766
primary,93002,14,sparse_drive,0.5854694843292236,primary,0.2760195340961218
primary,93002,14,transition_mid,0.609430193901062,primary,0.36435033939778805
primary,93002,15,sparse_drive,0.570746660232544,primary,0.4730518311262131
primary,93002,15,transition_mid,0.5998939871788025,primary,0.41103233955800533
primary,93002,16,sparse_drive,0.5808568000793457,primary,0.43721532076597214
primary,93002,16,transition_mid,0.6065062284469604,primary,0.2770236060023308
primary,93002,17,sparse_drive,0.57688307762146,primary,0.42568493261933327
primary,93002,17,transition_mid,0.6082364320755005,primary,0.3594431225210428
primary,93002,18,sparse_drive,0.5828322172164917,primary,0.2740348093211651
primary,93002,18,transition_mid,0.597712516784668,primary,0.27666289173066616
primary,93002,19,sparse_drive,0.5832724571228027,primary,0.46440568938851357
primary,93002,19,transition_mid,0.6419904828071594,primary,0.31491268798708916
primary,93003,0,sparse_drive,0.5679755210876465,primary,0.24771216511726377
primary,93003,0,transition_mid,0.6183724403381348,primary,0.3765147216618061
primary,93003,1,sparse_drive,0.5692800879478455,primary,0.2317035309970379
primary,93003,1,transition_mid,0.6116664409637451,primary,0.403464762493968
primary,93003,2,sparse_drive,0.5614250302314758,primary,0.3390504866838455
primary,93003,2,transition_mid,0.60904860496521,primary,0.4859732314944267
primary,93003,3,sparse_drive,0.5465840697288513,primary,0.3209867011755705
primary,93003,3,transition_mid,0.621692955493927,primary,0.3628216776996851
primary,93003,4,sparse_drive,0.5502026081085205,primary,0.281884878873825
primary,93003,4,transition_mid,0.6189172267913818,primary,0.4322939347475767
primary,93003,5,sparse_drive,0.5570294260978699,primary,0.35503270477056503
primary,93003,5,transition_mid,0.6146336793899536,primary,0.4461787436157465
primary,93003,6,sparse_drive,0.5425747632980347,primary,0.33741772919893265
primary,93003,6,transition_mid,0.6126373410224915,primary,0.46005425602197647
primary,93003,7,sparse_drive,0.5735901594161987,primary,0.28917888179421425
primary,93003,7,transition_mid,0.6158657670021057,primary,0.41776961646974087
primary,93003,8,sparse_drive,0.567153811454773,primary,0.26377912797033787
primary,93003,8,transition_mid,0.5877411961555481,primary,0.3757123276591301
primary,93003,9,sparse_drive,0.5857371687889099,primary,0.28723529167473316
primary,93003,9,transition_mid,0.6222007274627686,primary,0.4077969044446945
primary,93003,10,sparse_drive,0.5667809247970581,primary,0.3099577818065882
