descriptor,baseline,grouping,n_tasks,mean_shift,ci95_low,ci95_high,median_shift,positive_fraction,wilcoxon_p,regime,k,wilcoxon_fdr_bh
sel_total_degree,spectral,overall,36,-20.66521990740741,-28.60621383101852,-13.143446180555555,-7.25,0.0,1.6795621714783797e-07,,,7.054161120209195e-06
coverage1,spectral,overall,36,-0.0717230902777777,-0.1201171875,-0.0305989583333333,-0.00390625,0.25,0.0020297957157168,,,0.0204603408144255
coverage2,spectral,overall,36,-0.0042317708333333,-0.0090060763888888,-0.0005425347222222,0.0,0.0,0.0655996921470718,,,0.2504715518342744
redundancy,spectral,overall,36,-0.0393188010705274,-0.051904849992571,-0.0275604056020444,-0.0204373267985577,0.0,2.9103830456733704e-11,,,1.8335413187742235e-09
dispersion,spectral,overall,36,0.3371317396135739,0.2357685408938841,0.4509316664721676,0.1773550724637682,1.0,1.678095767078061e-07,,,7.054161120209195e-06
sel_spectral,spectral,overall,36,-0.0338304103754385,-0.0477916394609537,-0.0213794727125831,-0.0139093370743031,0.0,2.9103830456733704e-11,,,1.8335413187742235e-09
sel_feedback,spectral,overall,36,-651.4023437500001,-924.880421730324,-400.4976345486112,-206.89583333333337,0.0,2.9103830456733704e-11,,,1.8335413187742235e-09
sel_cycle3,spectral,overall,36,-85.66637731481481,-124.33682002314816,-50.01022858796296,-26.03125,0.0,2.9103830456733704e-11,,,1.8335413187742235e-09
sel_bridge,spectral,overall,36,0.0,0.0,0.0,0.0,0.0,1.0,,,1.0
