subject,rho_within,rho_cross
619293,0.2204124537223715,0.2138937442695432
619296,0.1676564585588579,0.1456391542710155
620333,0.0637532432829267,0.0335619849046415
620334,0.1017908663798179,0.0943597512056518
625545,0.0838462807008958,0.0687466235087572
625554,0.1163531340194886,0.108780047799118
625555,0.0990595070431422,0.0745865598708523
630506,0.0884337316225471,0.1028908180012322
631510,0.2696780069759783,0.2374161324863087
631570,0.1391239991157494,0.104246030589241
633229,0.1405630932190012,0.1154626355096492
637484,0.1105113866539304,0.1156043421406035
