variant,mean,ci95_low,ci95_high,positive_graphs,n_graphs,p_signflip_greater
primary,0.029816229982922448,0.0147232270450331,0.04439459866650088,10,12,0.0029296875
matched,0.04213487778906707,0.029412644997015954,0.054788965288510814,12,12,0.000244140625
alternative,0.02170978533104061,-0.004819684969455311,0.045755113692333274,9,12,0.068115234375
random_null,0.03386982022493609,0.015722747928763648,0.05241605238394787,10,12,0.002685546875
