variant,graph_seed,repeat,rhythm_score_mid_home_advantage,rhythm_score_sparse_home_advantage,rhythm_score_crossover_interaction,alternative_spectral_score_mid_home_advantage,alternative_spectral_score_sparse_home_advantage,alternative_spectral_score_crossover_interaction
matched,93001,0,0.0343781067058443,0.0362664815038442,0.0353222941048443,0.1438733991235495,0.1329516060650349,0.1384125025942922
matched,93002,0,0.0111412340775132,0.0369661981239915,0.0240537161007523,0.0416654497385025,0.1317648384720087,0.0867151441052556
matched,93003,0,0.0116528868675231,0.0056588118895888,0.008655849378556,0.0418154466897249,0.0139585640281439,0.0278870053589344
matched,93004,0,0.0153595088049769,0.0018154717981815,0.0085874903015792,0.0555810611695051,-0.0018407553434371,0.0268701529130339
matched,93005,0,0.0588961048051715,0.0732549554668366,0.066075530136004,0.1970906294882298,0.2603385113179683,0.228714570403099
matched,93006,0,0.0777196018025278,0.0710668519604951,0.0743932268815115,0.2607713434845209,0.2560372203588485,0.2584042819216847
matched,93007,0,0.0276310136541724,0.0205282666720449,0.0240796401631087,0.1092060934752225,0.0448926854878664,0.0770493894815445
matched,93008,0,0.0818605301901698,0.0453166952356696,0.0635886127129197,0.2829186972230673,0.1428493466228247,0.2128840219229459
matched,93009,0,0.0730349812656641,0.0360646960325539,0.054549838649109,0.213499203324318,0.1452055890113116,0.1793523961678147
matched,93010,0,0.0615613828413188,0.0288135781884193,0.0451874805148691,0.1764480136334895,0.136572590097785,0.1565103018656373
matched,93011,0,0.0839575289282947,0.0575214717537164,0.0707395003410056,0.2578341187909246,0.2056639883667231,0.2317490535788238
matched,93012,0,0.0287845362909138,0.0319861720781773,0.0303853541845455,0.1156915687024593,0.1066000647842884,0.1111458167433738
