model,n,spearman_rho,spearman_p,mae,r2,rounded_accuracy,within_one_class_accuracy,quadratic_weighted_kappa
Temporal profile,400,0.013124111418167779,0.79357428311557,0.872837331103002,0.003543385500892504,0.3375,0.83,-0.006697003520220068
Multiaxial ephys,400,0.259810695773154,1.3587890073867102e-07,0.8381092695596644,0.06842855477985443,0.3375,0.865,0.115209283050145
Metadata only,400,0.09992157035747812,0.04580584269946038,0.866774760419272,0.0067160265883454695,0.355,0.835,-0.0005265929436544248
Ephys + metadata,400,0.25896108003386437,1.4973506144444308e-07,0.8383471435574482,0.0668498986194277,0.3275,0.855,0.08037864319521715
Ephys + temporal,400,0.2515563926652056,3.440125129085113e-07,0.8383962058355265,0.06936152174659016,0.33,0.87,0.12382211935857168
Naive median,400,,,0.805,-0.07420026500094656,0.36,0.835,0.0
Naive mean,400,,,0.8736000000000002,0.0,0.36,0.835,0.0
Naive majority class,400,,,0.805,-0.07420026500094656,0.36,0.835,0.0
