graph_seed,primary,random_null
93001,0.39541387278586626,0.21270186128094787
93002,0.30556695256382227,0.16206225263886148
93003,0.31211344338953495,0.1694173133000731
93004,0.32369107101112604,0.12272862403187897
93005,0.38449913915246725,0.15542179963085798
93006,0.3701316351071,0.17216307984199372
93007,0.30023183953016996,0.16859717387706036
93008,0.397058492526412,0.140650539426133
93009,0.38645315170288086,0.17264771368354553
93010,0.3576710196211934,0.2541734608821571
93011,0.321887681260705,0.2597593136597425
93012,0.3126347307115793,0.1874309182167053
