task_id,graph_seed,topology,regime,k,complexity_fraction,method,score,sel_total_degree,sel_feedback,sel_cycle3,sel_bridge,sel_spectral,coverage1,coverage2,optimizer_search_best,phase,evidence_source
229884affadd81a308,41001,scale_free,transition_mid,64,,feedback_hub,0.450446605682373,48.4375,705.53125,64.359375,0.0,0.0998570260759721,0.9921875,1.0,0.8244380354881287,stage4a_discovery,cleaned_stage4a_local
229884affadd81a308,41001,scale_free,transition_mid,64,,high_degree,0.3924783766269684,48.484375,705.375,64.0,0.0,0.0998832868277656,0.9921875,1.0,0.8244380354881287,stage4a_discovery,cleaned_stage4a_local
229884affadd81a308,41001,scale_free,transition_mid,64,,module_bridge,0.3924783766269684,48.484375,705.375,64.0,0.0,0.0998832868277656,0.9921875,1.0,0.8244380354881287,stage4a_discovery,cleaned_stage4a_local
229884affadd81a308,41001,scale_free,transition_mid,64,,random,0.25383793516084546,25.67626953125,256.80322265625,22.73876953125,0.0,0.05248457935890236,0.942138671875,1.0,0.8244380354881287,stage4a_discovery,cleaned_stage4a_local
229884affadd81a308,41001,scale_free,transition_mid,64,,spectral,0.5343521237373352,48.1875,701.28125,64.578125,0.0,0.1004659917346594,0.9921875,1.0,0.8244380354881287,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,cycle_proxy,0.202434092760086,74.375,1451.25,135.4375,0.0,0.1565776424567612,0.88671875,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,dynamics_aware,0.2245332598686218,67.125,1287.0625,118.4375,0.0,0.1407399084671925,0.875,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,feedback_hub,0.1768622398376464,74.8125,1465.5625,134.5,0.0,0.1562138205696446,0.89453125,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,high_degree,0.1768622398376464,74.8125,1465.5625,134.5,0.0,0.1562138205696446,0.89453125,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,module_bridge,0.1768622398376464,74.8125,1465.5625,134.5,0.0,0.1562138205696446,0.89453125,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,random,0.023605611931998238,26.025390625,257.146484375,22.66796875,0.0,0.05388882047757505,0.5419921875,0.99609375,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
22de7356ee52c0561b,41002,scale_free,transition_mid,16,,spectral,0.1009831130504608,74.0,1439.5,134.3125,0.0,0.1570464144753114,0.859375,1.0,0.2757065296173095,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,cycle_proxy,0.3987365067005157,103.0,2755.09375,431.40625,0.0,0.1188283918673488,0.99609375,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,dynamics_aware,0.3448967039585113,90.96875,2290.0625,357.9375,0.0,0.1044535148674195,0.9921875,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,feedback_hub,0.3123979568481445,103.1875,2764.46875,427.9375,0.0,0.1184274157740792,0.98828125,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,high_degree,0.2152597606182098,103.21875,2764.375,426.90625,0.0,0.1184500905899781,0.98828125,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,module_bridge,0.2152597606182098,103.21875,2764.375,426.90625,0.0,0.1184500905899781,0.98828125,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,random,0.09817642183043059,51.087890625,867.1162109375,125.955078125,0.0,0.05725034556855582,0.93701171875,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
23b2ccf39e277809ec,41001,scale_free,transition_dense,32,,spectral,0.408940315246582,102.90625,2749.5625,430.71875,0.0,0.1189411841964958,0.99609375,1.0,0.6015898585319519,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,cycle_proxy,0.273537278175354,61.71875,1066.5,103.0625,0.0,0.1303464495104372,0.953125,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,dynamics_aware,0.4511906206607818,55.125,906.96875,88.65625,0.0,0.1164926889772689,0.93359375,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,feedback_hub,0.3016984760761261,62.1875,1075.3125,102.71875,0.0,0.1301710958954575,0.95703125,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,high_degree,0.3016984760761261,62.1875,1075.3125,102.71875,0.0,0.1301710958954575,0.95703125,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,module_bridge,0.3016984760761261,62.1875,1075.3125,102.71875,0.0,0.1301710958954575,0.95703125,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,random,0.03694273973815139,26.3310546875,269.1103515625,23.890625,0.0,0.05401174008415401,0.7835693359375,0.999755859375,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2ad4c7bade1b558838,41001,scale_free,sparse_drive,32,,spectral,0.2254573404788971,61.84375,1068.9375,102.78125,0.0,0.1308121188301687,0.94921875,1.0,0.5813050270080566,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,cycle_proxy,0.3565035760402679,88.421875,2100.09375,320.1875,0.0,0.1005783545185416,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,dynamics_aware,0.7878016233444214,59.375,1151.75,172.546875,0.0,0.0672830399814656,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,feedback_hub,0.4088177680969238,88.546875,2103.53125,319.0,0.0,0.1005390546323584,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,high_degree,0.4088177680969238,88.546875,2103.53125,319.0,0.0,0.1005390546323584,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,module_bridge,0.4088177680969238,88.546875,2103.53125,319.0,0.0,0.1005390546323584,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,random,0.36612606840208173,49.640625,820.060546875,118.97998046875,0.0,0.055471050772127585,0.99267578125,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
2c6392cefb484c681b,41001,scale_free,transition_dense,64,,spectral,0.3107910752296448,88.3125,2095.015625,319.765625,0.0,0.1006809397707178,1.0,1.0,0.8227571249008179,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,cycle_proxy,0.3233111202716827,88.359375,2117.65625,323.0625,0.0,0.100241029661339,1.0,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,dynamics_aware,0.7075631618499756,56.71875,1028.125,153.578125,0.0,0.0637455445051531,0.99609375,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,feedback_hub,0.2918859720230102,88.453125,2120.828125,322.78125,0.0,0.1001957811026643,1.0,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,high_degree,0.2918859720230102,88.453125,2120.828125,322.78125,0.0,0.1001957811026643,1.0,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,module_bridge,0.2918859720230102,88.453125,2120.828125,322.78125,0.0,0.1001957811026643,1.0,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,random,0.3382084369659424,49.70849609375,828.44970703125,121.41796875,0.0,0.055475270439202785,0.9932861328125,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
3251258fc98d99b0f6,41002,scale_free,transition_dense,64,,spectral,0.4455190300941467,88.34375,2117.203125,322.8125,0.0,0.1002701697895522,1.0,1.0,0.811133861541748,stage4a_discovery,cleaned_stage4a_local
35b69db5735d0be061,41002,scale_free,sparse_drive,24,,cycle_proxy,0.2774188220500946,67.45833333333333,1224.6666666666667,114.70833333333331,0.0,0.1438057324914864,0.9296875,1.0,0.4548309445381164,stage4a_discovery,cleaned_stage4a_local
35b69db5735d0be061,41002,scale_free,sparse_drive,24,,dynamics_aware,0.3103532195091247,63.75,1135.0416666666667,103.66666666666669,0.0,0.1332516949979012,0.93359375,1.0,0.4548309445381164,stage4a_discovery,cleaned_stage4a_local
35b69db5735d0be061,41002,scale_free,sparse_drive,24,,feedback_hub,0.30789315700531,68.125,1243.125,113.66666666666669,0.0,0.1425685662463137,0.9609375,1.0,0.4548309445381164,stage4a_discovery,cleaned_stage4a_local
