subject,C,delta_jaccard
619293,0.25,0.0070389607785854
619293,1.0,-0.0066738099615664
619293,4.0,-0.010406017233825
619293,0.25,0.0196073594099807
619293,1.0,0.0160316292082342
619293,4.0,0.0155602356363876
619293,0.25,-0.0013021485558721
619293,1.0,-0.0018495286689788
619293,4.0,-0.0114126447683333
619293,0.25,-0.0132511705098722
619293,1.0,-0.011517350187843
619293,4.0,-0.0146646886393459
619293,0.25,-0.0329617377124397
619293,1.0,-0.0257536326176534
619293,4.0,-0.0213783366615646
619293,0.25,0.0168770879240525
619293,1.0,0.0131560725661265
619293,4.0,0.0216743739642696
619293,0.25,0.025727132015334
619293,1.0,0.0118647737805553
619293,4.0,0.0118244267738638
619293,0.25,-0.0153361261410942
619293,1.0,-0.0172189405836048
619293,4.0,-0.0104714161178146
619293,0.25,0.0357872141775265
619293,1.0,0.030729488358805
619293,4.0,0.0274024589442448
619293,0.25,0.001490121677349
619293,1.0,0.006958367079588
619293,4.0,0.0119150705454645
619293,0.25,-0.0244570855717488
619293,1.0,-0.0239551364689429
619293,4.0,-0.0190953869518309
619293,0.25,-0.0204704553309379
619293,1.0,-0.0105601997411286
619293,4.0,-0.007173036998666
619296,0.25,0.0077254680369857
619296,1.0,0.0073613558449187
619296,4.0,0.0164031281190431
619296,0.25,0.0464324694703536
619296,1.0,0.0335260062080211
619296,4.0,0.0260852255887314
619296,0.25,-0.0049483082416478
619296,1.0,-0.0128895380785668
619296,4.0,-0.0018435660044718
619296,0.25,0.0474978241753112
619296,1.0,0.0543832709840969
619296,4.0,0.0355488381140136
619296,0.25,-0.0072400259116716
619296,1.0,-0.0177506094157496
619296,4.0,-0.0215445619553381
619296,0.25,0.0591552822590041
619296,1.0,0.0513699217089657
619296,4.0,0.0556153691639314
619296,0.25,0.0125357802901863
619296,1.0,0.0143276699006151
619296,4.0,0.0035757302017464
619296,0.25,-0.0134050099810504
619296,1.0,-0.0208659443663591
619296,4.0,-0.0190821606930098
619296,0.25,0.026151424578374
619296,1.0,0.0298580297646303
619296,4.0,0.0266637158243595
619296,0.25,0.0473712203949218
619296,1.0,0.030697982150018
619296,4.0,0.0320725947509205
619296,0.25,0.0236440460459205
619296,1.0,0.0128001448235231
619296,4.0,0.0070160458385432
619296,0.25,0.0322935988747016
619296,1.0,0.0206985440223836
619296,4.0,0.0280115394910945
620333,0.25,-0.010949289481788
620333,1.0,-0.0011480674431338
620333,4.0,0.0050991343554931
620333,0.25,0.0220461328714836
620333,1.0,0.0218598032531519
620333,4.0,0.0127283082232213
620333,0.25,0.0386406184700828
620333,1.0,0.0500911164569099
620333,4.0,0.0527044993292963
620333,0.25,0.0038684916554456
620333,1.0,0.0113755124166368
620333,4.0,0.0063131313131312
620333,0.25,-0.0085251715825705
620333,1.0,-0.0007926180366248
620333,4.0,0.0018027802085605
620333,0.25,0.0129393898782374
620333,1.0,0.0167154914293769
620333,4.0,0.0153499072591538
620333,0.25,0.0214482074468192
620333,1.0,0.0098453875985649
620333,4.0,0.0009151046933664
620333,0.25,0.0037653118723701
620333,1.0,0.0028027323381305
620333,4.0,-0.0033067674074913
620333,0.25,0.0234050289107247
