graph,task,coupling,readout,method,score,normalized_score,mask_count
formal-02,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9269579358759541,0.9269579358759541,1
formal-02,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-32.61562179430858,-32.61562179430858,1
formal-02,delayed_recall,0.05,state_matched,specialist_pool_0.035,0.9218958173671419,0.9218958173671419,1
formal-02,delayed_recall,0.05,cross_state_readout,specialist_pool_0.035,-3.1962807241979894,-3.1962807241979894,1
formal-02,delayed_recall,0.035,state_matched,specialist_pool_0.05,0.9279439145271009,0.9279439145271009,1
formal-02,delayed_recall,0.035,cross_state_readout,specialist_pool_0.05,-6.105398895666663,-6.105398895666663,1
formal-02,delayed_recall,0.05,state_matched,specialist_pool_0.05,0.9343610398258897,0.9343610398258897,1
formal-02,delayed_recall,0.05,cross_state_readout,specialist_pool_0.05,-2.585713440409669,-2.585713440409669,1
formal-02,delayed_recall,0.035,state_matched,high_degree,0.9107064596897401,0.9107064596897401,1
formal-02,delayed_recall,0.035,cross_state_readout,high_degree,-10.145716891901955,-10.145716891901955,1
formal-02,delayed_recall,0.05,state_matched,high_degree,0.9137751642906788,0.9137751642906788,1
formal-02,delayed_recall,0.05,cross_state_readout,high_degree,-1.7725124036568682,-1.7725124036568682,1
formal-02,delayed_recall,0.035,state_matched,spectral,0.7583756490992445,0.7583756490992445,1
formal-02,delayed_recall,0.035,cross_state_readout,spectral,-4.457678939887584,-4.457678939887584,1
formal-02,delayed_recall,0.05,state_matched,spectral,0.9218787954667533,0.9218787954667533,1
formal-02,delayed_recall,0.05,cross_state_readout,spectral,-7.516709090231629,-7.516709090231629,1
formal-02,delayed_recall,0.035,state_matched,input_energy_degree,0.914471662241364,0.914471662241364,1
formal-02,delayed_recall,0.035,cross_state_readout,input_energy_degree,-24.272288082639196,-24.272288082639196,1
formal-02,delayed_recall,0.05,state_matched,input_energy_degree,0.9142912978555022,0.9142912978555022,1
formal-02,delayed_recall,0.05,cross_state_readout,input_energy_degree,-4.6791806371352545,-4.6791806371352545,1
formal-02,delayed_recall,0.035,state_matched,input_quota_random,0.9067004009000076,0.9067004009000076,1
formal-02,delayed_recall,0.035,cross_state_readout,input_quota_random,-7.460451651875481,-7.460451651875481,1
formal-02,delayed_recall,0.05,state_matched,input_quota_random,0.9266482716613813,0.9266482716613813,1
formal-02,delayed_recall,0.05,cross_state_readout,input_quota_random,-0.6924086244622993,-0.6924086244622993,1
formal-02,delayed_recall,0.035,state_matched,unselected_random,0.8998015024163375,0.8998015024163375,8
formal-02,delayed_recall,0.035,cross_state_readout,unselected_random,-12.709383549775971,-12.709383549775971,8
formal-02,delayed_recall,0.05,state_matched,unselected_random,0.8922233279211695,0.8922233279211695,8
formal-02,delayed_recall,0.05,cross_state_readout,unselected_random,-4.95618659746191,-4.95618659746191,8
formal-02,delayed_recall,0.035,state_matched,group_matched_random,0.9127097352030352,0.9127097352030352,4
formal-02,delayed_recall,0.035,cross_state_readout,group_matched_random,-10.409938429492655,-10.409938429492655,4
formal-02,delayed_recall,0.05,state_matched,group_matched_random,0.9069542867952166,0.9069542867952166,4
formal-02,delayed_recall,0.05,cross_state_readout,group_matched_random,-2.1939418125039873,-2.1939418125039873,4
formal-03,delayed_recall,0.035,state_matched,random_search,0.8957014325106831,0.8957014325106831,1
formal-03,delayed_recall,0.035,cross_state_readout,random_search,-3.6482009291187536,-3.6482009291187536,1
formal-03,delayed_recall,0.05,state_matched,random_search,0.918719817950208,0.918719817950208,1
formal-03,delayed_recall,0.05,cross_state_readout,random_search,0.1286212434758529,0.1286212434758529,1
formal-03,delayed_recall,0.035,state_matched,local_search,0.899077896297476,0.899077896297476,1
formal-03,delayed_recall,0.035,cross_state_readout,local_search,-20.889722037538405,-20.889722037538405,1
formal-03,delayed_recall,0.05,state_matched,local_search,0.8643746867265486,0.8643746867265486,1
formal-03,delayed_recall,0.05,cross_state_readout,local_search,-1.668097771020967,-1.668097771020967,1
formal-03,delayed_recall,0.035,state_matched,population_search,0.9207536142776334,0.9207536142776334,1
formal-03,delayed_recall,0.035,cross_state_readout,population_search,-24.324664507339232,-24.324664507339232,1
formal-03,delayed_recall,0.05,state_matched,population_search,0.9270695556758266,0.9270695556758266,1
formal-03,delayed_recall,0.05,cross_state_readout,population_search,-0.18078777256066747,-0.18078777256066747,1
formal-03,delayed_recall,0.035,state_matched,specialist_pool_0.035,0.9207536142776334,0.9207536142776334,1
formal-03,delayed_recall,0.035,cross_state_readout,specialist_pool_0.035,-24.324664507339232,-24.324664507339232,1
