graph_seed,primary,random_null
93001,0.06847926042974,0.03475351491943
93002,0.025573382154107,0.0140133390668779
93003,0.0121068311855196,0.043690136168152
93004,-0.0227105244994163,0.005879106814973
93005,0.0076776454225182,0.0517724906676449
93006,-0.0023902552202344,0.0382944097509607
93007,0.0587305231019854,0.0482604466378688
93008,0.0585235524922609,-0.0067163553321733
93009,0.0492284661158919,-0.0248224902898073
93010,0.0442779567092657,0.0339737185277045
93011,0.0186966303735971,0.1062136532273143
93012,0.0396012915298343,0.0611258725402876
