cortical_layer,C_primary_shared
2/3,1.0890859518798333
2/3,0.8061453852712431
2/3,1.42327652575814
2/3,1.095176728355268
4,1.0952603876603302
2/3,0.95154620173807
2/3,1.424864478756144
2/3,1.2787564649048495
2/3,1.1245477354674136
2/3,1.4796157645070698
2/3,1.4901809365090282
2/3,1.5052290210855483
2/3,1.0506070993007426
5,1.2513834697905604
5,1.6864729125420457
5,1.055786846100942
2/3,1.2523687012688232
2/3,1.3160381603370408
4,1.240179563436492
2/3,1.3297778497366997
5,1.337375830480302
5,1.3187589364546797
2/3,1.302330414139266
2/3,1.485135443565936
2/3,1.3779260040643535
2/3,1.115365215471216
2/3,1.0747432317485135
5,1.354723803232378
4,1.2452805714066713
4,1.0577409946282352
5,1.4451381789095294
5,1.42183054501561
5,1.3124195321586345
5,1.6276526423023037
5,1.5163010114334188
4,1.4762541056809737
5,1.5271723491168294
4,1.3921589053931271
5,0.9645834455088952
4,0.8990625232159701
5,1.3457410656624649
5,1.2707800403666984
5,1.3513466816237727
5,1.480734059947065
5,0.8329660541823597
5,1.2235396238919585
5,1.4858337936942865
5,1.0227672263641303
5,1.1656156625317655
4,1.432204570359379
5,1.5481991757245042
5,1.4512653954407926
6a,1.3622956057134146
5,1.0843903389587706
MISSING,1.6120360079433271
MISSING,1.4443984177805274
5,1.1189803373129277
5,1.2242542329351664
5,1.2585231653360884
5,1.0659615285835156
5,1.5595868580284444
5,1.2971011195696351
5,1.4073868910839742
5,1.0310061024992028
5,1.1755722869620364
5,1.3472790909888783
5,0.8095220888956018
5,0.8559256220038501
5,0.6244324544405323
5,1.4276168585814213
6a,1.4015834252831898
6a,1.3086057094356658
5,1.3818951906951122
6a,1.3196209495756297
5,1.290839497668705
6a,1.3129774582674334
6a,1.5750402481683303
6a,1.471356636384722
6a,1.303824331659153
4,0.686205821606233
4,1.3529123584874096
4,1.3184332146823616
5,1.5939527146456325
5,1.3567042058271088
5,1.4137136605558116
MISSING,1.3623143726019613
MISSING,1.485766567028966
MISSING,1.3277626281681507
MISSING,1.4406456300164077
5,1.3087947328079097
5,1.3540937263664576
5,1.3855371105720709
6a,1.5878021679821883
5,1.3854378416599675
5,1.3031785158250038
5,1.222816400889659
4,1.7393849670364523
5,1.361882760484629
5,1.4961169382335464
5,0.934412292297828
6a,1.187549820644061
6a,1.3016445674765151
6a,1.2493245300643678
6a,1.3850042201918609
6a,1.2726976435121486
4,1.4853239172675758
5,1.5239768536229508
5,0.7098051271714466
5,1.4991423745015549
2/3,0.9491167673872838
2/3,1.3485310913122897
4,0.8362835274589203
MISSING,1.2561795707897898
MISSING,1.0716967536310495
MISSING,0.7562457278298276
5,1.311782841657489
6a,1.358280679016108
6a,1.3657820692358449
6a,1.3595012977824912
5,1.3535894110441362
4,0.4698522862372711
4,0.8994310367425935
5,1.45894407144731
6a,0.9363993706204348
6a,0.8852058740026654
5,1.4750530062771812
5,0.7038678521244297
6a,0.7376523282521237
5,1.349797765646021
6a,1.3161791044303095
6a,1.367195258077358
6a,1.229617645996118
5,0.939651252314643
5,0.8032950071369289
5,1.4137465138871872
5,1.4019766970249543
5,1.44053635364522
5,1.48177092719876
5,1.5364382982123084
5,1.3203840964690496
5,1.2909035242242122
5,1.3434936569198122
5,1.3156476610472552
5,1.365502729900082
5,1.331971022658108
5,1.5719315391889035
6a,0.9986412690447554
6a,1.3204497260107495
6a,0.922589735719196
6a,0.890470499587932
6a,1.2995769918236633
6a,1.1112212867244058
5,1.1354088822176538
5,1.24349533454105
5,1.203264746324932
6a,1.4009335604080804
6a,1.452452536433651
6a,1.397318150676709
6a,1.1779983711964508
5,1.0024615075194578
5,1.297192900762809
5,1.183480072673
5,1.3856773379136909
4,1.0355711786970532
5,1.4208262681366897
5,1.389403492100253
5,0.8304254125258592
5,1.572138545606222
4,1.390520282992407
5,1.343036120754692
5,1.341249678277336
5,0.8358029035847439
5,1.25384904987884
5,1.4967052223191175
5,1.135280291439245
6a,1.116198075471656
5,0.8159485202392506
MISSING,0.6857842704386478
MISSING,0.6061614197383202
MISSING,1.028813431118601
MISSING,1.2916339481427843
2/3,1.29580382739194
4,0.8820038639423111
2/3,0.9490600758594788
6a,1.1960659687490676
6a,1.307571309346727
6a,1.3641230500043606
6a,1.5520782738203087
5,1.308094207657276
5,1.4925664616585392
5,1.2874290887372886
5,1.5381943272454928
5,1.7459109503252987
5,1.2775759667177935
6a,1.4079512235832246
6a,1.281472966075615
6a,1.1309197379505027
6a,1.1846104028974742
6a,1.258836444429373
6a,1.3633269169377782
6a,1.2707126687896066
5,0.9931264028038568
4,0.9460520809213616
5,1.368233349151216
5,1.4625805652622867
5,1.0284170730066893
6a,0.91306315261603
5,1.1508464781254264
5,1.283529796806221
5,0.4507268532252071
5,1.5913774899299005
5,1.472712985700009
6a,1.3676443735112438
5,1.2170835668206648
6a,1.1575503214552356
6a,1.1266850724867992
6a,1.18891418066723
6a,1.3290555880155754
6a,1.1391148028896414
4,1.4422912253521356
5,1.3970985552549304
5,1.4880599223646889
