grouping,group,n,rho,bootstrap95_low,bootstrap95_high,p
layer,1,9,0.26352313834736496,-0.7441076797344195,0.8783984740036657,0.4932597104489965
layer,2/3,76,0.27008139821685745,0.07207153818532752,0.45147341139783936,0.018298426690227434
layer,4,115,0.19535557159410555,0.01185865590633049,0.36811217484753034,0.036414098244900286
layer,5,137,0.1660418414286707,-0.00243293985680717,0.32599208067938223,0.052483625443482874
layer,6a,54,0.5699735103463058,0.3664120831624541,0.7221013740408786,6.834058036337322e-06
layer,6b,9,-0.08664587415167273,-0.6241273787199619,0.5758991379723208,0.8245870610213485
dendrite_type,aspiny,172,0.2950840741015711,0.14868165515746423,0.43718579017725007,8.507391517013206e-05
dendrite_type,sparsely spiny,21,-0.0006810447066039945,-0.4507994242417882,0.4558675446231751,0.9976623464818581
dendrite_type,spiny,207,0.13892789903314365,-0.010747627137889453,0.27314330325914304,0.04588905085482494
