variant,graph_seed,repeat,source_state,home_rhythm_score,foreign_rhythm_score,advantage_rhythm_score,home_alternative_spectral_score,foreign_alternative_spectral_score,advantage_alternative_spectral_score,home_mean_rate_hz,foreign_mean_rate_hz,advantage_mean_rate_hz,home_spectral_concentration,foreign_spectral_concentration,advantage_spectral_concentration,home_spectral_entropy,foreign_spectral_entropy,advantage_spectral_entropy,home_synchrony_proxy,foreign_synchrony_proxy,advantage_synchrony_proxy
primary,93001,0,transition_mid,0.43575872853398323,0.29466982930898666,0.14108889922499657,0.5883549377322197,0.41504122503101826,0.17331371270120144,20.41869735717773,21.86913681030273,-1.450439453125,0.7616170719265938,0.5987165570259094,0.16290051490068436,0.235618295148015,0.32747729681432247,-0.09185900166630748,0.9547993615269661,0.8889210894703865,0.06587827205657959
primary,93001,0,sparse_drive,0.3550690170377493,0.35919939540326595,-0.004130378365516663,0.491854727268219,0.4959126450121403,-0.00405791774392128,21.72387313842773,20.30102157592773,1.4228515625,0.675253376364708,0.6862423047423363,-0.010988928377628326,0.2913139685988426,0.2852085530757904,0.006105415523052216,0.9039251357316971,0.9233440086245537,-0.019418872892856598
primary,93002,0,transition_mid,0.3103251177817583,0.26892186142504215,0.041403256356716156,0.4157788138836622,0.37119697965681553,0.044581834226846695,20.237056970596313,21.62279891967773,-1.3857419490814173,0.602867167443037,0.5641945786774158,0.038672588765621185,0.32521553337574005,0.35947243869304657,-0.03425690531730652,0.9662160575389862,0.9144153222441673,0.05180073529481888
primary,93002,0,sparse_drive,0.30080878734588623,0.2910652793943882,0.009743507951498032,0.40987158194184303,0.3881347719579935,0.021736809983849525,21.59740829467773,20.223629236221313,1.3737790584564173,0.5934010669589043,0.5654322765767574,0.027968790382146835,0.3339716624468565,0.3330898154526949,0.0008818469941616058,0.9337929636240005,0.9761484637856483,-0.0423555001616478
primary,93003,0,transition_mid,0.3765147216618061,0.19062657281756396,0.18588814884424215,0.5216939374804497,0.28583117574453354,0.23586276173591614,20.260738611221313,21.73559188842773,-1.4748532772064173,0.6840632669627666,0.4700448177754879,0.21401844918727875,0.2634039781987667,0.39953986927866936,-0.13613589107990265,0.9026858732104301,0.8040255904197693,0.09866028279066086
primary,93003,0,sparse_drive,0.24771216511726377,0.4093866515904665,-0.16167448647320273,0.3387683592736721,0.5525275059044361,-0.213759146630764,21.73217391967773,20.33153915405273,1.400634765625,0.5248817205429077,0.7292502038180828,-0.2043684832751751,0.36850158497691154,0.25574427843093867,0.11275730654597288,0.9318827912211418,0.9489630609750748,-0.017080269753932953
primary,93004,0,transition_mid,0.38437171280384064,0.2729101087898016,0.11146160401403904,0.5064019188284874,0.36730130203068256,0.13910061679780483,20.372310876846313,21.69433212280273,-1.3220212459564173,0.6838384680449963,0.5231268033385277,0.16071166470646858,0.26955886743962765,0.3340900670737028,-0.06453119963407516,0.9926468506455421,0.9544617310166359,0.03818511962890625
primary,93004,0,sparse_drive,0.2630104292184114,0.4198930822312832,-0.1568826530128718,0.35609814152121544,0.5661669597029686,-0.21006881818175316,21.65160751342773,20.26928329467773,1.38232421875,0.524419866502285,0.7512334510684013,-0.22681358456611633,0.3521743379533291,0.2536199018359184,0.09855443611741066,0.946532629430294,0.9519590958952904,-0.005426466464996338
primary,93005,0,transition_mid,0.4451264217495918,0.3258619084954262,0.11926451325416565,0.6199682839214802,0.47041837126016617,0.149549912661314,20.20995712280273,21.60570907592773,-1.395751953125,0.7822416983544827,0.6663023941218853,0.11593930423259735,0.22226845659315583,0.3072921223938465,-0.08502366580069068,0.8992831110954285,0.852922834455967,0.04636027663946152
primary,93005,0,sparse_drive,0.3238718565553427,0.4277810789644718,-0.10390922240912914,0.44207470305263996,0.5750946719199419,-0.13301996886730194,21.57543563842773,20.248043298721313,1.3273923397064173,0.6239740438759327,0.7454947419464588,-0.12152069807052612,0.31488190963864326,0.24234900809824467,0.0725329015403986,0.9348247349262238,0.9539221897721291,-0.019097454845905304
