subject,session,n_discovery,n_final
619293,1184980079,960.0,640.0
619296,1187930705,960.0,640.0
620333,1188137866,960.0,640.0
620334,1189887297,960.0,640.0
625545,1182865981,960.0,640.0
625554,1181330601,960.0,640.0
625555,1183070926,960.0,640.0
630506,1192952695,960.0,640.0
631510,1196157974,960.0,640.0
631570,1194857009,960.0,640.0
633229,1199247593,960.0,640.0
637484,1208667752,960.0,640.0
