variant,mean,ci95_low,ci95_high,positive_graphs,n_graphs,p_signflip_greater
primary,0.035920275220026554,0.015569632512051618,0.055297953470532415,10,12,0.00537109375
matched,0.14464121975470332,0.10155818665807599,0.18700501356215674,12,12,0.000244140625
alternative,0.02395512481840946,-0.012220504367724065,0.05620964552314634,9,12,0.104736328125
random_null,0.05629095419620473,0.02633026273300252,0.0860724166355793,9,12,0.003173828125
