specimen_id,C_req,pred_nested_rerun
313861608,0.0,0.4242628831044951
313861677,0.0,1.3776583430217573
313861794,3.0,1.5886464734771895
313862134,0.0,0.8901044851767631
313862167,2.0,0.9137964610399132
313862274,0.0,0.8486187664743097
314642645,1.0,1.331947579897791
314800921,1.0,1.4680660925687259
314822529,2.0,1.373750773895756
318556138,1.0,0.620549292918436
318733871,2.0,1.5293671316419628
320207387,1.0,1.50027840559208
320639930,2.0,1.5236361356106236
320668841,1.0,1.3314125559446297
320836481,1.0,1.4444104567567795
321893798,1.0,1.4013742895139703
322197160,2.0,1.2691612748726824
322197295,2.0,1.2142124674481352
322229594,0.0,1.089641196812099
322246422,1.0,1.239345057376232
322297406,2.0,1.3356723236660206
322723785,2.0,1.5115148392361444
323834998,1.0,0.9553345132724109
323838579,1.0,1.3508452834605829
324025297,1.0,1.3539193464105885
324032509,1.0,1.6672777250491588
324053519,2.0,1.5304087249956044
324065524,3.0,1.358654261018089
324466858,0.0,1.2753311214726246
324493977,0.0,1.1509369089924495
325853048,1.0,1.2388358477076724
326774520,1.0,0.9881285968580595
327648537,1.0,1.2383985056443398
327679841,1.0,1.3492890453208002
328015342,2.0,1.2929836257322256
328031983,0.0,0.9012962264541216
328093618,0.0,1.1576277791773983
328535908,1.0,0.9487638710101084
329224678,0.0,1.3405874389451005
397353539,3.0,1.6344849725332395
422738880,0.0,1.507634938190701
464079491,0.0,1.2541419244224996
464188580,2.0,1.1879348097147402
464212183,1.0,0.9853769200839745
465924786,1.0,1.448581042538765
467003163,1.0,1.3647529763939883
468120757,0.0,1.6230255103358602
469704261,1.0,1.5382112210602243
469720505,2.0,1.4923985792524037
469753383,1.0,1.1106873274973592
469803127,1.0,1.5325551773955686
469832490,1.0,1.5534331507710288
470098860,0.0,1.2585121641495236
471087830,0.0,0.8967997122265619
471129934,1.0,1.4130446575167848
471131311,0.0,1.3063816627707443
471141261,0.0,1.5487696863985687
471800189,3.0,1.5899645588351974
471819401,3.0,1.6586858111611278
473011949,1.0,1.262238125107178
473020156,1.0,1.4337898308261707
473593847,1.0,1.2265964419224045
473642382,2.0,1.6420967351630917
473909767,1.0,1.3495086574587014
473943881,1.0,0.9909303739891859
474283475,2.0,1.2064759712295716
474637203,1.0,1.3008104561334108
474660482,3.0,1.433409467116049
475057898,0.0,1.0848107259182929
475400072,2.0,1.5445152250837728
475517090,0.0,1.058511713510347
475542907,0.0,1.0342748409671105
475580568,0.0,0.8924849269295541
475585413,1.0,1.2316558268916866
475586130,1.0,1.1654537493441801
475619045,3.0,1.213792396394338
475622680,3.0,1.3110024433117142
475622793,1.0,1.5503655673213357
475625477,3.0,1.525281036828702
475740357,0.0,1.1607805101171995
475838754,3.0,1.4092843925048602
475894121,0.0,1.2299584991208312
475895240,0.0,1.0898425126118836
476100382,0.0,1.4975746759599502
476131588,1.0,1.3866065517737893
476178907,0.0,1.4821170092066234
476263004,1.0,1.4813420987108157
476266853,1.0,1.484980927294932
476269122,2.0,1.3946971061225937
476557750,2.0,1.5366472009691376
476562817,0.0,1.2380587513662713
476615310,0.0,1.0921479809892016
476686112,0.0,0.9793059127424317
476753465,0.0,1.2024845894525862
477135941,0.0,1.3661056100647264
477490421,0.0,0.9935379422910465
477879512,1.0,1.1284677805711671
477880128,0.0,1.4036518832491098
477991293,1.0,1.4111165115761488
478058328,1.0,0.8246416384917632
478107198,2.0,0.8623735709473509
478396248,1.0,1.1564261486074838
478412623,1.0,0.955925477291047
478439166,3.0,1.4207436331862524
478447600,3.0,1.5028578593859538
478498617,1.0,1.41509409912612
478716304,0.0,1.0280360761966396
478793814,2.0,0.9465033568311798
478828646,0.0,1.0091895160064677
478888083,1.0,1.1360148666370942
478947222,0.0,1.3363320505955056
478949560,0.0,0.8754150186561246
478958894,1.0,1.1844473938688
479179020,2.0,1.30950234884113
479220013,1.0,1.0392481155091522
479225080,1.0,1.3831570443109242
479225294,2.0,1.1752267233837472
479415457,1.0,1.3152998396891555
479492633,1.0,1.5451645652798178
479492800,1.0,1.0951921775093592
479508018,1.0,1.4678602429133014
479721491,3.0,1.5473297301380777
479722622,1.0,1.296140558036249
479728896,2.0,1.3393847142007278
479766169,3.0,1.8845517744070155
479770916,0.0,1.1956710354250277
480087928,0.0,1.1731926618029433
480090260,0.0,1.4359620752219782
480169178,3.0,1.5872821558454584
480169202,0.0,1.2546065569865343
480171386,1.0,1.3609182642176847
480268803,1.0,1.3858033765882911
480273887,0.0,1.422024358070548
480351780,1.0,1.2236285083071592
480353286,0.0,1.420864899581268
480364000,1.0,1.2656591376330195
480643417,0.0,1.5088230028626306
480647923,1.0,1.5809962578889138
480999763,2.0,1.3539361387583817
481003593,1.0,1.2216765715051694
481003643,1.0,1.193202238733928
481018305,1.0,0.7855204280237472
481127173,1.0,0.9474615874522525
481136214,1.0,1.2808754298769454
482516216,1.0,1.3440500404080127
482516631,3.0,0.7458304702136486
482654108,1.0,1.3987902057750075
482690728,0.0,0.7779922935665428
482726727,3.0,1.3459547565306103
482764620,3.0,1.091082923665663
482772037,1.0,1.129679860282712
482773968,1.0,1.2062408355313128
482809953,0.0,1.2729614579183566
483020137,1.0,1.386795638312513
483083617,1.0,1.1567486080612
483101699,2.0,1.486184404669732
484457747,0.0,0.76883462105121
484515166,1.0,1.4103218807583238
484635029,1.0,0.8549432102800049
484679812,2.0,1.3091985275447489
484737013,1.0,1.5526668567643724
484742372,1.0,0.7627672441845007
485245025,1.0,0.9087931878139882
485287944,2.0,1.585853817102912
485339983,3.0,1.4557638225415412
485455285,2.0,1.0182583232346267
485466109,1.0,1.330496391930868
485468180,0.0,1.0820471112706957
485570335,3.0,1.1688223843950742
485570372,2.0,1.5036509452693747
485574721,0.0,1.294962964958123
485574832,2.0,1.2082949815889208
485577686,2.0,1.6470043414098268
485578197,2.0,1.6141749263273186
485579168,3.0,1.5981863503581824
485608017,3.0,1.3461479902193836
485835016,3.0,1.3689767729278937
485837504,2.0,1.421404388321615
485838981,0.0,1.5396811901420524
