subject,delta_rho,activity_residual_delta_rho,activity_selectivity_residual_delta_rho
619293,0.0065187094528282,0.0073208868530134,0.0067929095714218
619296,0.0220173042878423,0.0214069307241867,0.0214370728590808
620333,0.0301912583782851,0.0293420504898042,0.0299747210057643
620334,0.0074311151741661,0.0084230120798032,0.0085077405996864
625545,0.0150996571921385,0.0132520622589337,0.0130584338070699
625554,0.0075730862203706,0.0100633322620587,0.0110148081311889
625555,0.0244729471722898,0.0237180444739754,0.0241427562034905
630506,-0.0144570863786851,-0.0127460023645197,-0.0131697056484283
631510,0.0322618744896695,0.0383854701155396,0.0382243265543373
631570,0.0348779685265082,0.0340349834999218,0.035853212565025
633229,0.0251004577093519,0.0234624503265699,0.0226179647601639
637484,-0.005092955486673,-0.0046930593530796,-0.0041468742690304
